file_name,source_session_date,protocol_label,protocol_role,DC_C,AC_C,frequency_Hz,m_tau,phase_convention,sampling_rate_Hz,ambient_temperature_C,temperature_control_type,temperature_sensor_type,temperature_sensor_placement,temperature_data_source,temperature_alignment_method,temperature_to_NGU201_alignment_required,T_surface_max_C,T_surface_mean_C,notes
MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,26/11/2025,0.3C+0.7C 0.1tau,DCAC,0.3,0.7,0.1433828316143201,0.1,charge_first,1.0,20.0,ambient_lab_no_chamber,Pt100,axial_cell_surface,measured_surface_temperature,segment_level_summary_only,False,25.864,24.215,"delimiter=','; header_line_idx=13; columns=['Timestamp', 'U1[V]', 'I1[A]', 'P1[W]', 'DVM1[V]']; start_time=10:27:16"
MJ1_0p3C_0p7C_10tau_NGU201_raw.csv,2025-11-27,0.3C+0.7C 10tau,DCAC,0.3,0.7,0.0014338283161432,10.0,charge_first,1.0,20.0,ambient_lab_no_chamber,Pt100,axial_cell_surface,measured_surface_temperature,segment_level_summary_only,False,28.751,25.939,"delimiter=','; header_line_idx=13; columns=['Timestamp', 'U1[V]', 'I1[A]', 'P1[W]', 'DVM1[V]']; start_time=10:47:26"
MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,2025-11-24,0.3C+0.7C 1tau,DCAC,0.3,0.7,0.014338283161432,1.0,charge_first,1.0,20.0,ambient_lab_no_chamber,Pt100,axial_cell_surface,measured_surface_temperature,segment_level_summary_only,False,25.671,24.185,"delimiter=','; header_line_idx=13; columns=['Timestamp', 'U1[V]', 'I1[A]', 'P1[W]', 'DVM1[V]']; start_time=10:36:41"
MJ1_0p3C_DC_NGU201_raw.csv,20/11/2025,0.3C DC,DC_reference,0.3,0.0,0.0,,charge_first,1.0,20.0,ambient_lab_no_chamber,Pt100,axial_cell_surface,measured_surface_temperature,segment_level_summary_only,False,23.553,22.61,"delimiter=','; header_line_idx=13; columns=['Timestamp', 'U1[V]', 'I1[A]', 'P1[W]', 'DVM1[V]']; start_time=10:44:25"
