parameter_set,model_type,condition,reference_condition,feature_id,Q_Ah,tau_factor_set,omega_tau_set,period_s,phase_norm,cycle_count,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_amp,window_valid
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_n_mean,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-0.0436406987322731,-0.02736357360660477,-0.04888584440478071,0.021522270798175938,0.1644427731335431,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_p_mean,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.005659733734553582,0.003427989424795349,0.004340149846710833,-0.0009121604219154843,0.01988128127819966,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_n_mean_signed,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-0.6600989415375118,-0.3700665999270047,-0.44647415017243447,0.07640755024542978,2.0832129609655765,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_p_mean_signed,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.7473763334719498,0.41899663310644447,0.5055063587803207,-0.08650972567387621,2.358651956356982,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,cell_temperature_K,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.0,298.1500000000001,298.1500000000001,0.0,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,total_heating_mean,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.0,0.0,0.0,0.0,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_minus_avg_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.006053109754579776,0.004495249246848297,0.004949686111821817,-0.0004544368649735198,0.012514915925803255,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_surface_minus_avg_sto,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,-0.010859862105785639,-0.018712737741152587,-0.019589502105114936,0.0008767643639623485,0.02256951519431838,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_sto_range,0.2399769861697409,0.5,2.0,114.09175086262731,0.39073723716263015,4.3907372371626305,0.004187528139707713,0.005850090227744789,0.00471787293965116,0.0011322172880936284,0.00514977278753663,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-3.5390745863922435e-05,0.11696414348340672,0.11858824511032244,-0.0016241016269157166,0.010693962761510092,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_surface_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.006181182742822561,0.12149917095433985,0.12353797054813072,-0.0020387995937908715,0.021081832142535728,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_max_surface_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.00899785091803959,0.12554428787316937,0.12670622790975267,-0.0011619400365832921,0.024876631872777,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_min_surface_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.004940336334358919,0.11942806688216445,0.12184906022579134,-0.002420993343626887,0.019332350445218055,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,2.361842887488308e-05,0.793499454968996,0.7924155917210179,0.0010838632479780452,0.0071367413346281605,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_surface_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-0.010040889552884735,0.7741174286447288,0.7723165296372685,0.001800899007460277,0.028584875992330283,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_mean,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-16.98065948773592,984.6522967816028,983.0766599317571,1.5756368498456368,38.98820426354803,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_range,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,348.4734989362456,345.03039032532104,352.72060715816883,-7.690216832847796,745.2704158990784,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_n_mean,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-0.05246946437532127,-0.027422782743060037,-0.04795743440615567,0.020534651663095635,0.16171323394134207,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_p_mean,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.007808874277833618,0.0034441041037178914,0.004305247402706686,-0.0008611432989887942,0.01969901524062001,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_n_mean_signed,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-0.9011576462686521,-0.3762087710436673,-0.4464741499499799,0.07026537890631263,2.0827434583535176,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_p_mean_signed,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,1.020307499762103,0.42595041890244967,0.5055063587453839,-0.07955593984293419,2.3581209866912047,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,cell_temperature_K,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.0,298.15000000000003,298.1500000000001,-5.684341886080802e-14,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,total_heating_mean,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.0,0.0,0.0,0.0,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_minus_avg_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.00621657348868649,0.004535027470933133,0.0049497254378083055,-0.00041469796687517227,0.012517432875352619,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_surface_minus_avg_sto,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,-0.010064507981759625,-0.019382026324267318,-0.0200990620837494,0.0007170357594820827,0.022436087454576703,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_sto_range,0.27995397233948177,0.5,2.0,114.09175086262731,0.3333664550806224,5.333366455080623,0.004057514583680694,0.006116220991004916,0.004857167683961325,0.0012590533070435906,0.0055542062874500975,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-3.608842474678298e-05,0.12468756388994041,0.1254349104996416,-0.0007473466097011744,0.01069606647873439,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_surface_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.005676276492489085,0.12920154070781528,0.13038464215737808,-0.0011831014495627956,0.021084987605063943,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_max_surface_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.00821675814683881,0.1336064480406565,0.1337258913684948,-0.00011944332783830891,0.025414278820754338,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_min_surface_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.004627531997971779,0.126993967237546,0.12861556432060192,-0.0016215970830559256,0.019141720519219738,True
