keyword_group,search_term,variable_key
plating_margin,surface potential difference,Negative electrode surface potential difference at separator interface [V]
plating_margin,surface potential difference,Positive electrode surface potential difference [V]
plating_margin,surface potential difference,Positive electrode surface potential difference at separator interface [V]
plating_margin,surface potential difference,X-averaged negative electrode surface potential difference [V]
plating_margin,surface potential difference,X-averaged positive electrode surface potential difference [V]
plating_submodel_variables,lithium plating,Loss of capacity to negative lithium plating [A.h]
plating_submodel_variables,lithium plating,Loss of capacity to positive lithium plating [A.h]
plating_submodel_variables,lithium plating,Loss of lithium to negative lithium plating [mol]
plating_submodel_variables,lithium plating,Loss of lithium to positive lithium plating [mol]
plating_submodel_variables,lithium plating,Negative electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,lithium plating,Negative electrode lithium plating reaction overpotential [V]
plating_submodel_variables,lithium plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,lithium plating,Negative lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,Negative lithium plating thickness [m]
plating_submodel_variables,lithium plating,Positive electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,lithium plating,Positive electrode lithium plating reaction overpotential [V]
plating_submodel_variables,lithium plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,lithium plating,Positive lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,Positive lithium plating thickness [m]
plating_submodel_variables,lithium plating,Volume-averaged negative lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,Volume-averaged negative lithium plating thickness [m]
plating_submodel_variables,lithium plating,Volume-averaged positive lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,Volume-averaged positive lithium plating thickness [m]
plating_submodel_variables,lithium plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,lithium plating,X-averaged negative electrode lithium plating reaction overpotential [V]
plating_submodel_variables,lithium plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,lithium plating,X-averaged negative lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,X-averaged negative lithium plating thickness [m]
plating_submodel_variables,lithium plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,lithium plating,X-averaged positive electrode lithium plating reaction overpotential [V]
plating_submodel_variables,lithium plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,lithium plating,X-averaged positive lithium plating concentration [mol.m-3]
plating_submodel_variables,lithium plating,X-averaged positive lithium plating thickness [m]
plating_submodel_variables,plating,Loss of capacity to negative lithium plating [A.h]
plating_submodel_variables,plating,Loss of capacity to positive lithium plating [A.h]
plating_submodel_variables,plating,Loss of lithium to negative lithium plating [mol]
plating_submodel_variables,plating,Loss of lithium to positive lithium plating [mol]
plating_submodel_variables,plating,Negative electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,plating,Negative electrode lithium plating reaction overpotential [V]
plating_submodel_variables,plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,plating,Negative lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,Negative lithium plating thickness [m]
plating_submodel_variables,plating,Positive electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,plating,Positive electrode lithium plating reaction overpotential [V]
plating_submodel_variables,plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,plating,Positive lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,Positive lithium plating thickness [m]
plating_submodel_variables,plating,Volume-averaged negative lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,Volume-averaged negative lithium plating thickness [m]
plating_submodel_variables,plating,Volume-averaged positive lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,Volume-averaged positive lithium plating thickness [m]
plating_submodel_variables,plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,plating,X-averaged negative electrode lithium plating reaction overpotential [V]
plating_submodel_variables,plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,plating,X-averaged negative lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,X-averaged negative lithium plating thickness [m]
plating_submodel_variables,plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
plating_submodel_variables,plating,X-averaged positive electrode lithium plating reaction overpotential [V]
plating_submodel_variables,plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
plating_submodel_variables,plating,X-averaged positive lithium plating concentration [mol.m-3]
plating_submodel_variables,plating,X-averaged positive lithium plating thickness [m]
surface_state,negative particle stoichiometry,Average negative particle stoichiometry
surface_state,negative particle stoichiometry,Maximum negative particle stoichiometry
surface_state,negative particle stoichiometry,Minimum negative particle stoichiometry
surface_state,negative particle stoichiometry,Negative particle stoichiometry
surface_state,negative particle stoichiometry,R-averaged negative particle stoichiometry
surface_state,negative particle stoichiometry,X-averaged negative particle stoichiometry
surface_state,particle surface concentration,Maximum negative particle surface concentration
surface_state,particle surface concentration,Maximum negative particle surface concentration [mol.m-3]
surface_state,particle surface concentration,Maximum positive particle surface concentration
surface_state,particle surface concentration,Maximum positive particle surface concentration [mol.m-3]
surface_state,particle surface concentration,Minimum negative particle Minimum negative particle surface concentration [mol.m-3]
surface_state,particle surface concentration,Minimum negative particle surface concentration
surface_state,particle surface concentration,Minimum positive particle Minimum positive particle surface concentration [mol.m-3]
surface_state,particle surface concentration,Minimum positive particle surface concentration
surface_state,particle surface concentration,Negative particle surface concentration
surface_state,particle surface concentration,Negative particle surface concentration [mol.m-3]
surface_state,particle surface concentration,Positive particle surface concentration
surface_state,particle surface concentration,Positive particle surface concentration [mol.m-3]
surface_state,particle surface concentration,X-averaged negative particle surface concentration
surface_state,particle surface concentration,X-averaged negative particle surface concentration [mol.m-3]
surface_state,particle surface concentration,X-averaged positive particle surface concentration
surface_state,particle surface concentration,X-averaged positive particle surface concentration [mol.m-3]
surface_state,surface stoichiometry,Maximum negative particle surface stoichiometry
surface_state,surface stoichiometry,Maximum positive particle surface stoichiometry
surface_state,surface stoichiometry,Minimum negative particle surface stoichiometry
surface_state,surface stoichiometry,Minimum positive particle surface stoichiometry
surface_state,surface stoichiometry,Negative particle surface stoichiometry
surface_state,surface stoichiometry,Positive particle surface stoichiometry
surface_state,surface stoichiometry,X-averaged negative particle surface stoichiometry
surface_state,surface stoichiometry,X-averaged positive particle surface stoichiometry
transport_state,electrolyte concentration,Electrolyte concentration [Molar]
transport_state,electrolyte concentration,Electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,Electrolyte concentration concatenation [mol.m-3]
transport_state,electrolyte concentration,Negative electrolyte concentration [Molar]
transport_state,electrolyte concentration,Negative electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,Positive electrolyte concentration [Molar]
transport_state,electrolyte concentration,Positive electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,Separator electrolyte concentration [Molar]
transport_state,electrolyte concentration,Separator electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,X-averaged electrolyte concentration [Molar]
transport_state,electrolyte concentration,X-averaged electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,X-averaged negative electrolyte concentration [Molar]
transport_state,electrolyte concentration,X-averaged negative electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,X-averaged positive electrolyte concentration [Molar]
transport_state,electrolyte concentration,X-averaged positive electrolyte concentration [mol.m-3]
transport_state,electrolyte concentration,X-averaged separator electrolyte concentration [Molar]
transport_state,electrolyte concentration,X-averaged separator electrolyte concentration [mol.m-3]
transport_state,electrolyte potential,Electrolyte potential [V]
transport_state,electrolyte potential,Gradient of electrolyte potential [V.m-1]
transport_state,electrolyte potential,Gradient of negative electrolyte potential [V.m-1]
transport_state,electrolyte potential,Gradient of positive electrolyte potential [V.m-1]
transport_state,electrolyte potential,Gradient of separator electrolyte potential [V.m-1]
transport_state,electrolyte potential,Negative electrolyte potential [V]
transport_state,electrolyte potential,Positive electrolyte potential [V]
transport_state,electrolyte potential,Separator electrolyte potential [V]
transport_state,electrolyte potential,X-averaged electrolyte potential [V]
transport_state,electrolyte potential,X-averaged negative electrolyte potential [V]
transport_state,electrolyte potential,X-averaged positive electrolyte potential [V]
transport_state,electrolyte potential,X-averaged separator electrolyte potential [V]
