param_set,chem_tag,Q_nom_Ah,V_max_spec,V_min_spec,I_precharge_A_pybamm,I_pulse_A_pybamm,deltaI_A,descriptor_primary_window_s,uinf_window_start_s,uinf_window_end_s,tail_fit_start_s,tail_fit_end_s,V_init_charge,V_after_precharge,V_after_prerest,V_pulse_start,V_pulse_max,V_pulse_end,pulse_dV_mV,V_relax_end,relax_dV_mV,pulse_hit_Vmax,ton_ms,toff_ms,C_ms,D_target_ms,E_ms,F_target_ms,Uc_V,Ud_V,Ue_V,Uf_V,D_target_error_ms,F_target_error_ms,I0_KL_DAS60_A,Ip_KL_DAS60_A,R0_CD_Ohm,R0_EF_Ohm,R0_avg_Ohm,Uinf_V,Uinf_window_start_V,Uinf_window_end_V,Uinf_window_dV_mV,Uinf_window_abs_dV_mV,Uinf_window_class,tau1_biexp,tau2_biexp,primary_R2,primary_RMSE,primary_window_s,biexp_fit_status,fit_low_quality,tau1_secondary_60s,tau2_secondary_60s,secondary_R2,tau_FG_eff,t95_s,t99_s,recovery_99_reached,G_ms,Ug_V,tau_tail,tail_R2,tail_fit_status,status,wall_time_s
Ai2020,Enertech LCO/graphite,2.28,4.2,3.0,-0.45599999999999996,-2.28,2.28,600.0,500.0,600.0,300.0,600.0,3.5862025296040754,3.6755777355090737,3.6401660215819884,3.7729600713121343,3.7756749492597814,3.7756749492597814,2.714877947647132,3.641620929022931,-4.067372357460464,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.6401660215819884,3.772981317281734,3.7756718042729966,3.645670051682107,-2.3283064365386963e-10,0.0,0.0,2.28,0.05825232267532697,0.057018312539863884,0.057635317607595424,3.641622471166597,3.641624795225572,3.641620929022931,-0.003866202640701033,0.003866202640701033,Uinf_window_stable,3.728204196408704,52.419262375868904,0.9998963449440226,1.4191398875268119e-05,600.0,ok,False,5.09936638419921,5.099366571888413,0.9951393651607257,9.98,110.98,244.98,True,1755000.0,3.641662837028095,144.55050755746385,0.998253252418502,ok,ok,1.09
Chen2020,LG M50 NMC811-Si,5.0,4.2,2.5,-1.0,-5.0,5.0,600.0,500.0,600.0,300.0,600.0,3.1660492830515095,3.368205068700635,3.2916926936841056,3.444235314188252,3.496207388521829,3.496207388521829,51.9720743335772,3.3004528378659312,-43.10416658695537,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.2916926936841056,3.4444812042174506,3.4960341883387303,3.343404865727625,-2.3283064365386963e-10,0.0,0.0,5.0,0.030557702106669016,0.030525864522221013,0.030541783314445015,3.3005047901019706,3.300568699038286,3.3004528378659312,-0.1158611723548475,0.1158611723548475,Uinf_window_stable,3.4276781748390857,36.316532231592305,0.9995713075057229,0.0003203776057644353,600.0,ok,False,7.720606596894013,7.720679812158888,0.9884986436362628,15.98,116.98,316.98,True,1827000.0,3.3009322713138403,263.02117860437176,0.9999653732358128,ok,ok,0.7
Ecker2015,Kokam-Ecker Co-rich Mn-free,0.15625,4.2,2.5,-0.03125,-0.15625,0.15625,600.0,500.0,600.0,300.0,600.0,3.311456215501024,3.469741447791657,3.4502011239665165,3.5199781697932,3.5358590409537323,3.5358590409537323,15.880871160532273,3.4552027472087645,-12.55870353584898,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.4502011239665165,3.520097157071627,3.5358129434360883,3.467679366342197,-2.3283064365386963e-10,0.0,0.0,0.15625,0.4473346118727079,0.4360548934009046,0.44169475263680624,3.4552029398513717,3.455203250449878,3.4552027472087645,-0.0005032411136696169,0.0005032411136696169,Uinf_window_stable,1.5445734856492914,16.51765434839429,0.9998715675861369,4.7599752065613307e-05,600.0,ok,False,1.3223392263100584,13.191343994635298,0.9997016431623826,9.98,48.98,91.98,True,1602000.0,3.45532722097612,164.0105135972402,0.9996502185847855,ok,ok,0.9
Marquis2019,Kokam-Marquis LCO/graphite,0.680616,4.1,3.105,-0.1361232,-0.680616,0.680616,600.0,500.0,600.0,300.0,600.0,3.6624398646934,3.720856388205639,3.6762851919139665,3.7990812149803226,3.8046273007068874,3.8046273007068874,5.546085726564787,3.6775336914313175,-6.463382719417599,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.6762851919139665,3.799111156512666,3.804611551998745,3.6839803862055622,-2.3283064365386963e-10,0.0,0.0,0.680616,0.18046294033449012,0.17723821625289837,0.17885057829369425,3.6775387918421987,3.67754600328508,3.6775336914313175,-0.012311853762714264,0.012311853762714264,Uinf_window_stable,4.623335545848143,43.44669740303815,0.9997906959167036,3.5130029145215833e-05,600.0,ok,False,2.59849382820392,22.60946955423608,0.9999435014166472,20.98,124.98,301.98,True,1812000.0,3.677602903978308,188.67660486549605,0.999976080473745,ok,ok,1.03
Mohtat2020,graphite/NMC532,5.0,4.2,2.8,-1.0,-5.0,5.0,600.0,500.0,600.0,300.0,600.0,3.497880972275983,3.541192463362785,3.5203441575909395,3.596314721132403,3.602687822056427,3.602687822056427,6.373100924023767,3.5213999237726066,-6.836865798309333,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.5203441575909395,3.5963429076827556,3.6026685345052307,3.528213881909373,-2.3283064365386963e-10,0.0,0.0,5.0,0.015199750018363201,0.014890930519171518,0.01504534026876736,3.5214008300452377,3.521402284359673,3.5213999237726066,-0.0023605870662635198,0.0023605870662635198,Uinf_window_stable,5.3267315919373655,43.93258267119451,0.9997959657599578,3.5005881264545335e-05,600.0,ok,False,2.7179818180948403,13.47727108870575,0.9999534796317071,10.98,89.98,213.98,True,1724000.0,3.5214682546327545,97.62675834367687,0.9999210447141956,ok,ok,0.96
NCA_Kim2011,graphite/NCA,0.43,4.2,2.7,-0.08600000000000001,-0.43,0.43,600.0,500.0,600.0,300.0,600.0,3.196547114576795,3.2477146795038863,3.2403275182691185,3.2520686705728634,3.2636165233677117,3.2636165233677117,11.547852794848268,3.2433708820478904,-8.795024647671568,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.2403275182691185,3.252175397893696,3.2635803485905424,3.2520773414661317,-2.3283064365386963e-10,0.0,0.0,0.43,0.027553208429250145,0.026751179359094553,0.02715219389417235,3.243371531902289,3.243371644874471,3.2433708820478904,-0.0007628265805692536,0.0007628265805692536,Uinf_window_stable,2.6611276408866558,39.39195667694234,0.9996266484544749,5.6376507375548e-05,600.0,ok,False,1.937636834171068,16.86547086827125,0.9997137912437837,10.98,107.98,205.98,True,1716000.0,3.2434580107484177,46.34644654836446,0.9984266491345571,ok,ok,0.77
OKane2022,LG M50 NMC811-Si,5.0,4.2,2.5,-1.0,-5.0,5.0,600.0,500.0,600.0,300.0,600.0,3.186479543498839,3.3869152976478762,3.3128531061062114,3.47207239442359,3.5204394955961305,3.5204394955961305,48.367101172540394,3.314463742014674,-46.99033198174041,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.3128531061062114,3.472199671497525,3.5203030911260482,3.3613671579770923,-2.3283064365386963e-10,0.0,0.0,5.0,0.031869313078262705,0.031787186629791186,0.03182824985402695,3.3145452835120564,3.3146397123853752,3.314463742014674,-0.17597037070116173,0.17597037070116173,Uinf_window_stable,8.049439846238394,58.81775623543399,0.9998850644021541,0.00019385247963384577,600.0,ok,False,6.687362330984448,36.28046010592773,0.999928653611066,15.98,119.98,354.98,True,1865000.0,3.3150105573283635,309.6740959137209,0.9999513926887518,ok,ok,0.84
ORegan2022,LG M50 NMC811-Si,5.0,4.4,2.5,-1.0,-5.0,5.0,600.0,500.0,600.0,300.0,600.0,3.108669286986279,3.3410672834003394,3.263357816657127,3.3924432866578504,3.4588500818039973,3.4588500818039973,66.40679514614689,3.2721123803306558,-63.553342988088346,False,1500000.0000000002,1510000.0,1499400.0000000002,1500020.0000000002,1509950.0,1510020.0,3.263357816657127,3.39273705040675,3.4586433380706216,3.335515381990037,-2.3283064365386963e-10,0.0,0.0,5.0,0.02587584674992467,0.02462559121611694,0.025250718983020802,3.272220473143695,3.2723477829095864,3.2721123803306558,-0.23540257893062133,0.23540257893062133,Uinf_window_stable,6.9096823063822335,53.575426259434366,0.9996489301444569,0.0004492745647810645,600.0,ok,False,2.7502327658385406,19.79492316243947,0.9999788934479292,18.98,142.98,363.98,True,1874000.0,3.2728522063024554,236.45370828606787,0.9999191863063795,ok,ok,1.05
