param_set,arm,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method,initial_soc
Chen2020,DC_reference,380.0,3.267947631187564,-1.0,0.10555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,390.0,3.269787760827877,-1.0,0.10833333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,400.0,3.271620445259964,-1.0,0.1111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,410.0,3.273446312410285,-1.0,0.11388888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,420.0,3.275265891551478,-1.0,0.11666666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,430.0,3.2770797958999385,-1.0,0.11944444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,440.0,3.2788885646281543,-1.0,0.12222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,450.0,3.2806924395428814,-1.0,0.125,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,460.0,3.282492330717756,-1.0,0.12777777777777777,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,470.0,3.2842886869843806,-1.0,0.13055555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,480.0,3.28608187062184,-1.0,0.13333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,490.0,3.2878722873868265,-1.0,0.1361111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,500.0,3.28966037043881,-1.0,0.1388888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,510.0,3.2914465393143573,-1.0,0.14166666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,520.0,3.2932312236058863,-1.0,0.14444444444444443,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,530.0,3.2950147809245482,-1.0,0.14722222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,540.0,3.2967975901074866,-1.0,0.15,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,550.0,3.2985799571835255,-1.0,0.1527777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,560.0,3.3003620818259933,-1.0,0.15555555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,570.0,3.3021444786030667,-1.0,0.15833333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,580.0,3.303927521117869,-1.0,0.16111111111111112,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,590.0,3.3057113673983967,-1.0,0.1638888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,600.0,3.307496248976441,-1.0,0.16666666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,610.0,3.3092824193231287,-1.0,0.16944444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,620.0,3.3110701417007826,-1.0,0.17222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,630.0,3.3128595559169076,-1.0,0.175,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,640.0,3.314650846440195,-1.0,0.17777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,650.0,3.3164442232357176,-1.0,0.18055555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,660.0,3.3182398298473066,-1.0,0.18333333333333332,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,670.0,3.3200376818717903,-1.0,0.18611111111111112,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,680.0,3.321837974995726,-1.0,0.18888888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,690.0,3.3236409422499698,-1.0,0.19166666666666668,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,700.0,3.325446535638851,-1.0,0.19444444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,710.0,3.327254811481862,-1.0,0.19722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,720.0,3.329065802325976,-1.0,0.2,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,730.0,3.3308795273891585,-1.0,0.20277777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,740.0,3.3326959737277573,-1.0,0.20555555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,750.0,3.334515141229847,-1.0,0.20833333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,760.0,3.3363370218308086,-1.0,0.2111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,770.0,3.338161441094429,-1.0,0.21388888888888888,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,780.0,3.339988321563794,-1.0,0.21666666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,790.0,3.3418175559541874,-1.0,0.21944444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,800.0,3.343649208632863,-1.0,0.2222222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,810.0,3.3454830234491717,-1.0,0.225,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,820.0,3.347318880598962,-1.0,0.22777777777777777,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,830.0,3.349156619748781,-1.0,0.23055555555555557,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,840.0,3.3509959568831187,-1.0,0.23333333333333334,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,850.0,3.352836793883533,-1.0,0.2361111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,860.0,3.3546789047606334,-1.0,0.2388888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,870.0,3.3565219705589318,-1.0,0.24166666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,880.0,3.358365796559336,-1.0,0.24444444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,890.0,3.3602100361605785,-1.0,0.24722222222222223,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,900.0,3.3620543874370883,-1.0,0.25,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,910.0,3.3638986208822934,-1.0,0.25277777777777777,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,920.0,3.365742542893998,-1.0,0.25555555555555554,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,930.0,3.36758583745939,-1.0,0.25833333333333336,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,940.0,3.369428078530081,-1.0,0.2611111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,950.0,3.371268890651579,-1.0,0.2638888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,960.0,3.3731079298835334,-1.0,0.26666666666666666,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,970.0,3.3749448560589066,-1.0,0.26944444444444443,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
