DC_base,Condition,f_Hz,DC_C,AC_C,I_DC_A,A_A,kappa,tau_ref_s,Pi,log10Π,Delta_t_Q80_min,Regime,total_time_min,baseline_total_min,Delta_T_total_min,kappa_old,Pi_old,Pi_diff,log10Π_old,log10Π_diff,kappa_recomputed,Unnamed: 22,T_max,T_avg,U00_12h(V),CC_min,CV_min
0.1C,0.1+0.9C 1τ,0.0143,0.1,0.9,0.34,3.06,9.0,20.28928496777354,0.2901367750391616,-0.537397221,2.88,Misleading,523.4166666666666,593.0833333333334,69.66666666666674,9.0,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,9.0,,26.376,25.42,4.169,459.7,63.7
0.1C,0.1+0.2C 1τ,0.0143,0.1,0.2,0.34,0.68,2.0,20.28928496777354,0.2901367750391616,-0.537397221,0.59,Misleading,593.5333333333333,593.0833333333334,-0.45,2.0,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,2.0,,23.059,22.248,4.1685,556.4833333333333,37.0
0.2C,0.2+0.3C 1τ,0.0143,0.2,0.3,0.68,1.02,1.4999999999999998,20.28928496777354,0.2901367750391616,-0.537397221,0.17,Misleading,307.65,316.76666666666665,9.116666666666674,1.5,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,1.4999999999999998,,24.323,23.45,4.1725,252.18333333333334,55.46666666666667
0.2C,0.2+0.3C 10τ,0.00143,0.2,0.3,0.68,1.02,1.4999999999999998,20.28928496777354,0.0290136775039161,-1.537397221,5.05,Effective,298.7,316.76666666666665,18.066666666666663,1.5,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,1.4999999999999998,,24.503,23.339,4.1719,236.36666666666667,62.31666666666667
0.2C,0.2+0.3C 34.8τ,0.000412,0.2,0.3,0.68,1.02,1.4999999999999998,20.28928496777354,0.008359185,-2.077836042,15.03,Effective,306.55,316.76666666666665,10.21666666666664,1.5,0.008359185,-1.33e-11,-2.077836041,-6.9e-10,1.4999999999999998,,24.994,23.25,4.1715,248.01666666666668,58.53333333333333
0.2C,0.2+0.8C 0.1τ,0.143,0.2,0.8,0.68,2.72,4.0,20.28928496777354,2.901367750391616,0.4626027794209223,1.26,Misleading,294.4166666666667,316.76666666666665,22.34999999999997,4.0,2.901367755,-4.61e-09,0.4626027801107335,-6.9e-10,4.0,,26.215,25.048,4.1724,229.65,64.75
0.2C,0.2+0.8C 1τ,0.0143,0.2,0.8,0.68,2.72,4.0,20.28928496777354,0.2901367750391616,-0.537397221,3.77,Transitional,292.05,316.76666666666665,24.71666666666664,4.0,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,4.0,,26.517,25.406,4.1725,226.51666666666668,65.48333333333333
0.2C,0.2+0.8C 10τ,0.00143,0.2,0.8,0.68,2.72,4.0,20.28928496777354,0.0290136775039161,-1.537397221,15.31,Effective,280.8666666666667,316.76666666666665,35.89999999999998,4.0,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,4.0,,27.368,25.675,4.1717,212.61666666666667,68.23333333333333
0.3C,0.3+0.7C 0.1τ,0.143,0.3,0.7,1.02,2.38,2.3333333333333335,20.28928496777354,2.901367750391616,0.4626027794209223,0.02,Misleading,222.56666666666663,223.7,1.1333333333333542,2.333333333333333,2.901367755,-4.61e-09,0.4626027801107335,-6.9e-10,2.3333333333333335,,25.864,24.215,4.1686,156.55,66.01666666666667
0.3C,0.3+0.7C 1τ,0.0143,0.3,0.7,1.02,2.38,2.3333333333333335,20.28928496777354,0.2901367750391616,-0.537397221,2.97,Transitional,216.3,223.7,7.399999999999977,2.333333333333333,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,2.3333333333333335,,25.671,24.185,4.1657,149.56666666666666,65.71666666666667
0.3C,0.3+0.7C 10τ,0.00143,0.3,0.7,1.02,2.38,2.3333333333333335,20.28928496777354,0.0290136775039161,-1.537397221,8.67,Effective,210.91666666666663,223.7,12.78333333333336,2.333333333333333,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,2.3333333333333335,,28.751,25.939,4.1695,142.66666666666666,68.25
