frequency_mode,parameter_set,condition,dc_c,ac_c,frequency_label,tau_factor,f_Hz,kappa,period_s,tau_ref_set_s,base_condition
fixed_mj1_label,MJ1_label,DC03,0.3,0.0,DC,,,0.0,,11.1,DC03
fixed_mj1_label,MJ1_label,DC03_AC07_0p1tau,0.3,0.7,0.1tau,0.1,0.14338283161432014,2.3333333333333335,6.97433569096934,11.1,DC03_AC07_0p1tau
fixed_mj1_label,MJ1_label,DC03_AC07_1tau,0.3,0.7,1tau,1.0,0.014338283161432014,2.3333333333333335,69.7433569096934,11.1,DC03_AC07_1tau
fixed_mj1_label,MJ1_label,DC03_AC07_5tau,0.3,0.7,5tau,5.0,0.0028676566322864026,2.3333333333333335,348.71678454846705,11.1,DC03_AC07_5tau
fixed_mj1_label,MJ1_label,DC03_AC07_10tau,0.3,0.7,10tau,10.0,0.0014338283161432013,2.3333333333333335,697.4335690969341,11.1,DC03_AC07_10tau
fixed_mj1_label,MJ1_label,DC03_AC07_f000412,0.3,0.7,f=0.000412Hz,34.80165815881557,0.000412,2.3333333333333335,2427.1844660194174,11.1,DC03_AC07_f000412
