file_name,protocol_label,protocol_role,DC_C,AC_C,m_tau,frequency_Hz,idx_Vmax,t_Vmax_detected_s,U_at_Vmax_detected_V,Vmax_detection_method_used,Vmax_detection_status,idx_AC_off,t_AC_off_detected_s,AC_off_detection_method_used,AC_off_detection_status,AC_off_detection_reason,AC_off_post_available_s,AC_off_required_persistence_s,AC_off_window_min_I_A,AC_off_window_max_I_A,AC_off_lag_s,event_framework_status
MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,0.3C+0.7C 0.1tau,DCAC,0.3,0.7,0.1,0.1433828316143201,9407,9419.0,4.202711,priority3_first_V_ge_4p2V_with_deglitch,detected,9407.0,9419.0,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,4011.0,20.923007072908025,2.566196,3.400047,0.0,event_audit_ok_DCAC
MJ1_0p3C_0p7C_10tau_NGU201_raw.csv,0.3C+0.7C 10tau,DCAC,0.3,0.7,10.0,0.0014338283161432,8555,8556.5,4.200239,priority3_first_V_ge_4p2V_with_deglitch,detected,8555.0,8556.5,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,4180.800000000003,2092.300707290804,0.4825737,3.399948,0.0,event_audit_ok_DCAC
MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,0.3C+0.7C 1tau,DCAC,0.3,0.7,1.0,0.014338283161432,8970,8971.300000000003,4.20009,priority3_first_V_ge_4p2V_with_deglitch,detected,8970.0,8971.300000000003,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,4010.7999999999956,209.2300707290804,1.76791,3.400048,0.0,event_audit_ok_DCAC
MJ1_0p3C_DC_NGU201_raw.csv,0.3C DC,DC_reference,0.3,0.0,,0.0,10457,10458.0,4.200028,priority3_first_V_ge_4p2V_with_deglitch,detected,,,not_applicable_DC_reference,not_applicable,pure_DC_reference_has_no_AC_off,,,,,,event_audit_ok_DC_reference
