boundary_type,estimated_AC_C_at_0mV,estimated_peak_C_at_0mV,interpretation
full_protocol_min_U_NE,0.38337910537324565,0.6833791053732456,conservative hard-margin admissibility boundary
common_equalQ_min_U_NE,0.4613598147311131,0.7613598147311131,shared-Q hard-margin boundary
