branch_id,options_json,build_status,n_variables,purpose,error
baseline_false,"{""thermal"": ""isothermal"", ""surface form"": ""false""}",ok,515.0,baseline prior mainline,
double_layer_differential,"{""thermal"": ""isothermal"", ""surface form"": ""differential""}",ok,522.0,Day36 double-layer dynamic branch,
surface_form_algebraic,"{""thermal"": ""isothermal"", ""surface form"": ""algebraic""}",ok,522.0,Day36 algebraic diagnostic,
particle_mechanics_swelling_only,"{""thermal"": ""isothermal"", ""particle mechanics"": ""swelling only""}",failed,,capability audit only; not necessarily Day37 main branch,"KeyError(""Parameter 'Negative electrode partial molar volume [m3.mol-1]' not found. 'Negative electrode partial molar volume [m3.mol-1]' not found. Best matches are ['SEI partial molar volume [m3.mol-1]', 'Negative electrode reaction-driven LAM factor [m3.mol-1]', 'Negative electrode active material volume fraction']"")"
particle_mechanics_swelling_cracking,"{""thermal"": ""isothermal"", ""particle mechanics"": ""swelling and cracking""}",failed,,capability audit only; not necessarily Day37 main branch,"KeyError(""Parameter 'Negative electrode initial crack length [m]' not found. 'Negative electrode initial crack length [m]' not found. Best matches are ['Negative electrode thickness [m]', 'Negative electrode density [kg.m-3]', 'Negative electrode conductivity [S.m-1]']"")"
sei_solvent_diffusion_limited,"{""thermal"": ""isothermal"", ""SEI"": [""solvent-diffusion limited"", ""none""]}",ok,519.0,capability audit only; side reaction branch,
lithium_plating_reversible,"{""thermal"": ""isothermal"", ""lithium plating"": [""reversible"", ""none""]}",failed,,capability audit only; not used as terminal-Q acceleration branch unless cleanly supported,"KeyError(""Parameter 'Exchange-current density for stripping [A.m-2]' not found. 'Exchange-current density for stripping [A.m-2]' not found. Best matches are ['SEI reaction exchange current density [A.m-2]', 'Positive electrode exchange-current density [A.m-2]', 'Negative electrode exchange-current density [A.m-2]']"")"
