param_set,chem_tag,tau95_eq_s,tau2_biexp_s,f_main_over_f_audit,ratio_main_over_label,ratio_audit_over_label
Ecker2015,Kokam-Ecker Co-rich Mn-free,16.349925670057466,16.51765434839429,1.0102586813984114,0.6789021689760982,0.6720082504377536
Mohtat2020,graphite/NMC532,30.03606189856617,43.93258267119451,1.4626612110321864,0.36955577057623124,0.2526598557402361
NCA_Kim2011,graphite/NCA,36.044609511082186,39.39195667694234,1.092866789549516,0.3079517339919363,0.2817834130716656
Ai2020,Enertech LCO/graphite,37.04603411316819,52.419262375868904,1.4149763565983497,0.29962721424084776,0.2117542196684908
Chen2020,LG M50 NMC811-Si,39.04888331734019,36.316532231592305,0.9300274206680182,0.28425908904470243,0.30564592261217993
OKane2022,LG M50 NMC811-Si,40.050307919426196,58.81775623543399,1.4685968545801051,0.27715142720827873,0.1887185215901342
Marquis2019,Kokam-Marquis LCO/graphite,41.71934892290287,43.44669740303815,1.041404013359063,0.266063596066965,0.2554854721644227
ORegan2022,LG M50 NMC811-Si,47.72789653541888,53.575426259434366,1.122518069064201,0.232568388840742,0.20718453916258567
