frequency_policy_id,t_s,AC_C_scheduled,f_Hz,omega_rad_s,phase_rad,I_charge_A,I_py_A,Q_geom_Ah
fixed_local_H,0.0,0.38,0.002921625190367048,0.018357112469199997,0.0,1.5,-1.5,0.0
fixed_local_H,1.0,0.38,0.002921625190367048,0.018357112469199997,0.018357112469199997,1.5348765548100949,-1.5348765548100949,0.0004215106326125132
fixed_local_H,2.0,0.38,0.002921625190367048,0.018357112469199997,0.03671422493839999,1.5697413571239929,-1.5697413571239929,0.0008527075648255808
fixed_local_H,3.0,0.38,0.002921625190367048,0.018357112469199997,0.05507133740759999,1.6045826584057845,-1.6045826584057845,0.0012935859003158276
fixed_local_H,4.0,0.38,0.002921625190367048,0.018357112469199997,0.07342844987679999,1.6393887180387998,-1.6393887180387998,0.0017441374803775754
fixed_local_H,5.0,0.38,0.002921625190367048,0.018357112469199997,0.09178556234599998,1.6741478072818916,-1.6741478072818916,0.002204350886672116
fixed_local_H,6.0,0.38,0.002921625190367048,0.018357112469199997,0.11014267481519997,1.7088482132217189,-1.7088482132217189,0.002674211445075395
fixed_local_H,7.0,0.38,0.002921625190367048,0.018357112469199997,0.12849978728439998,1.7434782427196949,-1.7434782427196949,0.0031537012306228135
fixed_local_H,8.0,0.38,0.002921625190367048,0.018357112469199997,0.14685689975359997,1.7780262263522715,-1.7780262263522715,0.0036427990735494755
fixed_local_H,9.0,0.38,0.002921625190367048,0.018357112469199997,0.16521401222279997,1.8124805223432339,-1.8124805223432339,0.004141480566423852
fixed_local_H,10.0,0.38,0.002921625190367048,0.018357112469199997,0.18357112469199996,1.8468295204866774,-1.8468295204866774,0.00464971807237245
fixed_local_H,11.0,0.38,0.002921625190367048,0.018357112469199997,0.20192823716119995,1.8810616460593463,-1.8810616460593463,0.005167480734392731
fixed_local_H,12.0,0.38,0.002921625190367048,0.018357112469199997,0.22028534963039995,1.915165363721016,-1.915165363721016,0.005694734485751115
fixed_local_H,13.0,0.38,0.002921625190367048,0.018357112469199997,0.23864246209959994,1.9491291814016036,-1.9491291814016036,0.006231442061462589
fixed_local_H,14.0,0.38,0.002921625190367048,0.018357112469199997,0.25699957456879996,1.9829416541737,-1.9829416541737,0.006777563010848048
fixed_local_H,15.0,0.38,0.002921625190367048,0.018357112469199997,0.275356687038,2.0165913881092106,-2.0165913881092106,0.007333053711165119
fixed_local_H,16.0,0.38,0.002921625190367048,0.018357112469199997,0.2937137995072,2.0500670441188182,-2.0500670441188182,0.007897867382307902
fixed_local_H,17.0,0.38,0.002921625190367048,0.018357112469199997,0.3120709119764,2.0833573417729596,-2.0833573417729596,0.008471954102570648
fixed_local_H,18.0,0.38,0.002921625190367048,0.018357112469199997,0.33042802444560004,2.116451063103039,-2.116451063103039,0.009055260825470092
fixed_local_H,19.0,0.38,0.002921625190367048,0.018357112469199997,0.34878513691480006,2.149337056381595,-2.149337056381595,0.009647731397620736
fixed_local_H,20.0,0.38,0.002921625190367048,0.018357112469199997,0.3671422493840001,2.1820042398801416,-2.1820042398801416,0.01024930657765709
fixed_local_H,21.0,0.38,0.002921625190367048,0.018357112469199997,0.3854993618532001,2.214441605603424,-2.214441605603424,0.010859924056196475
fixed_local_H,22.0,0.38,0.002921625190367048,0.018357112469199997,0.4038564743224001,2.246638222998831,-2.246638222998831,0.011479518476835676
fixed_local_H,23.0,0.38,0.002921625190367048,0.018357112469199997,0.42221358679160015,2.2785832426397032,-2.2785832426397032,0.012108021458174361
fixed_local_H,24.0,0.38,0.002921625190367048,0.018357112469199997,0.44057069926080017,2.3102658998813155,-2.3102658998813155,0.012745361616857836
fixed_local_H,25.0,0.38,0.002921625190367048,0.018357112469199997,0.4589278117300002,2.3416755184882767,-2.3416755184882767,0.01339146459163139
fixed_local_H,26.0,0.38,0.002921625190367048,0.018357112469199997,0.4772849241992002,2.3728015142321506,-2.3728015142321506,0.014046253068398115
fixed_local_H,27.0,0.38,0.002921625190367048,0.018357112469199997,0.49564203666840023,2.4036333984580622,-2.4036333984580622,0.014709646806271756
fixed_local_H,28.0,0.38,0.002921625190367048,0.018357112469199997,0.5139991491376003,2.4341607816191067,-2.4341607816191067,0.015381562664615806
fixed_local_H,29.0,0.38,0.002921625190367048,0.018357112469199997,0.5323562616068003,2.4643733767773552,-2.4643733767773552,0.01606191463105976
fixed_local_H,30.0,0.38,0.002921625190367048,0.018357112469199997,0.5507133740760003,2.494261003070288,-2.494261003070288,0.016750613850483043
fixed_local_H,31.0,0.38,0.002921625190367048,0.018357112469199997,0.5690704865452003,2.523813589141481,-2.523813589141481,0.0174475686549569
fixed_local_H,32.0,0.38,0.002921625190367048,0.018357112469199997,0.5874275990144003,2.5530211765343918,-2.5530211765343918,0.018152684594634105
fixed_local_H,33.0,0.38,0.002921625190367048,0.018357112469199997,0.6057847114836004,2.5818739230481036,-2.5818739230481036,0.01886586446957612
fixed_local_H,34.0,0.38,0.002921625190367048,0.018357112469199997,0.6241418239528004,2.6103621060538904,-2.6103621060538904,0.019587008362506955
fixed_local_H,35.0,0.38,0.002921625190367048,0.018357112469199997,0.6424989364220004,2.638476125771491,-2.638476125771491,0.0203160136724827
fixed_local_H,36.0,0.38,0.002921625190367048,0.018357112469199997,0.6608560488912004,2.6662065085039877,-2.6662065085039877,0.021052775149465405
fixed_local_H,37.0,0.38,0.002921625190367048,0.018357112469199997,0.6792131613604004,2.693543909830197,-2.693543909830197,0.021797184929789597
fixed_local_H,38.0,0.38,0.002921625190367048,0.018357112469199997,0.6975702738296005,2.720479117753496,-2.720479117753496,0.022549132572509553
fixed_local_H,39.0,0.38,0.002921625190367048,0.018357112469199997,0.7159273862988005,2.7470030558060277,-2.7470030558060277,0.023308505096615043
fixed_local_H,40.0,0.38,0.002921625190367048,0.018357112469199997,0.7342844987680005,2.7731067861072374,-2.7731067861072374,0.024075187019102995
fixed_local_H,41.0,0.38,0.002921625190367048,0.018357112469199997,0.7526416112372005,2.7987815123757045,-2.7987815123757045,0.024849060393892293
fixed_local_H,42.0,0.38,0.002921625190367048,0.018357112469199997,0.7709987237064005,2.824018582893263,-2.824018582893263,0.02563000485156854
fixed_local_H,43.0,0.38,0.002921625190367048,0.018357112469199997,0.7893558361756006,2.848809493420406,-2.848809493420406,0.026417897639945436
fixed_local_H,44.0,0.38,0.002921625190367048,0.018357112469199997,0.8077129486448006,2.873145890061995,-2.873145890061995,0.0272126136654291
fixed_local_H,45.0,0.38,0.002921625190367048,0.018357112469199997,0.8260700611140006,2.897019572082305,-2.897019572082305,0.028014025535171364
fixed_local_H,46.0,0.38,0.002921625190367048,0.018357112469199997,0.8444271735832006,2.9204224946684625,-2.9204224946684625,0.02882200359999786
fixed_local_H,47.0,0.38,0.002921625190367048,0.018357112469199997,0.8627842860524007,2.943346771641337,-2.943346771641337,0.02963641599809644
fixed_local_H,48.0,0.38,0.002921625190367048,0.018357112469199997,0.8811413985216007,2.9657846781129797,-2.9657846781129797,0.03045712869945121
fixed_local_H,49.0,0.38,0.002921625190367048,0.018357112469199997,0.8994985109908007,2.987728653089712,-2.987728653089712,0.03128400555100714
fixed_local_H,50.0,0.38,0.002921625190367048,0.018357112469199997,0.9178556234600007,3.0091713020199826,-3.0091713020199826,0.032116908322550146
fixed_local_H,51.0,0.38,0.002921625190367048,0.018357112469199997,0.9362127359292007,3.0301053992861426,-3.0301053992861426,0.03295569675328711
fixed_local_H,52.0,0.38,0.002921625190367048,0.018357112469199997,0.9545698483984008,3.0505238906392877,-3.0505238906392877,0.03380022859911009
fixed_local_H,53.0,0.38,0.002921625190367048,0.018357112469199997,0.9729269608676008,3.0704198955763626,-3.0704198955763626,0.03465035968052893
fixed_local_H,54.0,0.38,0.002921625190367048,0.018357112469199997,0.9912840733368008,3.089786709658709,-3.089786709658709,0.03550594393125602
fixed_local_H,55.0,0.38,0.002921625190367048,0.018357112469199997,1.0096411858060008,3.108617806771287,-3.108617806771287,0.036366833447426854
fixed_local_H,56.0,0.38,0.002921625190367048,0.018357112469199997,1.0279982982752007,3.12690684132181,-3.12690684132181,0.037232878537439784
fixed_local_H,57.0,0.38,0.002921625190367048,0.018357112469199997,1.0463554107444006,3.144647650379044,-3.144647650379044,0.03810392777239823
fixed_local_H,58.0,0.38,0.002921625190367048,0.018357112469199997,1.0647125232136005,3.161834255749554,-3.161834255749554,0.03897982803713832
fixed_local_H,59.0,0.38,0.002921625190367048,0.018357112469199997,1.0830696356828005,3.1784608659922036,-3.1784608659922036,0.03986042458182468
fixed_local_H,60.0,0.38,0.002921625190367048,0.018357112469199997,1.1014267481520004,3.1945218783697173,-3.1945218783697173,0.040745561074097165
fixed_local_H,61.0,0.38,0.002921625190367048,0.018357112469199997,1.1197838606212003,3.210011880736662,-3.210011880736662,0.041635079651750825
fixed_local_H,62.0,0.38,0.002921625190367048,0.018357112469199997,1.1381409730904002,3.2249256533631963,-3.2249256533631963,0.04252882097593136
fixed_local_H,63.0,0.38,0.002921625190367048,0.018357112469199997,1.1564980855596,3.2392581706939847,-3.2392581706939847,0.043426624284828186
fixed_local_H,64.0,0.38,0.002921625190367048,0.018357112469199997,1.1748551980288,3.253004603041682,-3.253004603041682,0.04432832744784703
fixed_local_H,65.0,0.38,0.002921625190367048,0.018357112469199997,1.193212310498,3.2661603182144123,-3.2661603182144123,0.04523376702024371
fixed_local_H,66.0,0.38,0.002921625190367048,0.018357112469199997,1.2115694229671998,3.278720883076695,-3.278720883076695,0.04614277829820081
fixed_local_H,67.0,0.38,0.002921625190367048,0.018357112469199997,1.2299265354363997,3.2906820650433,-3.2906820650433,0.04705519537432858
fixed_local_H,68.0,0.38,0.002921625190367048,0.018357112469199997,1.2482836479055996,3.3020398335055186,-3.3020398335055186,0.04797085119357147
fixed_local_H,69.0,0.38,0.002921625190367048,0.018357112469199997,1.2666407603747996,3.312790361189373,-3.312790361189373,0.04888957760950132
fixed_local_H,70.0,0.38,0.002921625190367048,0.018357112469199997,1.2849978728439995,3.3229300254453094,-3.3229300254453094,0.049811205440978355
fixed_local_H,71.0,0.38,0.002921625190367048,0.018357112469199997,1.3033549853131994,3.3324554094689365,-3.3324554094689365,0.05073556452916089
fixed_local_H,72.0,0.38,0.002921625190367048,0.018357112469199997,1.3217120977823993,3.341363303452402,-3.341363303452402,0.05166248379484441
fixed_local_H,73.0,0.38,0.002921625190367048,0.018357112469199997,1.3400692102515992,3.349650705666013,-3.349650705666013,0.05259179129611086
fixed_local_H,74.0,0.38,0.002921625190367048,0.018357112469199997,1.358426322720799,3.3573148234697423,-3.3573148234697423,0.0535233142862686
fixed_local_H,75.0,0.38,0.002921625190367048,0.018357112469199997,1.376783435189999,3.3643530742542733,-3.3643530742542733,0.0544568792720636
fixed_local_H,76.0,0.38,0.002921625190367048,0.018357112469199997,1.395140547659199,3.3707630863112765,-3.3707630863112765,0.055392312072142146
fixed_local_H,77.0,0.38,0.002921625190367048,0.018357112469199997,1.4134976601283988,3.376542699632611,-3.376542699632611,0.05632943787574546
fixed_local_H,78.0,0.38,0.002921625190367048,0.018357112469199997,1.4318547725975987,3.381689966638191,-3.381689966638191,0.05726808130161641
fixed_local_H,79.0,0.38,0.002921625190367048,0.018357112469199997,1.4502118850667987,3.3862031528322722,-3.3862031528322722,0.05820806645709842
fixed_local_H,80.0,0.38,0.002921625190367048,0.018357112469199997,1.4685689975359986,3.3900807373879314,-3.3900807373879314,0.05914921699740678
fixed_local_H,81.0,0.38,0.002921625190367048,0.018357112469199997,1.4869261100051985,3.3933214136595424,-3.3933214136595424,0.060091356185052264
fixed_local_H,82.0,0.38,0.002921625190367048,0.018357112469199997,1.5052832224743984,3.3959240896230876,-3.3959240896230876,0.06103430694939707
fixed_local_H,83.0,0.38,0.002921625190367048,0.018357112469199997,1.5236403349435983,3.3978878882441355,-3.3978878882441355,0.061977891946323076
fixed_local_H,84.0,0.38,0.002921625190367048,0.018357112469199997,1.5419974474127982,3.399212147773385,-3.399212147773385,0.06292193361799218
fixed_local_H,85.0,0.38,0.002921625190367048,0.018357112469199997,1.5603545598819981,3.399896421969652,-3.399896421969652,0.06386625425267871
fixed_local_H,86.0,0.38,0.002921625190367048,0.018357112469199997,1.578711672351198,3.399940480250245,-3.399940480250245,0.0648106760446537
fixed_local_H,87.0,0.38,0.002921625190367048,0.018357112469199997,1.597068784820398,3.399344307768664,-3.399344307768664,0.06575502115410077
fixed_local_H,88.0,0.38,0.002921625190367048,0.018357112469199997,1.6154258972895978,3.3981081054196034,-3.3981081054196034,0.06669911176704359
fixed_local_H,89.0,0.38,0.002921625190367048,0.018357112469199997,1.6337830097587978,3.3962322897712562,-3.3962322897712562,0.06764277015526454
fixed_local_H,90.0,0.38,0.002921625190367048,0.018357112469199997,1.6521401222279977,3.39371749292494,-3.39371749292494,0.06858581873619457
fixed_local_H,91.0,0.38,0.002921625190367048,0.018357112469199997,1.6704972346971976,3.3905645623020977,-3.3905645623020977,0.06952808013275388
fixed_local_H,92.0,0.38,0.002921625190367048,0.018357112469199997,1.6888543471663975,3.3867745603587354,-3.3867745603587354,0.07046937723312344
fixed_local_H,93.0,0.38,0.002921625190367048,0.018357112469199997,1.7072114596355974,3.3823487642274044,-3.3823487642274044,0.07140953325042707
fixed_local_H,94.0,0.38,0.002921625190367048,0.018357112469199997,1.7255685721047973,3.37728866528684,-3.37728866528684,0.07234837178230404
fixed_local_H,95.0,0.38,0.002921625190367048,0.018357112469199997,1.7439256845739972,3.3715959686594057,-3.3715959686594057,0.07328571687035212
fixed_local_H,96.0,0.38,0.002921625190367048,0.018357112469199997,1.7622827970431971,3.36527259263651,-3.36527259263651,0.07422139305942099
