parameter_set,model_type,condition,protocol_type,dc_c,ac_c,tau_factor_set,f_Hz,period_s,t_end_s,t_end_min,Q_end_Ah,V_end_V,min_U_NE_vs_Li_V,min_U_NE_vs_Li_mV,min_U_NE_separator_V,min_U_NE_separator_mV,min_U_NE_xavg_V,min_U_NE_xavg_mV,t_at_min_U_NE_s,Q_at_min_U_NE_Ah,I_charge_at_min_U_NE_A,fraction_time_below_50mV,fraction_time_below_0mV,margin_class
Chen2020,DFN,Chen2020_DFN_DC03,DC,0.3,0.0,,,,10782.9096067284,179.71516011214,4.4928790028035,4.2,0.03728056183906979,37.28056183906979,0.03791745153837418,37.91745153837418,0.04670965851308061,46.709658513080605,10782.9096067284,4.4928790028035,1.5,0.21983715766099185,0.0,near_boundary
Chen2020,DFN,Chen2020_DFN_DC03_AC07_0p5tauSet,DCAC,0.3,0.7,0.5,0.008764875571101144,114.09175086262731,8816.441612064713,146.94069353441188,3.6935382425595478,4.200000000000062,-0.017980758652286728,-17.980758652286728,-0.016392229769851205,-16.392229769851205,0.003396374242466123,3.396374242466123,8816.441612064713,3.6935382425595478,4.956862015766202,0.19690419001868162,0.02775553776354417,risk_flag
Chen2020,DFN,Chen2020_DFN_DC03_AC07_1p5tauSet,DCAC,0.3,0.7,1.5,0.002921625190367048,342.27525258788194,8627.912610570569,143.79854350950947,3.6339416312270765,4.2,-0.02529869098240431,-25.29869098240431,-0.023359654030040266,-23.359654030040264,0.0018300322633943923,1.8300322633943924,8309.072265923156,3.5236683519377916,4.9534192555475896,0.22230433322136378,0.03997312730937185,risk_flag
Chen2020,DFN,Chen2020_DFN_DC03_AC07_3p0tauSet,DCAC,0.3,0.7,3.0,0.001460812595183524,684.5505051757639,8356.42236336638,139.27370605610633,3.5595987037893875,4.200000000000004,-0.024834389024368547,-24.834389024368548,-0.022918082831171475,-22.918082831171475,0.0020762276722944284,2.0762276722944284,8356.42236336638,3.5595987037893875,4.874011448838761,0.23135872480649858,0.04023296804352824,risk_flag
Chen2020,DFN,Chen2020_DFN_DC03_AC07_5p0tauSet,DCAC,0.3,0.7,5.0,0.0008764875571101142,1140.9175086262733,8207.25860752117,136.78764345868615,3.5349283235889786,4.200000000000001,-0.023775307713978153,-23.775307713978155,-0.02186458589835626,-21.86458589835626,0.0031644941847020357,3.164494184702036,8207.25860752117,3.5349283235889786,4.782221511510383,0.2536663035280315,0.04014078605547641,risk_flag
