case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,actual_phase2_start_s,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.50C+AC0.50C_f0.01430Hz_X6beta_p0,0.5,0.5,0.0143,1.0,2.295430898666382,2.59902064812527,2.8296677250370172,9052.808326379909,-0.3307987611635937,6377.220068092385,4613.352365952584,106.28700113487308,76.88920609920973,5686.471034723148,ok,0.5+0.5C 1τ,1τ,X6beta-phase0
DC0.90C+AC0.10C_f0.00086Hz_X6beta_p0,0.9,0.1,0.00086,0.11111111111111112,1.2204408645629883,2.59902064812527,2.8662465747421124,9052.808326379909,-0.9174670188020727,3320.5690480687354,5035.287516204,55.34281746781225,83.9214586034,5688.965819039221,ok,0.9+0.1C 16.7τ,16.7τ,X6beta-phase0
DC0.90C+AC0.10C_f0.00860Hz_X6beta_p0,0.9,0.1,0.0086,0.11111111111111112,1.0875229835510254,2.59902064812527,2.847934110984769,9052.808326379909,0.8132488514555507,3320.861690475169,5016.678465269777,55.34769484125282,83.61130775449628,5688.734076104298,ok,0.9+0.1C 1.67τ,1.67τ,X6beta-phase0
DC0.90C+AC0.10C_f0.00143Hz_X6beta_p0,0.9,0.1,0.00143,0.11111111111111112,1.1898272037506104,2.59902064812527,2.848208558076573,9052.808326379909,0.7887438154303961,3424.2009417956106,4901.99296866256,57.07001569659351,81.69988281104267,5688.904413527028,ok,0.9+0.1C 10τ,10τ,X6beta-phase0
DC0.90C+AC0.10C_f0.01430Hz_X6beta_p0,0.9,0.1,0.0143,0.11111111111111112,1.193403959274292,2.59902064812527,2.860264495877887,9052.808326379909,-0.3307987611635937,3356.781670415181,4982.636083476815,55.94636117358635,83.04393472461358,5689.054668027547,ok,0.9+0.1C 1τ,1τ,X6beta-phase0
DC0.10C_baseline_X6beta_p0,0.1,0.0,0.0,0.0,1.1780469417572021,2.59902064812527,2.705137242553739,9052.808326379909,0.0,40096.44377700832,1932.5300590768384,668.2740629501386,32.20883431794731,5681.557779681715,ok,0.1C_DC,baseline,X6beta-phase0
DC0.20C_baseline_X6beta_p0,0.2,0.0,0.0,0.0,1.029623031616211,2.59902064812527,2.7447323336760645,9052.808326379909,0.0,19568.82070850206,2677.6676674009723,326.14701180836767,44.62779445668287,5685.201242266843,ok,0.2C_DC,baseline,X6beta-phase0
DC0.30C_baseline_X6beta_p0,0.3,0.0,0.0,0.0,1.1710941791534424,2.59902064812527,2.7704014681701667,9052.808326379909,0.0,12684.524325379629,3183.440062838192,211.40873875632715,53.05733438063653,5686.511289860746,ok,0.3C_DC,baseline,X6beta-phase0
DC0.40C_baseline_X6beta_p0,0.4,0.0,0.0,0.0,1.0337316989898682,2.59902064812527,2.7901772577609747,9052.808326379909,0.0,9168.878605638663,3631.729943269307,152.81464342731107,60.52883238782179,5686.657224410304,ok,0.4C_DC,baseline,X6beta-phase0
DC0.50C_baseline_X6beta_p0,0.5,0.0,0.0,0.0,1.067990779876709,2.59902064812527,2.8066776147631023,9052.808326379909,0.0,6953.605795485049,4105.620569241179,115.89342992475082,68.42700948735298,5686.783154393223,ok,0.5C_DC,baseline,X6beta-phase0
DC0.90C_baseline_X6beta_p0,0.9,0.0,0.0,0.0,1.4496660232543945,2.59902064812527,2.856795398599332,9052.808326379909,0.0,3359.5056668329944,4983.782293958753,55.99176111388324,83.06303823264588,5689.647664544009,ok,0.9C_DC,baseline,X6beta-phase0
DC0.20C+AC0.80C_f0.00143Hz_X6beta_p0,0.2,0.8,0.00143,4.0,1.1455719470977783,,2.4024622058891247,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X6beta-phase0
