parameter_set,pair_id,branch,t_vmax_min,Q_vmax_Ah,t_end_min,Q_end_Ah,I_end_A,I_end_C,termination
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,DC,179.71361764609452,4.492840441152363,232.06822575159987,4.872669525036875,0.0735394117647059,0.014707882352941178,event: Charge current cutoff [A]
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,174.909051594849,4.377471558827524,231.49198096779426,4.872022631334843,0.0735394117647059,0.014707882352941178,event: Charge current cutoff [A]
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,DC,179.71361764611189,4.492840441152798,232.06822574656564,4.872669525010021,0.0735394117647059,0.014707882352941178,event: Charge current cutoff [A]
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,159.39453812351465,3.988095461319682,226.31359389769688,4.8725634082515015,0.07353941176470588,0.014707882352941177,event: Charge current cutoff [A]
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,179.71362166901656,4.492840541725414,232.06822554808232,4.872669525119994,0.0735394117647059,0.014707882352941178,event: Charge current cutoff [A]
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,154.84985090558501,3.8717881470264106,224.24475070636848,4.872654743365021,0.07353941176470588,0.014707882352941177,event: Charge current cutoff [A]
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,DC,204.72782691510318,0.15994361477742436,214.48198598717212,0.16230514013924102,0.0023077941176470585,0.014769882352941174,event: Charge current cutoff [A]
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,199.06384224216617,0.15651238910189819,211.48621818348386,0.16231052456158263,0.002307794117647059,0.014769882352941178,event: Charge current cutoff [A]
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,DC,204.7278269566596,0.15994361480989033,214.48196876835698,0.16230513947023345,0.0023077941176470585,0.014769882352941174,event: Charge current cutoff [A]
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,206.8575452505556,0.16161857881173275,213.03369362496704,0.1623024355604671,0.0023077941176470594,0.01476988235294118,event: Charge current cutoff [A]
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,204.72782627753946,0.1599436142793277,214.48194992238177,0.16230513567029317,0.002307794117647059,0.014769882352941178,event: Charge current cutoff [A]
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,203.5388434701101,0.1590156977785266,214.32429375937986,0.1623047826882679,0.0023077941176470585,0.014769882352941174,event: Charge current cutoff [A]
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,DC,184.54360086325107,4.6135900215812775,184.54360086325107,4.6135900215812775,-5.084349912641455,-1.016869982528291,already_below_cutoff_at_CV_start
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,DCAC,120.00430261355679,3.156368044534599,120.00430261355679,3.156368044534599,-0.6361353519240542,-0.12722707038481085,already_below_cutoff_at_CV_start
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,DC,184.5436081406633,4.6135902035165826,184.5436081406633,4.6135902035165826,-5.084399188683895,-1.016879837736779,already_below_cutoff_at_CV_start
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,DCAC,182.9095077324701,4.590177431374087,182.9095077324701,4.590177431374087,-4.530127003379853,-0.9060254006759706,already_below_cutoff_at_CV_start
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,DC,184.54360793181027,4.613590198295257,184.54360793181027,4.613590198295257,-5.084420569780697,-1.0168841139561393,already_below_cutoff_at_CV_start
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,DCAC,184.25868078577253,4.607028146574186,184.25868078577253,4.607028146574186,-2.8112732424655325,-0.5622546484931065,already_below_cutoff_at_CV_start
