condition,protocol_type,case_role,dc_c,ac_c,peak_c,tau_factor_set,f_Hz,t_at_min_U_NE_s,t_at_min_U_NE_min,Q_at_min_U_NE_Ah,Q_frac_of_DC_end_at_min_U_NE,phase_norm_at_min_U_NE,I_charge_at_min_U_NE_A,I_charge_peak_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,min_U_NE_mV,U_NE_separator_at_min_mV,U_NE_xavg_at_min_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,c_e_min_at_min_U_NE_molm3,c_e_max_at_min_U_NE_molm3,c_e_range_at_min_U_NE_molm3,c_e_range_p90_molm3,eta_n_at_min_U_NE_V,eta_p_at_min_U_NE_V,neg_surface_sto_xavg_at_min_U_NE,neg_surface_sto_max_at_min_U_NE,neg_surface_sto_min_at_min_U_NE,neg_surface_sto_range_at_min_U_NE,neg_surface_sto_range_p90,trigger_label,trigger_label_refined,c_e_range_vs_DC_at_min,surface_range_vs_DC_at_min,eta_n_vs_DC_at_min
Chen2020_DFN_Day33B_DC03,DC,dc_reference,0.3,0.0,0.3,,,10782.9096067284,179.71516011214,4.4928790028035,1.0,,1.5,1.5,4.2,0.0,37.28056183906979,37.91745153837418,46.709658513080605,near_boundary,0.21983715766099185,0.0,806.270398714956,1160.3889473375732,354.11854862261725,359.6022120374836,-0.04531043975666531,0.003981603140602807,0.8464727204603096,0.9221540319771662,0.8054375023211946,0.11671652965597157,0.10531789124755246,dc_reference+current_peak+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,dc_reference+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,1.0,1.0,1.0
Chen2020_DFN_Day33B_DC03_AC0p7_stress,DCAC,stress_case,0.3,0.7,1.0,1.5,0.002921625190367048,8309.072265923156,138.48453776538594,3.5236683519377916,0.784278488189659,0.2759948407012994,4.9534192555475896,5.0,4.194623813074763,5.376186925237114,-25.29869098240431,-23.359654030040264,1.875964157420755,risk_flag,0.22230433322136378,0.03997312730937185,526.6740672467787,1488.0657455211624,961.3916782743837,964.2477037599914,-0.091411779787198,0.011299683027774066,0.689298800199592,0.7820418160172795,0.6489227117139039,0.1331191043033756,0.15651524883910722,current_peak+high_Q_or_SOC+boundary_coupled,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled,2.714886531682177,1.1405334334027195,2.0174551445122764
Chen2020_DFN_Day33B_DC03_AC0p38_boundary,DCAC,near_hard_margin_boundary,0.3,0.38,0.6799999999999999,1.5,0.002921625190367048,9317.81366486385,155.2968944143975,3.9063328318012034,0.869449818115222,0.2231591224125244,3.3730445127283275,3.4,4.200000000000002,-1.7763568394002505e-12,0.5840363154033125,1.8792116732723858,18.853794584447353,near_boundary,0.14506236648060092,0.0,672.4074668143467,1295.7425158769174,623.3350490625708,684.475347725763,-0.07320034549883411,0.008198022020370566,0.7500698680106423,0.8358805190720102,0.7090484902189784,0.1268320288530318,0.12176983487874238,current_peak+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,1.760243995936108,1.0866672375101987,1.6155293546464888
Chen2020_DFN_Day33B_DC03_AC0p3_intermediate,DCAC,intermediate_reference,0.3,0.3,0.6,1.5,0.002921625190367048,9661.819662433849,161.0303277072308,4.045353228491462,0.9003922041896103,0.2282157105503815,2.9859709048456686,3.0,4.200000000000001,-8.881784197001252e-13,6.6610047008486255,7.826374951294939,23.23644295075757,near_boundary,0.12872123302132452,0.0,697.0915222527046,1265.7060059737844,568.6144837210798,614.7423742568639,-0.06879206447551095,0.0073982072925291575,0.7731040393207261,0.8570202258726715,0.731697746039211,0.12532247983346045,0.11579753139941991,current_peak+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,1.6057178759281823,1.0737337736381933,1.5182387291968718
