condition,case_role,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,dc_c,ac_c,peak_c,tau_factor_set,f_Hz,error
Chen2020_DFN_Day33C_DC03,dc_reference,ok_reused,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,0.3,0.0,0.3,,,
Chen2020_DFN_Day33C_DC03_AC0p38_0p5tauSet,AC0p38_0p5tauSet,ok,event: Maximum voltage [V],9609.815332038592,160.16358886730987,4.0121362477574225,4.20000000000009,-0.39999999998899227,3.3999999579496154,0.3,0.38,0.6799999999999999,0.5,0.008764875571101144,
Chen2020_DFN_Day33C_DC03_AC0p38_1p5tauSet,AC0p38_1p5tauSet,ok,event: Maximum voltage [V],9317.81366486385,155.2968944143975,3.9063328318012034,4.200000000000002,-0.39999999904801364,3.399999857274451,0.3,0.38,0.6799999999999999,1.5,0.002921625190367048,
Chen2020_DFN_Day33C_DC03_AC0p38_3p0tauSet,AC0p38_3p0tauSet,ok,event: Maximum voltage [V],9067.79814299205,151.1299690498675,3.834432153954702,4.200000000000034,-0.39999871547019095,3.3999999735334265,0.3,0.38,0.6799999999999999,3.0,0.001460812595183524,
Chen2020_DFN_Day33C_DC03_AC0p38_5p0tauSet,AC0p38_5p0tauSet,ok,event: Maximum voltage [V],9318.661076559047,155.31101794265078,3.931228315231021,4.200000000000001,-0.3999998843045851,3.399999857274451,0.3,0.38,0.6799999999999999,5.0,0.0008764875571101142,
