condition,DC,AC,f_Hz,ablation,Q_CC_end_mAh
0.2+0.3C 1τ,0.2,0.3,0.0143,B_Dsn_up,4532.899242309989
0.2+0.3C 10τ,0.2,0.3,0.00143,B_Dsn_up,4369.836935261852
0.2+0.3C 34.8τ,0.2,0.3,0.00041,B_Dsn_up,4345.707848535975
0.2+0.8C 0.1τ,0.2,0.8,0.143,B_Dsn_up,4054.9133684492726
0.2+0.8C 1τ,0.2,0.8,0.0143,B_Dsn_up,3982.774157833507
0.2+0.8C 10τ,0.2,0.8,0.00143,B_Dsn_up,3710.347479888901
0.3+0.7C 0.1τ,0.3,0.7,0.143,B_Dsn_up,3970.177440146709
0.3+0.7C 1τ,0.3,0.7,0.0143,B_Dsn_up,3911.863941872651
0.3+0.7C 10τ,0.3,0.7,0.00143,B_Dsn_up,3661.543802195527
0.3+0.4C 0.1τ,0.3,0.4,0.143,B_Dsn_up,4170.926585443201
0.3+0.4C 1τ,0.3,0.4,0.0143,B_Dsn_up,4121.438459824672
0.3+0.4C 10τ,0.3,0.4,0.00143,B_Dsn_up,3947.6557386086683
0.4+0.6C 0.5τ,0.4,0.6,0.0286,B_Dsn_up,3889.7365499522225
0.4+0.5C 1.67τ,0.4,0.5,0.0086,B_Dsn_up,3904.823470475337
0.4+0.6C 1.67τ,0.4,0.6,0.0086,B_Dsn_up,3838.3869710511867
0.4+0.6C 5τ,0.4,0.6,0.00286,B_Dsn_up,3765.8106187670373
0.4+0.6C 10τ,0.4,0.6,0.00143,B_Dsn_up,3668.7701763186524
0.5+0.5C 1τ,0.5,0.5,0.0143,B_Dsn_up,3811.9224549470114
0.9+0.1C 16.7τ,0.9,0.1,0.00086,B_Dsn_up,3639.4363936142113
0.9+0.1C 1.67τ,0.9,0.1,0.0086,B_Dsn_up,3590.9986983459717
0.9+0.1C 10τ,0.9,0.1,0.00143,B_Dsn_up,3751.8302447135284
0.9+0.1C 1τ,0.9,0.1,0.0143,B_Dsn_up,3632.913067103844
DC_0.1C,0.1,0.0,0.0,B_Dsn_down,4918.449842539597
DC_0.2C,0.2,0.0,0.0,B_Dsn_down,4777.714425822482
DC_0.3C,0.3,0.0,0.0,B_Dsn_down,4638.012560598438
DC_0.4C,0.4,0.0,0.0,B_Dsn_down,4487.428929019387
DC_0.5C,0.5,0.0,0.0,B_Dsn_down,4292.085331860267
DC_0.9C,0.9,0.0,0.0,B_Dsn_down,3601.900897604504
0.1+0.9C 1τ,0.1,0.9,0.0143,B_Dsn_down,4058.3781335450553
0.1+0.2C 1τ,0.1,0.2,0.0143,B_Dsn_down,4771.39708085404
0.2+0.3C 1τ,0.2,0.3,0.0143,B_Dsn_down,4515.165941951657
0.2+0.3C 10τ,0.2,0.3,0.00143,B_Dsn_down,4360.38338863674
0.2+0.3C 34.8τ,0.2,0.3,0.00041,B_Dsn_down,4330.735253784911
0.2+0.8C 0.1τ,0.2,0.8,0.143,B_Dsn_down,4052.8440230475853
0.2+0.8C 1τ,0.2,0.8,0.0143,B_Dsn_down,3979.6135040771715
0.3+0.7C 0.1τ,0.3,0.7,0.143,B_Dsn_down,3964.3645162661296
0.3+0.7C 1τ,0.3,0.7,0.0143,B_Dsn_down,3911.189961016593
0.3+0.7C 10τ,0.3,0.7,0.00143,B_Dsn_down,3638.2111431058847
0.3+0.4C 0.1τ,0.3,0.4,0.143,B_Dsn_down,4159.479649601977
0.3+0.4C 1τ,0.3,0.4,0.0143,B_Dsn_down,4120.976592491906
0.3+0.4C 10τ,0.3,0.4,0.00143,B_Dsn_down,3938.9958702531308
0.4+0.6C 0.5τ,0.4,0.6,0.0286,B_Dsn_down,3871.8003186540564
