frequency_policy_id,min_U_NE_mV,margin_class,fraction_time_below_0mV,fraction_time_below_50mV,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,max_c_e_range_molm3,c_e_range_at_min_U_NE_molm3,max_neg_surface_sto_range,surface_range_at_min_U_NE,eta_n_at_min_U_NE_V,max_c_e_range_vs_DC,surface_range_at_min_vs_DC,abs_eta_n_at_min_vs_DC
DC03_reference,37.28056183906979,near_boundary,0.0,0.21983715766099185,4.4928790028035,10782.9096067284,1.5,1.5,4.2,377.86842281485883,354.11854862261725,0.11671652965597157,0.11671652965597157,-0.04531043975666531,1.0,1.0,1.0
fixed_local_H,37.15132368066774,near_boundary,0.0,0.21107984994640944,4.493002486858021,10655.17632364101,1.5,3.399991282160039,4.200000000000015,728.2231322264568,354.92818121833795,0.1332787023704175,0.12400322671621788,-0.04540528617894037,1.9271870531062036,1.0624307206676231,1.0020932575976844
seg_tau_fast_k1p5,37.17064770803267,near_boundary,0.0,0.19567417151530483,4.491437451836558,10693.455308472958,1.5,3.399948732519223,4.200000000000012,701.4972610699241,354.80843569433034,0.13003749980588442,0.12288648429340976,-0.04539112513284596,1.856459070711053,1.052862732087944,1.0017807237496252
seg_tau_slow_k1p5,30.71653661958155,near_boundary,0.0,0.27765037925560065,2.942640023448708,6323.789888847175,3.238668874108443,3.399998231741976,4.036950165411946,787.0020512379479,774.2684912731952,0.1485773472136228,0.13909301367155869,-0.06739547720790892,2.0827409852755783,1.19171649535454,1.4874160915199424
seg_tau_fast_k1p0,37.1964636169244,near_boundary,0.0,0.17031294860752225,4.492534306994187,10725.831229248282,1.5,3.3999853784166834,4.200000000000001,644.8363686610285,354.64885068828573,0.125795987029014,0.12142081710487951,-0.04537217048091584,1.7065103346224137,1.040305237508124,1.0013623951694588
seg_tau_fast_k3p0,37.165323397088436,near_boundary,0.0,0.2288839951694253,4.4923099658093,10693.213741811298,1.5,3.3999965635515683,4.2,740.9042720251633,354.8488189836128,0.13487008913752058,0.12305490673718145,-0.0453953769291014,1.9607467237032883,1.0543057362988137,1.0018745607611015
