parameter_set,pair_id,dc_ref_c,dcac_dc_c,dcac_ac_c,freq_label,frequency_hz,tau_label_s,kappa,t_vmax_DC_min,t_vmax_DCAC_min,delta_t_vmax_min,Q_vmax_DC_Ah,Q_vmax_DCAC_Ah,Q_vmax_DCAC_minus_DC_Ah,Q_frontier_minus_Q_at_Vmax_DCAC_mAh,t_end_DC_min,t_end_DCAC_min,delta_t_SOC80_min,delta_t_SOC90_min,delta_t_SOC95_min,delta_t_common_Q_end_min,cc_resid_mean_s,cc_resid_max_abs_s,dc_q_closure_max_abs_mAh,dcac_q_closure_max_abs_mAh,lead_within_A_common_prescribed_CC_min,lead_handover_to_B_min,lead_within_B_min,lead_handover_to_D_min,lead_within_D_common_CV_min,lead_final_grid_actual_min,level1_verdict,level2_verdict,level3_verdict
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.3,0.3,0.7,10tau,0.0014338283161432013,11.1,2.3333333333333335,179.71361764609452,174.909051594849,4.80456605124553,4.492840441152363,4.377471558827524,-0.1153688823248391,62.08888458337558,232.06822575159987,231.49198096779426,6.584072132138044,4.346633494993117,1.0852253395604747,0.08830334496694074,-0.006168860307096343,0.14725677314436325,0.0,0.005839203332413945,6.488548958459839,-7.607800919028765,0.1047503320753701,0.02260607231270706,-0.9452355468161233,0.15732168922152898,mid_trajectory_gain_but_endpoint_gain_nearly_consumed,PASS_common_CC_geometry_dominated,major_lead_loss_at_A_to_B_handover_then_common_CV_consumes_remaining_lead
Chen2020,P02_0p3DC_vs_0p3p0p7_1tau,0.3,0.3,0.7,1tau,0.014338283161432014,11.1,2.3333333333333335,179.71361764611189,159.39453812351465,20.319079522597235,4.492840441152798,3.988095461319682,-0.5047449798331161,1.060600435387471,232.06822574656564,226.31359389769688,0.7610768992690585,4.712095129701296,6.266876905220882,5.70002374841503,-0.05597938399903626,0.517577193318175,0.0,0.05842334174566144,0.30106563949601933,0.0426198317697829,5.671101970761537,-0.10411591817152477,-0.5105655228502055,5.685979547062167,mid_and_endpoint_gain_preserved,PASS_common_CC_geometry_dominated,common_CV_consumes_remaining_lead
Chen2020,P03_0p3DC_vs_0p3p0p7_0p1tau,0.3,0.3,0.7,0.1tau,0.1433828316143201,11.1,2.3333333333333335,179.71362166901656,154.84985090558501,24.863770763431546,4.492840541725414,3.8717881470264106,-0.6210523946990034,0.0,232.06822554808232,224.24475070636848,0.028895821480485515,6.85343335077132,8.336157983587267,7.823474841713838,-0.09900877451328209,4.214533996954174,0.0,0.03661884409500438,0.042976977651579776,-0.01636146873452162,8.31851447091849,-0.10950973237028627,-0.4463519719741269,7.815468550077882,no_clear_operational_gain,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
Ecker2015,P01_0p3DC_vs_0p3p0p7_10tau,0.3,0.3,0.7,10tau,0.0014338283161432013,11.1,2.3333333333333335,204.72782691510318,199.06384224216617,5.663984672937005,0.15994361477742436,0.15651238910189819,-0.0034312256755261727,0.3861246566241594,214.48198598717212,211.48621818348386,6.584072132138044,4.346633494993117,3.213641831539462,3.1181437450059395,-0.004939163951080753,0.05005812528270326,0.0,0.00018247510413793577,6.415786129008826,-6.572976421126744,0.8857541526346417,0.002301253974565043,0.11145972964350204,3.0404129887330478,mid_and_endpoint_gain_preserved,PASS_common_CC_geometry_dominated,major_lead_loss_at_A_to_B_handover
Ecker2015,P02_0p3DC_vs_0p3p0p7_1tau,0.3,0.3,0.7,1tau,0.014338283161432014,11.1,2.3333333333333335,204.7278269566596,206.8575452505556,-2.1297182938959907,0.15994361480989033,0.16161857881173275,0.0016749640018424161,0.27616210418360265,214.48196876835698,213.03369362496704,0.7610768992690585,0.8585061369931585,0.6178094017720771,1.3941333316925617,-0.05658648122623286,0.5840599690313866,0.0,0.00182572942955192,0.3610820015947823,,,0.8200515890462156,0.0,1.4455428971562165,mid_and_endpoint_gain_preserved,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
Ecker2015,P03_0p3DC_vs_0p3p0p7_0p1tau,0.3,0.3,0.7,0.1tau,0.1433828316143201,11.1,2.3333333333333335,204.72782627753946,203.5388434701101,1.188982807429369,0.1599436142793277,0.1590156977785266,-0.0009279165008011236,0.0195553300150475,214.48194992238177,214.32429375937986,0.028895821480485515,0.0335472066463808,0.035987287708455065,0.15765616300192656,-0.19555382502902746,4.085635462861319,0.0,0.0011443388779688868,0.0029009310081491435,0.13625714157566715,0.0,-0.01766511128738177,-0.0186031273278483,0.1557563845591479,no_clear_operational_gain,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
ORegan2022,P01_0p3DC_vs_0p3p0p7_10tau,0.3,0.3,0.7,10tau,0.0014338283161432013,11.1,2.3333333333333335,184.54360086325107,120.00430261355679,64.53929824969428,4.6135900215812775,3.156368044534599,-1.4572219770466783,0.0,184.54360086325107,120.00430261355679,,,,6.250419167827173,-0.006430554088869774,0.16562485221720635,0.0,0.005839202522395226,4.020388801098001,,,,,6.114841593316502,no_clear_operational_gain,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
ORegan2022,P02_0p3DC_vs_0p3p0p7_1tau,0.3,0.3,0.7,1tau,0.014338283161432014,11.1,2.3333333333333335,184.5436081406633,182.9095077324701,1.6341004081932056,4.6135902035165826,4.590177431374087,-0.023412772142495264,0.0,184.5436081406633,182.9095077324701,0.7610768992690585,0.8585061369931585,0.6178094017720771,0.6975895224933992,-0.05542614154002668,0.6449113203489105,0.0,0.05842334174566144,0.27731711112542806,,,,,0.5631906571819855,mid_and_endpoint_gain_preserved,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
ORegan2022,P03_0p3DC_vs_0p3p0p7_0p1tau,0.3,0.3,0.7,0.1tau,0.1433828316143201,11.1,2.3333333333333335,184.54360793181027,184.25868078577253,0.28492714603774516,4.613590198295257,4.607028146574186,-0.006562051721070716,0.0,184.54360793181027,184.25868078577253,0.028895821480485515,0.0335472066463808,0.035987287708455065,0.022445077194909877,-0.0990059997411033,4.233167080048588,0.0,0.03661884409500438,0.01857757285892869,,,,,0.04477784744567544,no_clear_operational_gain,PASS_common_CC_geometry_dominated,later_segments_preserve_or_no_major_loss
