parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.522231468979339,0.5044462937958678,0.5544462937958679,6053.355525550414,5766.004946068877,287.35057948153735,4.789176324692289,6053.355525550413,5766.002600554009,287.352924996404,4.7892154166067336,-0.002345514866647136,-3.909191444411893e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.5573362728775906,0.5114672545755181,0.5614672545755182,6137.607054906217,5791.778784433346,345.8282704728708,5.76380450788118,6137.607054906217,5791.775437437758,345.8316174684587,5.763860291140978,-0.003346995587889978,-5.57832597981663e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.5924410767758417,0.5184882153551683,0.5684882153551684,6221.8585842620205,5819.133523289683,402.7250609723378,6.712084349538964,6221.8585842620205,5819.127903877266,402.7306803847541,6.712178006412569,-0.005619412416308478,-9.36568736051413e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.627545880674093,0.5255091761348185,0.5755091761348186,6306.110113617823,5849.90493002145,456.205183596373,7.603419726606217,6306.110113617823,5849.899491253167,456.21062236465605,7.603510372744267,-0.005438768283056561,-9.064613805094268e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.6626506845723443,0.5325301369144688,0.5825301369144689,6390.361642973626,5888.644079731043,501.7175632425824,8.361959387376373,6390.361642973627,5888.631934256815,501.72970871681173,8.362161811946862,-0.012145474229328102,-0.0002024245704888017,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.6977554884705954,0.5395510976941191,0.5895510976941192,6474.613172329429,6376.733017413822,97.88015491560691,1.6313359152601152,6474.613172329429,6376.734215862569,97.87895646686047,1.6313159411143412,0.0011984487464360427,1.9974145773934047e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.732860292368847,0.5465720584737694,0.5965720584737695,6558.864701685233,6404.906853536266,153.95784814896706,2.5659641358161176,6558.864701685233,6404.906851224565,153.95785046066794,2.5659641743444657,-2.311700882273726e-06,-3.852834803789544e-08,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.767965096267098,0.5535930192534196,0.6035930192534197,6643.1162310410355,6431.040227112361,212.07600392867425,3.534600065477904,6643.1162310410355,6431.039058613522,212.0771724275137,3.5346195404585616,-0.001168498839433596,-1.94749806572266e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.803069900165349,0.5606139800330698,0.6106139800330699,6727.367760396838,6456.396269826648,270.9714905701903,4.516191509503172,6727.367760396838,6456.393971049808,270.9737893470301,4.5162298224505015,-0.002298776839779748,-3.831294732966247e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.8381747040636007,0.5676349408127201,0.6176349408127202,6811.619289752642,6481.943392361172,329.67589739146933,5.494598289857822,6811.619289752642,6481.940558201397,329.6787315512447,5.494645525854079,-0.0028341597753751557,-4.7235996256252595e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.873279507961852,0.5746559015923703,0.6246559015923704,6895.870819108444,6508.720666899041,387.15015220940313,6.452502536823386,6895.870819108444,6508.715631573119,387.15518753532524,6.452586458922087,-0.0050353259221083135,-8.392209870180522e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.9083843118601034,0.5816768623720207,0.6316768623720207,6980.122348464249,6538.272782224705,441.8495662395435,7.364159437325725,6980.122348464249,6538.2669624852515,441.8553859789972,7.364256432983287,-0.0058197394537273794,-9.699565756212299e-05,0.1,4.2774716638919035,0.1,0.25
