frequency_policy_id,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class
fixed_local_H,91.81284213121089,0.05239694019633134,137.96015520329274,91.83411757517028,-0.02127544395937207,0.021315705261641824,0.21648286654090043,0.01,geometry_dominated
seg_tau_fast_k1p0,42.22839239102388,-0.5162549871783995,67.71379342019463,42.2952613228234,-0.0668689317995171,0.0668689317995171,0.1912353721531872,0.0,geometry_dominated
seg_tau_fast_k1p5,66.059736323126,-0.0016758972808474937,102.646855674373,66.09048131515812,-0.030744992032109054,0.030744992032109054,0.19997362487811188,0.0,geometry_dominated
seg_tau_fast_k3p0,96.52249724211742,-2.519357116518222,202.94568550102304,96.52696460096935,-0.004467358851928793,0.004575121164856455,0.018835570774172083,0.02,geometry_dominated
seg_tau_slow_k1p5,662.4880716228149,-77.46577219870414,1070.2572280851773,662.4887959230562,-0.000724300241288347,0.0007908563277919711,0.006270751949386977,0.13,geometry_dominated
