protocol_pair,protocol_label_DCAC,file_name_DCAC,kappa,Q_label,Q_Ah,is_anchor,generalized_region,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,boundary_ordering_by_Q,boundary_ordering_by_time,protocol_mode_status_DCAC,geometry_phase_reference_status,geometry_phase_offset_rad,fit_status,I0_fit_A,A_fit_A,A_fit_ratio_to_expected,fit_rmse_A,continued_AC_after_Vmax_caveat,not_same_protocol_family_as_Day21A_Day22A
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.15000000000000002,False,G0_shared_pre_boundary,397.2623051064839,380.8500001165984,16.412304989885513,397.0588235294094,387.06201700341694,9.99680652599244,6.415498463893073,10.598153936918095,5.814151052967418,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.16,False,G0_shared_pre_boundary,423.7371019179126,423.1183628949625,0.6187390229500807,423.5294117647031,427.6152558979282,-4.085844133225066,4.704583156175147,0.28603507904409753,0.3327039439059831,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.16999999999999998,False,G0_shared_pre_boundary,450.211846426738,439.6692343588522,10.542612067885841,449.9999999999968,446.79133094341427,3.2086690565825506,7.33394301130329,4.5809953505760745,5.9616167173097665,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.18,False,G0_shared_pre_boundary,476.6863813095081,461.4401433461356,15.246237963372494,476.4705882352907,464.2221582308749,12.248430004415752,2.9978079589567415,13.180548105069988,2.0656898583025054,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.19,False,G0_shared_pre_boundary,503.16092187323596,499.6735896095749,3.4873322636610737,502.9411764705845,506.10589103791534,-3.1647145673308614,6.652046830991935,-0.35094634070526354,3.8382786043663373,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.2,False,G0_shared_pre_boundary,529.6353851516616,515.3627676826773,14.272617468984322,529.4117647058783,522.1175438228126,7.294220883065691,6.978396585918631,8.603201345045704,5.669416123938618,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.21000000000000002,False,G0_shared_pre_boundary,556.1097042565856,555.4111057880697,0.698598468515911,555.8823529411721,550.4171340648521,5.465218876320023,-4.766620407804112,11.296702094276156,-10.598103625760245,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.22000000000000003,False,G0_shared_pre_boundary,582.5838250034377,575.2460844056776,7.337740597760103,582.352941176466,582.1210397176235,0.23190145884245794,7.105839138917645,2.505534489051456,4.832206108708647,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.22999999999999998,False,G0_shared_pre_boundary,609.0578463077113,592.3294127400865,16.728433567624847,608.8235294117596,598.0126873109996,10.810842100760055,5.917591466864792,12.264619451698763,4.463814115926084,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.24,False,G0_shared_pre_boundary,635.5316039928103,635.6179364597253,-0.08633246691499608,635.2941176470534,639.6371757615208,-4.34305811446734,4.256725647552344,0.9346282544106543,-1.0209607213256504,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
