policy_id,Q_Ah,delta_t_raw_s,delta_t_geom_s,delta_t_resid_s
seed_sched_v2_conservative,0.2,59.59772714330808,59.600125491795836,-0.0023983484877589945
seed_sched_v2_conservative,0.24107962459115428,113.0336126330227,113.03743201615856,-0.0038193831358626085
seed_sched_v2_conservative,0.28215924918230856,0.7705811795262889,0.7716696515254853,-0.001088471999196372
seed_sched_v2_conservative,0.32323887377346283,34.32885859801797,34.331617683810464,-0.002759085792490623
seed_sched_v2_conservative,0.3643184983646171,88.56911648449284,88.57479274335844,-0.005676258865605632
seed_sched_v2_conservative,0.4053981229557714,134.54148747973727,134.5520060514026,-0.010518571665329546
seed_sched_v2_conservative,0.44647774754692565,12.04541954982733,12.046564576612354,-0.0011450267850250384
seed_sched_v2_conservative,0.4875573721380799,62.70985944622339,62.71320206315863,-0.003342616935242404
seed_sched_v2_conservative,0.5286369967292341,115.75902153264724,115.76520250418548,-0.006180971538242375
seed_sched_v2_conservative,0.5697166213203885,0.04189671247718252,0.04092993519566335,0.0009667772815191711
seed_sched_v2_conservative,0.6107962459115428,37.26843581077719,37.270960011341685,-0.0025242005644940946
seed_sched_v2_conservative,0.651875870502697,91.62293067510723,91.62907786800042,-0.006147192893195097
seed_sched_v2_conservative,0.6929554950938512,135.98854170962022,135.99902838375374,-0.010486674133517226
seed_sched_v2_conservative,0.7340351196850055,14.427528450959244,14.432082622101916,-0.004554171142672203
seed_sched_v2_conservative,0.7751147442761599,65.82702271738367,65.83199948218021,-0.004976764796538191
seed_sched_v2_conservative,0.8161943688673141,118.41548690301033,118.42283804149338,-0.007351138483045361
seed_sched_v2_conservative,0.8572739934584683,0.15391432474916655,0.15717133242333148,-0.0032570076741649245
seed_sched_v2_conservative,0.8983536180496225,40.23972825024339,40.24501587390023,-0.0052876236568408785
seed_sched_v2_conservative,0.939433242640777,94.654166524213,94.66097579853113,-0.00680927431812961
seed_sched_v2_conservative,0.9805128672319312,137.10119939128072,137.12343691467504,-0.022237523394323944
seed_sched_v2_conservative,1.0215924918230854,16.914494884797932,16.92032371620644,-0.00582883140850754
seed_sched_v2_conservative,1.0626721164142396,68.94777497629048,68.95366453257566,-0.005889556285183062
seed_sched_v2_conservative,1.103751741005394,120.99218560707595,121.00460652239099,-0.012420915315033199
seed_sched_v2_conservative,1.1448313655965483,0.8392776635641894,0.8491456670885782,-0.009868003524388769
seed_sched_v2_conservative,1.1859109901877025,43.245831502139026,43.249463458375885,-0.0036319562368589686
seed_sched_v2_conservative,1.2269906147788567,97.65905962284023,97.66630802151712,-0.007248398676892975
seed_sched_v2_conservative,1.268070239370011,137.81360475212523,137.82831180997437,-0.014707057849136618
seed_sched_v2_conservative,1.3091498639611654,19.492445494212006,19.49923014264232,-0.0067846484303117904
seed_sched_v2_conservative,1.3502294885523196,72.06833335114152,72.07537039737554,-0.007037046234017907
seed_sched_v2_conservative,1.3913091131434738,123.48402581373193,123.49502209510547,-0.010996281373536476
seed_sched_v2_conservative,1.4323887377346283,1.9584535616845642,1.9627601528682135,-0.004306591183649289
seed_sched_v2_conservative,1.4734683623257825,46.27357021506759,46.28044915031933,-0.0068789352517342195
seed_sched_v2_conservative,1.5145479869169367,100.6322178641949,100.64126316076954,-0.009045296574640815
seed_sched_v2_conservative,1.555627611508091,137.9424579174315,137.96434546678302,-0.021887549351504276
seed_sched_v2_conservative,1.5967072360992451,22.149552770226364,22.154794181431498,-0.0052414112051337725
seed_sched_v2_conservative,1.6377868606903996,75.18547318062929,75.1942904310954,-0.008817250466108817
seed_sched_v2_conservative,1.6788664852815538,125.87161708506756,125.88404075741573,-0.012423672348177206
seed_sched_v2_conservative,1.719946109872708,3.386476543279059,3.4006785931578634,-0.014202049878804246
seed_sched_v2_conservative,1.7610257344638625,49.32479230143417,49.334163498646376,-0.009371197212203697
seed_sched_v2_conservative,1.8021053590550167,103.57099210450178,103.58160802313523,-0.010615918633448018
seed_sched_v2_conservative,1.843184983646171,137.23509656224724,137.26489447827407,-0.0297979160268369
seed_sched_v2_conservative,1.8842646082373251,24.87463501494767,24.88053177153779,-0.005896756590118457
seed_sched_v2_conservative,1.9253442328284793,78.29717737388364,78.30757193354475,-0.01039455966110836
seed_sched_v2_conservative,1.9664238574196338,128.13947442926565,128.1548240424172,-0.015349613151556696
seed_sched_v2_conservative,2.007503482010788,5.082905741393915,5.093775440929676,-0.010869699535760446
seed_sched_v2_conservative,2.048583106601942,52.39624566333714,52.40688941855933,-0.01064375522219052
seed_sched_v2_conservative,2.089662731193097,106.46874408183703,106.48265820362849,-0.013914121791458456
seed_sched_v2_conservative,2.130742355784251,135.14407418951123,135.18393544729588,-0.03986125778465066
seed_sched_v2_conservative,2.1718219803754053,27.655907274199308,27.665929512535513,-0.010022238336205191
seed_sched_v2_conservative,2.2129016049665595,81.4007727758808,81.41230951557372,-0.011536739692928677
seed_sched_v2_conservative,2.2539812295577137,130.26833573080967,130.28687617386458,-0.018540443054916977
seed_sched_v2_conservative,2.295060854148868,6.985989955644982,6.997920893439186,-0.01193093779420451
seed_sched_v2_conservative,2.336140478740022,55.483733611279604,55.49534300614778,-0.011609394868173695
seed_sched_v2_conservative,2.377220103331177,109.32434424952771,109.33930402537499,-0.014959775847273704
seed_sched_v2_conservative,2.418299727922331,130.0861263506995,130.15739263002615,-0.07126627932666452
seed_sched_v2_conservative,2.4593793525134853,30.491889033217376,30.504050461689985,-0.01216142847260926
seed_sched_v2_conservative,2.5004589771046395,84.49257086881607,84.50551763703425,-0.0129467682181712
seed_sched_v2_conservative,2.5415386016957937,132.2346956621077,132.2551060784881,-0.02041041638040042
seed_sched_v2_conservative,2.582618226286948,9.060416362630349,9.075839002867724,-0.015422640237375163
seed_sched_v2_conservative,2.623697850878102,58.58402845853561,58.59638962638928,-0.01236116785366903
seed_sched_v2_conservative,2.664777475469257,112.12646878892156,112.14361840977926,-0.017149620857708214
seed_sched_v2_conservative,2.705857100060411,1.2333593950588693,1.2644774057935138,-0.031118010734644486
seed_sched_v2_conservative,2.7469367246515652,33.3769974756342,33.39038006198098,-0.013382586346779135
seed_sched_v2_conservative,2.7880163492427195,87.56971225191683,87.58410187623849,-0.014389624321665906
seed_sched_v2_conservative,2.8290959738338737,134.0038558064116,134.02859578049447,-0.02473997408287687
seed_sched_v2_conservative,2.870175598425028,11.283338695398015,11.299769337933867,-0.016430642535851803
seed_sched_v2_conservative,2.911255223016182,61.69385043458624,61.70701281969923,-0.013162385112991615
seed_sched_v2_conservative,2.9523348476073363,114.87288015716695,114.89087932434722,-0.017999167180278164
seed_sched_v2_conservative,2.9934144721984906,0.1367615188828495,0.16371004679422185,-0.026948527911372366
seed_sched_v2_conservative,3.034494096789645,36.303960693606314,36.31766189602513,-0.013701202418815228
seed_sched_v2_conservative,3.0755737213807994,90.62881796099828,90.64482845812927,-0.016010497130992007
seed_sched_v2_conservative,3.1166533459719536,135.52790221522355,135.5622544802418,-0.03435226501824218
seed_sched_v2_conservative,3.157732970563108,7.714063369396172,7.736551738899834,-0.022488369503662398
seed_sched_v2_conservative,3.198812595154262,30.737396607582923,30.76026558848298,-0.022868980900057068
seed_sched_v2_conservative,3.2398922197454163,34.47397301299952,34.51262939633034,-0.038656383330817334
seed_sched_v2_conservative,3.2809718443365705,2.861416821102466,2.887673914318839,-0.026257093216372596
seed_sched_v2_conservative,3.322051468927725,19.517348692776977,19.539048135849043,-0.02169944307206606
seed_sched_v2_conservative,3.3631310935188794,38.81604696241993,38.843836373368504,-0.027789410948571458
seed_sched_v2_conservative,3.4042107181100336,11.689184310635028,11.729119780897236,-0.03993547026220767
seed_sched_v2_conservative,3.445290342701188,8.783786821051763,8.805710581100357,-0.021923760048593977
seed_sched_v2_conservative,3.486369967292342,31.938999497468103,31.962177091403646,-0.023177593935542973
seed_sched_v2_conservative,3.5274495918834963,32.71151430440841,32.75353304434066,-0.04201873993224581
seed_sched_v2_conservative,3.5685292164746505,2.923923377709798,2.95104268837531,-0.027119310665511875
seed_sched_v2_conservative,3.6096088410658047,15.772643881526164,15.801132597414835,-0.028488715888670413
seed_sched_v2_conservative,3.650688465656959,15.77264388153344,15.801132597414835,-0.028488715881394455
seed_sched_v2_conservative,3.6917680902481136,15.772643881524345,15.801132597413016,-0.028488715888670413
seed_sched_v2_conservative,3.732847714839268,15.772643881522526,15.801132597413016,-0.028488715890489402
seed_sched_v2_conservative,3.773927339430422,15.772643881538897,15.801132597414835,-0.028488715875937487
seed_sched_v2_conservative,3.8150069640215762,15.772643881540716,15.801132597414835,-0.028488715874118498
seed_sched_v2_conservative,3.8560865886127305,15.772643881527983,15.801132597413016,-0.028488715885032434
seed_sched_v2_conservative,3.8971662132038847,15.772643881522526,15.801132597414835,-0.02848871589230839
seed_sched_v2_conservative,3.938245837795039,15.772643881513432,15.801132597413016,-0.02848871589958435
seed_sched_v2_conservative,3.9793254623861936,15.77264388151707,15.801132597413016,-0.02848871589594637
