param_set,pair_status,initial_soc,t_end_DC_s,t_end_DCAC_s,dt_total_s,dt_total_min,Q_end_DC_Ah,Q_end_DCAC_Ah,Q_end_diff_Ah,t_to_Vmax_DC_s,t_to_Vmax_DCAC_s,dt_to_Vmax_s,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_to_Vmax_shift_Ah,DC_cutoff_reached,DCAC_cutoff_reached,DC_has_cv_tail,DCAC_has_cv_tail,DC_Vmax_violation_max_over_V,DCAC_Vmax_violation_max_over_V,DCAC_n_negative_dQ_steps,DCAC_has_positive_discharge_current
Chen2020,ok,0.05,19352.284482422205,17105.917723635568,2246.3667587866366,37.439445979777275,4.872814517243399,4.8725884306814455,0.0002260865619536645,16659.601329203255,12799.285771199457,3860.3155580037983,4.627667035889793,3.7702215079827632,0.8574455279070299,True,True,True,True,1.412203687323199e-13,1.1457501614131615e-13,453,True
OKane2022,ok,0.05,19141.36642184064,17232.14913203997,1909.217289800672,31.820288163344532,4.835568865935167,4.836702350227521,-0.0011334842923531596,16548.53386901911,13046.042405253997,3502.4914637651127,4.596814963616419,3.7904959910382967,0.8063189725781221,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15,464,True
ORegan2022,ok,0.05,17868.068927458335,12931.90126917959,4936.167658278744,82.2694609713124,4.7922074343220595,4.79652235206589,-0.004314917743830193,17006.457619537672,9925.769121237152,7080.68849830052,4.724016005427131,3.210361831308334,1.5136541741187974,True,True,True,True,4.884981308350689e-14,3.951790006340161e-10,332,True
