t_s,V_terminal_V,I_py_A,I_charge_A,Q_net_Ah,t_rel_s,V_fit_V,qfrac_target
2489.059254099591,3.5221647279315667,0.0,-0.0,0.9110417192837492,2.4773327539105594,3.5216879507247913,0.2
2489.6404981019036,3.5218646802706637,0.0,-0.0,0.9110417192837492,3.058576756223374,3.521483558284215,0.2
2489.898292053207,3.5217380690092313,0.0,-0.0,0.9110417192837492,3.3163707075268576,3.5213942527579594,0.2
2489.984007814449,3.5216969398616897,0.0,-0.0,0.9110417192837492,3.40208646876863,3.521364740164352,0.2
2490.0697235756907,3.521656155311889,0.0,-0.0,0.9110417192837492,3.487802230010402,3.5213353175397226,0.2
2490.2411550981747,3.5215754035235385,0.0,-0.0,0.9110417192837492,3.6592337524944014,3.5212767410503956,0.2
2490.5840181431427,3.5214178587568723,0.0,-0.0,0.9110417192837492,4.0020967974624,3.5211606551337664,0.2
2491.269744233078,3.521116022592689,0.0,-0.0,0.9110417192837492,4.687822887397942,3.5209326884890144,0.2
2491.899818011449,3.520853573731201,0.0,-0.0,0.9110417192837492,5.317896665768785,3.520728065312189,0.2
2491.9950260281976,3.520815272069258,0.0,-0.0,0.9110417192837492,5.413104682517314,3.5206975417782775,0.2
2492.090234044946,3.52077724906115,0.0,-0.0,0.9110417192837492,5.5083126992658435,3.5206671212285823,0.2
2492.2806500784436,3.5207018683012254,0.0,-0.0,0.9110417192837492,5.698728732763357,3.520606587624402,0.2
2492.661482145438,3.52055435782966,0.0,-0.0,0.9110417192837492,6.079560799757928,3.5204867402672004,0.2
2493.423146279428,3.5202705539741515,0.0,-0.0,0.9110417192837492,6.841224933747526,3.5202518449937643,0.2
2493.9013439696914,3.520099899090205,0.0,-0.0,0.9110417192837492,7.3194226240111675,3.520107574955032,0.2
2494.005295165385,3.520063681667092,0.0,-0.0,0.9110417192837492,7.423373819704921,3.520076535048044,0.2
2494.109246361079,3.520027712257422,0.0,-0.0,0.9110417192837492,7.527325015398674,3.52004560905018,0.2
2494.3171487524664,3.519956362702696,0.0,-0.0,0.9110417192837492,7.73522740678618,3.519984097022814,0.2
2494.732953535242,3.519816559462093,0.0,-0.0,0.9110417192837492,8.151032189561647,3.5198624206238205,0.2
2495.5645631007924,3.519547065152711,0.0,-0.0,0.9110417192837492,8.982641755112127,3.5196243621199597,0.2
2495.9028699279334,3.51944129893001,0.0,-0.0,0.9110417192837492,9.320948582253095,3.519529498197562,0.2
2496.0155045510974,3.5194066877321273,0.0,-0.0,0.9110417192837492,9.433583205417108,3.5194981646985966,0.2
2496.1281391742614,3.5193723039504254,0.0,-0.0,0.9110417192837492,9.54621782858112,3.5194669552884346,0.2
2496.353408420589,3.519304081635205,0.0,-0.0,0.9110417192837492,9.771487074908691,3.5194049066595663,0.2
2496.803946913244,3.519170316710986,0.0,-0.0,0.9110417192837492,10.222025567563833,3.5192822757648092,0.2
2497.705023898555,3.5189122155601726,0.0,-0.0,0.9110417192837492,11.12310255287457,3.51904276600764,0.2
