branch_id,branch_type,transport_branch_id,transport_modification,surface_form,protocol_id,condition,case_role,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_end_Ah,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,neg_avg_sto_at_min_U_NE,neg_surface_sto_xavg_at_min_U_NE,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class
baseline_default,baseline,baseline_default_transport,default,false,DC03,Chen2020_DFN_Day37_baseline_default_DC03,dc_reference,37.28056183906979,near_boundary,0.21983715766099185,0.0,4.4928790028035,4.4928790028035,10782.9096067284,1.5,1.5,4.2,0.0,354.11854862261725,377.86842281485883,0.8415229876453134,0.8464727204603096,0.11671652965597157,-0.04531043975666531,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,near_boundary_baseline,0.5656856544375326,near_boundary,0.143701991706886,0.0,3.9065085913724236,3.9065085913724236,9318.002844598159,3.3741398314382796,3.3999912821600367,4.20000000000005,-4.973799150320701e-11,623.7327186682746,747.6848433551694,0.740809083021124,0.7499914965910988,0.12683400687991409,-0.07321158460629495,69.35065528421227,69.36353608981146,-0.012880805599183419,0.012948244713588224,0.04513282634252391,0.01,geometry_dominated
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p7,Chen2020_DFN_Day37_baseline_default_fixed_AC0p7,high_amplitude_stress_control,-25.30820344967092,risk_flag,0.2201935483870968,0.03948387096774193,3.633944665066004,3.523653313277779,8309.073455128717,4.9533672638038935,4.999984249864502,4.194776116962791,5.2238830372095535,961.3940093992884,1054.0890622244815,0.6753871275863358,0.6893967778115144,0.13326621568460062,-0.09141658227888828,158.66534902126395,158.68556780196005,-0.0202187806960967,0.0202187806960967,0.0707415182105251,0.0,geometry_dominated
baseline_default,baseline,baseline_default_transport,default,false,sched_v2_conservative,Chen2020_DFN_Day37_baseline_default_sched_v2_conservative,day35_primary_candidate,24.160262360136276,near_boundary,0.2251685393258427,0.0,4.493120187304324,3.069916043894553,7284.636651267668,3.3592854112648913,3.3999912821600367,4.043494770243527,156.5052297564735,733.2190244804582,747.6848433551694,0.5972503880263171,0.6071673849404196,0.09408751428154627,-0.06891482036589446,65.68908230737254,65.70282460300787,-0.01374229563532424,0.013809734749729045,0.04513282634252391,0.01,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,DC03,Chen2020_DFN_Day37_double_layer_differential_DC03,dc_reference,37.28761292474869,near_boundary,0.21797276359781456,0.0,4.492631273386985,4.492631273386985,10782.315056128758,1.5,1.5,4.2,0.0,354.1961868384236,378.0682564811186,0.8414653240545134,0.8464150401908688,0.11670917660800051,-0.04530381633544566,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p38,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p38,near_boundary_baseline,0.63810182499624,near_boundary,0.1475897064153679,0.0,3.9062680327652295,3.9062680327652295,9317.73502209376,3.3725207437590337,3.3999943057953246,4.20000000000005,-4.973799150320701e-11,622.5405926660903,748.3951136031965,0.740723044085895,0.749889722384403,0.12680774186083066,-0.0731688561236985,69.39133131764129,69.3989909550586,-0.007659637417313547,0.007774876397713229,0.03323940063046393,0.04,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,fixed_AC0p7,Chen2020_DFN_Day37_double_layer_differential_fixed_AC0p7,high_amplitude_stress_control,-25.265352161007893,risk_flag,0.2282362626054744,0.04068052411332922,3.6340267382812095,3.523351604471844,8308.847478650103,4.955662969438756,4.999975279313747,4.1944351281636525,5.564871836347685,960.8068179608555,1054.7302255009663,0.6750079172790788,0.6890047099478503,0.13286295401110815,-0.09141044528562857,158.727476007757,158.7432537570386,-0.015777749281591015,0.015777749281591015,0.04473237894944759,0.0,geometry_dominated
double_layer_differential,double_layer,baseline_default_transport,default,differential,sched_v2_conservative,Chen2020_DFN_Day37_double_layer_differential_sched_v2_conservative,day35_primary_candidate,24.18069170781806,near_boundary,0.2350438892640108,0.0,4.493141609102092,3.0698213068745495,7284.527388714857,3.3600600508046314,3.3999943057953246,4.043587152457927,156.4128475420734,733.5270229083371,748.3951136031965,0.5971751768755829,0.6070909614358488,0.0941013913404275,-0.06891967606785492,65.7239926151833,65.73179987527313,-0.0078072600898252634,0.007922499070224943,0.03323940063046393,0.04,geometry_dominated
transport_flattened,transport_parameterization,transport_flattened,flattened,false,DC03,Chen2020_DFN_Day37_transport_flattened_DC03,dc_reference,36.49852136074038,near_boundary,0.22244159262915433,0.0,4.491121370684629,4.491121370684629,10778.691289643135,1.5,1.5,4.200000000000001,-8.881784197001252e-13,362.7917536721984,392.0446897233286,0.84122138362751,0.8461711164425114,0.1268719721761744,-0.04552333711719919,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference
transport_flattened,transport_parameterization,transport_flattened,flattened,false,fixed_AC0p38,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p38,near_boundary_baseline,-1.1519525551269334,risk_flag,0.1580942068218733,0.0026394152680021656,3.9053275321418903,3.780073706500436,8992.900961931957,3.3786140431236746,3.399993218749366,4.1888587789366944,11.141221063305728,688.6045417922777,772.7225927986266,0.7191727690743299,0.7290209057147214,0.1355691159931447,-0.0726762849074075,69.00398738524468,69.01727810691146,-0.013290721666779177,0.013373023935794776,0.045908537751529366,0.01,geometry_dominated
