case_id,I_DC_Crate,A_Crate,f_Hz,kappa,V_rest_end,V_init_phase2,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,wall_clock_s,status,condition,tau_label,batch
DC0.90C+AC0.10C_f0.00086Hz_X5beta_v2,0.9,0.1,0.00086,0.11111111111111112,2.512422948941947,2.6919715328415075,0.0,2991.6596560085477,4790.880449686341,49.86099426680913,79.84800749477236,5125.806530274954,1.069857120513916,ok,0.9+0.1C 16.7τ,16.7τ,X5beta-v2
DC0.90C+AC0.10C_f0.00860Hz_X5beta_v2,0.9,0.1,0.0086,0.11111111111111112,2.512422948941947,2.6919715328415075,0.0,2973.3042789217093,4775.267741633689,49.55507131536182,79.58779569389482,5124.772892225118,1.3770489692687988,ok,0.9+0.1C 1.67τ,1.67τ,X5beta-v2
DC0.90C+AC0.10C_f0.00143Hz_X5beta_v2,0.9,0.1,0.00143,0.11111111111111112,2.512422948941947,2.6919715328415075,0.0,3063.6762481495075,4695.656295948561,51.06127080249179,78.26093826580934,5124.9560911362205,1.0788238048553467,ok,0.9+0.1C 10τ,10τ,X5beta-v2
DC0.90C+AC0.10C_f0.01430Hz_X5beta_v2,0.9,0.1,0.0143,0.11111111111111112,2.512422948941947,2.6919715328415075,0.0,2975.9008559892163,4768.933264944115,49.59834759982027,79.48222108240192,5124.635580309881,1.3916609287261963,ok,0.9+0.1C 1τ,1τ,X5beta-v2
DC0.10C_baseline_X5beta_v2,0.1,0.0,0.0,0.0,2.512422948941947,2.5564916748892825,0.0,36025.571504228195,2104.0155773114748,600.4261917371366,35.06692628852458,5126.313080550038,1.3208539485931396,ok,0.1C_DC,baseline,X5beta-v2
DC0.20C_baseline_X5beta_v2,0.2,0.0,0.0,0.0,2.512422948941947,2.5880184058770395,0.0,17512.350032284437,2872.6154998271413,291.87250053807395,47.87692499711902,5126.330541909166,1.3454811573028564,ok,0.2C_DC,baseline,X5beta-v2
DC0.30C_baseline_X5beta_v2,0.3,0.0,0.0,0.0,2.512422948941947,2.611093374162644,0.0,11345.449197108159,3315.767699701566,189.09081995180264,55.2627949950261,5125.988242986912,1.4855351448059082,ok,0.3C_DC,baseline,X5beta-v2
DC0.40C_baseline_X5beta_v2,0.4,0.0,0.0,0.0,2.512422948941947,2.6294371395787604,0.0,8245.77791713771,3650.013873052878,137.42963195229515,60.8335645508813,5125.895172953609,1.6240019798278809,ok,0.4C_DC,baseline,X5beta-v2
DC0.50C_baseline_X5beta_v2,0.5,0.0,0.0,0.0,2.512422948941947,2.6448888422972257,0.0,6332.4087418826575,3964.6545513197852,105.5401456980443,66.07757585532975,5125.9860100790675,1.2671260833740234,ok,0.5C_DC,baseline,X5beta-v2
DC0.90C_baseline_X5beta_v2,0.9,0.0,0.0,0.0,2.512422948941947,2.691971532841404,0.0,2976.859113689601,4770.210811780316,49.614318561493356,79.50351352967193,5125.246538526505,1.0512218475341797,ok,0.9C_DC,baseline,X5beta-v2
DC0.20C+AC0.80C_f0.00143Hz_X5beta_v2,0.2,0.8,0.00143,4.0,2.512422948941947,2.5880184058770395,,,,,,,0.9564111232757568,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X5beta-v2
