condition,surface_key,surface_shape,separator_key,separator_shape,xavg_key,xavg_shape,status
Chen2020_DFN_DC03,Negative electrode surface potential difference [V],"(22, 12159)",Negative electrode surface potential difference at separator interface [V],"(12159,)",X-averaged negative electrode surface potential difference [V],"(12159,)",ok
Chen2020_DFN_DC03_AC07_0p5tauSet,Negative electrode surface potential difference [V],"(22, 18735)",Negative electrode surface potential difference at separator interface [V],"(18735,)",X-averaged negative electrode surface potential difference [V],"(18735,)",ok
Chen2020_DFN_DC03_AC07_1p5tauSet,Negative electrode surface potential difference [V],"(22, 14885)",Negative electrode surface potential difference at separator interface [V],"(14885,)",X-averaged negative electrode surface potential difference [V],"(14885,)",ok
Chen2020_DFN_DC03_AC07_3p0tauSet,Negative electrode surface potential difference [V],"(22, 13049)",Negative electrode surface potential difference at separator interface [V],"(13049,)",X-averaged negative electrode surface potential difference [V],"(13049,)",ok
Chen2020_DFN_DC03_AC07_5p0tauSet,Negative electrode surface potential difference [V],"(22, 11933)",Negative electrode surface potential difference at separator interface [V],"(11933,)",X-averaged negative electrode surface potential difference [V],"(11933,)",ok
