policy_id,condition,case_role,Q_Ah,t_DC_s,t_protocol_s,delta_t_raw_s,t_DC_geom_s,t_protocol_geom_s,delta_t_geom_s,delta_t_resid_s
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.2,479.9999999999992,420.4022728566911,59.59772714330808,480.0,420.39987450820416,59.600125491795836,-0.0023983484877589945
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.23285098415972427,558.8423619833372,455.88329637885676,102.95906560448049,558.8423619833383,455.8796836726106,102.96267831072765,-0.0036127062471678073
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.2657019683194486,637.6847239666753,501.3770994503488,136.30762451632648,637.6847239666766,501.36817462014085,136.3165493465358,-0.008924830209309675
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.29855295247917285,716.5270859500133,709.4479904213734,7.0790955286398685,716.5270859500148,709.4444091032327,7.082676846782078,-0.003581318142209966
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.3314039366388971,795.3694479333518,750.5881811799699,44.78126675338194,795.3694479333531,750.5849444280153,44.78450350533774,-0.003236751955796535
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.3642549207986214,874.2118099166894,785.7263229716175,88.4854869450719,874.2118099166912,785.7207610979239,88.49104881876735,-0.005561873695455688
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.39710590495834563,953.0541719000283,825.4379418313865,127.61623006864181,953.0541719000295,825.4305251373517,127.62364676267782,-0.007416694036010085
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.42995688911806995,1031.8965338833668,1031.622726376857,0.27380750650991104,1031.896533883368,1031.6260983325783,0.27043555078967074,0.003371955720240294
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.4628078732777942,1110.7388958667048,1080.1961355228589,30.542760343845885,1110.7388958667061,1080.192356559297,30.546539307409148,-0.00377896356326346
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.4956588574375185,1189.5812578500427,1116.0124409154698,73.56881693457285,1189.5812578500443,1116.0081170746143,73.57314077542992,-0.004323840857068717
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.5285098415972427,1268.4236198333801,1152.8117343273998,115.61188550598035,1268.4236198333824,1152.8061687680984,115.61745106528406,-0.005565559303704504
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.5613608257569671,1347.2659818167197,1211.3573020166846,135.9086798000351,1347.265981816721,1211.3391130545747,135.92686876214634,-0.018188962111253204
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.5942118099166913,1426.1083438000578,1408.6849376935963,17.42340610646147,1426.1083438000592,1408.6809707560212,17.42737304403795,-0.003966937576478813
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.6270627940764155,1504.9507057833966,1446.3983193516692,58.55238643172743,1504.9507057833973,1446.3935363569697,58.55716942642766,-0.004782994700235577
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.65991377823614,1583.7930677667357,1481.8222809403085,101.97078682642723,1583.793067766736,1481.8158865113667,101.97718125536926,-0.006394428942030572
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.6927647623958642,1662.6354297500739,1526.7541638300493,135.8812659200246,1662.635429750074,1526.744721957085,135.89070779298913,-0.009441872964544018
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,0.7256157465555884,1741.477791733412,1735.0626564095714,6.415135323840559,1741.477791733412,1735.0587756653151,6.41901606809688,-0.0038807442563211225
