parameter_set,model_type,condition,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
Chen2020,DFN,DC03_AC07_1tau,ok,event: Maximum voltage [V],8947.487012552325,149.12478354253875,3.7409816640940425,4.199999999999999,-1.9999999981551126,4.999999993832171,
Chen2020,DFN,DC03_AC07_5tau,ok,event: Maximum voltage [V],8454.499383009985,140.90832305016642,3.574819893170263,4.200000000000001,-1.9999999888727,4.999999777483844,
