param_set,tau_FG_eff_s,tau2_secondary_60s_s,tau2_biexp_s,tau_tail_s,ratio_native_over_label,ratio_sensitivity_over_label,f_label_0p1tau_Hz,f_native_0p1tau_Hz,f_sens_0p1tau_Hz,f_label_1tau_Hz,f_native_1tau_Hz,f_sens_1tau_Hz,f_label_10tau_Hz,f_native_10tau_Hz,f_sens_10tau_Hz,outlier_policy_tauFG_activated,outlier_policy_basis
Ai2020,9.98,5.099366571888413,52.419262375868904,144.55050755746385,1.1122244488977955,2.1767409429225273,0.14338283161432014,0.15947389087364264,0.3121072800870571,0.014338283161432014,0.01594738908736426,0.03121072800870572,0.0014338283161432013,0.001594738908736426,0.0031210728008705716,False,tau_FG_eff
Ecker2015,9.98,13.191343994635298,16.51765434839429,164.0105135972402,1.1122244488977955,0.8414608856015116,0.14338283161432014,0.15947389087364264,0.12065104447023822,0.014338283161432014,0.01594738908736426,0.012065104447023824,0.0014338283161432013,0.001594738908736426,0.0012065104447023824,False,tau_FG_eff
Mohtat2020,10.98,13.47727108870575,43.93258267119451,97.62675834367688,1.010928961748634,0.8236088691057082,0.14338283161432014,0.14494985709644384,0.11809137179504438,0.014338283161432014,0.014494985709644385,0.01180913717950444,0.0014338283161432013,0.0014494985709644385,0.001180913717950444,False,tau_FG_eff
NCA_Kim2011,10.98,16.86547086827125,39.39195667694234,46.34644654836446,1.010928961748634,0.6581494277092648,0.14338283161432014,0.14494985709644384,0.09436732857029867,0.014338283161432014,0.014494985709644385,0.009436732857029869,0.0014338283161432013,0.0014494985709644385,0.0009436732857029868,False,tau_FG_eff
Chen2020,15.98,7.720679812158888,36.316532231592305,263.02117860437176,0.6946182728410513,1.437697232634774,0.14338283161432014,0.09959633485099832,0.20614110021924584,0.014338283161432014,0.009959633485099833,0.020614110021924585,0.0014338283161432013,0.0009959633485099833,0.0020614110021924584,False,tau_FG_eff
OKane2022,15.98,36.28046010592773,58.81775623543399,309.6740959137209,0.6946182728410513,0.30594981341447797,0.14338283161432014,0.09959633485099832,0.043867950579240755,0.014338283161432014,0.009959633485099833,0.004386795057924075,0.0014338283161432013,0.0009959633485099833,0.00043867950579240756,False,tau_FG_eff
ORegan2022,18.98,19.79492316243947,53.575426259434366,236.4537082860679,0.5848261327713382,0.5607498401944828,0.14338283161432014,0.0838540269188068,0.08040189991436246,0.014338283161432014,0.008385402691880681,0.008040189991436245,0.0014338283161432013,0.0008385402691880681,0.0008040189991436245,False,tau_FG_eff
Marquis2019,20.98,22.60946955423608,43.44669740303815,188.67660486549605,0.5290753098188751,0.49094473328412597,0.14338283161432014,0.07586031605905402,0.07039304602441514,0.014338283161432014,0.007586031605905402,0.007039304602441514,0.0014338283161432013,0.0007586031605905402,0.0007039304602441513,False,tau_FG_eff
