variant_id,surface_form,protocol_id,condition,tau_factor_set,f_Hz,n_time,min_U_NE_mV,fraction_time_below_50mV,fraction_time_below_0mV,max_c_e_range_molm3,max_neg_surface_sto_range,j_dl_proxy_neg_abs_max_A_m2,j_dl_proxy_neg_rms_A_m2,status
surface_form_false,false,fixed_AC0p38_0p5tauSet,Chen2020_DFN_Day36B_surface_form_false_fixed_AC0p38_0p5tauSet,0.5,0.008764875571101144,20685,3.4593552098025513,0.1258399806623157,0.0,603.3173292803184,0.12149059105850024,0.001340116227918987,0.00035300993594570505,ok
surface_form_false,false,fixed_AC0p38_0p1tauSet,Chen2020_DFN_Day36B_surface_form_false_fixed_AC0p38_0p1tauSet,0.1,0.04382437785550572,54291,5.802931555445298,0.11394153727137095,0.0,429.51332383262763,0.11636132822334921,0.004204606584397652,0.0016311671390962113,ok
surface_form_differential,differential,fixed_AC0p38_0p5tauSet,Chen2020_DFN_Day36B_surface_form_differential_fixed_AC0p38_0p5tauSet,0.5,0.008764875571101144,18516,3.498149380993354,0.12805141499243897,0.0,602.4881522525935,0.12157244190570798,0.4464701899966332,0.023329275295170964,ok
surface_form_differential,differential,fixed_AC0p38_0p1tauSet,Chen2020_DFN_Day36B_surface_form_differential_fixed_AC0p38_0p1tauSet,0.1,0.04382437785550572,43728,5.817345512751815,0.1118505305525064,0.0,429.7788271944215,0.11648113269850846,0.44647022220741794,0.015279111240201265,ok
