condition,descr,Q_CC_end_mAh,Q_window_lo,Q_window_hi,x_n_lo,x_n_hi
0.1+0.9C 1τ,"high κ, low DC",4056.8283228950454,1025.0,4006.8283228950454,0.22484718301360695,0.7381508144831892
0.3+0.7C 10τ,moderate κ,3649.446939262072,1025.0,3599.446939262072,0.23280429979479156,0.6743048962112523
0.5+0.5C 1τ,balanced,3770.5366434219595,1025.0,3720.5366434219595,0.22197700934346304,0.691087433066616
0.9+0.1C 16.7τ,"low κ, high DC, slow AC",3630.475150379469,1025.0,3580.475150379469,0.2335288921887807,0.6702324753387042
0.9+0.1C 1.67τ,"row 22, min Q_CC_end",3585.9303629759615,1025.0,3535.9303629759615,0.2322345088446074,0.6618627195628887
