protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.8700000000000001,1.4440732260391087,0.2997069274342721,1.1443662986048366,2.489249384874711,-1.045176158835602,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.8800000000000001,-2.4296940853960223,0.5811396357585181,-3.0108337211545404,2.554292213546887,-4.983986298942909,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.89,-2.134666597235082,0.8617167832480845,-2.9963833804831665,2.6316230156294296,-4.766289612864512,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.9,-1.9267520561425044,1.119215744525718,-3.0459678006682225,2.7326132510306707,-4.659365307173175,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.91,-1.556209505960851,1.387546869937978,-2.943756375898829,2.833947958855788,-4.390157464816639,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.92,-1.2360712838781183,1.6582256302313,-2.894296914109418,2.9464964553412756,-4.182567739219394,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.93,-0.9124498602222957,1.9213256644179637,-2.8337755246402594,3.058991062608584,-3.9714409228308796,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.94,-0.5862667651445008,2.174365851496532,-2.7606326166410327,3.1701376014570997,-3.7564043666016005,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.95,-0.2646406777848824,2.373386871911407,-2.6380275496962895,3.2549987917495855,-3.519639469534468,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.96,0.04795198447709481,2.433190917578031,-2.3852389331009363,3.3252984501646097,-3.277346465687515,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.97,0.3567578746701656,2.251944867869952,-1.8951869931997865,3.382425278142364,-3.025667403472198,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.98,0.6316232932213097,-1.234166632376855,1.8657899255981647,3.424878243294188,-2.7932549500728783,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
