parameter_set,model_type,condition,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,tau_factor_set,f_Hz,period_s,error
Chen2020,DFN,Chen2020_DFN_fine_DC03,ok_reused,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,,,,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,ok,event: Maximum voltage [V],8816.441612064713,146.94069353441188,3.6935382425595478,4.200000000000062,-1.9999999915023556,4.9999999937810236,0.5,0.008764875571101144,114.09175086262731,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_1p0tauSet,ok,event: Maximum voltage [V],8721.164196164389,145.3527366027398,3.6624530735789316,4.200000000000067,-1.9999999779254267,4.99999999785431,1.0,0.004382437785550572,228.18350172525462,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_1p5tauSet,ok,event: Maximum voltage [V],8627.912610570569,143.79854350950947,3.6339416312270765,4.2,-1.9999999999047784,4.999999988572077,1.5,0.002921625190367048,342.27525258788194,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_2p0tauSet,ok,event: Maximum voltage [V],8327.73050012103,138.7955083353505,3.539554629090079,4.2,-1.9999991542052755,4.999999737084515,2.0,0.002191218892775286,456.36700345050923,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_3p0tauSet,ok,event: Maximum voltage [V],8356.42236336638,139.27370605610633,3.5595987037893875,4.200000000000004,-1.9999999784300289,4.999999737084515,3.0,0.001460812595183524,684.5505051757639,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_4p0tauSet,ok,event: Maximum voltage [V],8383.499638006839,139.72499396678066,3.578299354708611,4.2,-1.9999998386292996,4.999999839602929,4.0,0.001095609446387643,912.7340069010185,
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_5p0tauSet,ok,event: Maximum voltage [V],8207.25860752117,136.78764345868615,3.5349283235889786,4.200000000000001,-1.9999989296119662,4.999999999082212,5.0,0.0008764875571101142,1140.9175086262733,
