condition,protocol_type,dc_c,ac_c,peak_c,tau_factor_set,t_end_min,Q_end_Ah,min_U_NE_vs_Li_mV,min_U_NE_separator_mV,min_U_NE_xavg_mV,t_at_min_U_NE_s,Q_at_min_U_NE_Ah,I_charge_at_min_U_NE_A,fraction_time_below_50mV,fraction_time_below_0mV,margin_class
Chen2020_DFN_fineAmp_DC03,DC,0.3,0.0,0.3,,179.71516011214,4.4928790028035,37.28056183906979,37.91745153837418,46.709658513080605,10782.9096067284,4.4928790028035,1.5,0.21983715766099185,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p3_1p5tauSet,DCAC,0.3,0.3,0.6,1.5,161.0303277072308,4.045353228491462,6.6610047008486255,7.826374951294939,23.23644295075757,9661.819662433849,4.045353228491462,2.9859709048456686,0.12872123302132452,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p32_1p5tauSet,DCAC,0.3,0.32,0.62,1.5,160.8935037818374,4.039675405746872,5.312509795528183,6.546030849860504,22.701880714515838,9333.494678554127,3.9160396137035214,3.0886442717322087,0.13130047340573656,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p34_1p5tauSet,DCAC,0.3,0.34,0.64,1.5,160.80103048210597,4.035974297095013,3.145861279668859,4.4172053935166975,21.14928016417432,9333.885493754395,3.918075709209563,3.1864406207766383,0.13431815073177403,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p36_1p5tauSet,DCAC,0.3,0.36,0.6599999999999999,1.5,155.4254129730667,3.91212289706403,1.4327017404097246,2.723808614596864,19.69036394007353,9325.524778384002,3.91212289706403,3.2993394406412753,0.13088604067985513,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p38_1p5tauSet,DCAC,0.3,0.38,0.6799999999999999,1.5,155.2968944143975,3.9063328318012034,0.5840363154033125,1.8792116732723858,18.853794584447353,9317.81366486385,3.9063328318012034,3.3730445127283275,0.14506236648060092,0.0,near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p4_1p5tauSet,DCAC,0.3,0.4,0.7,1.5,155.20831361102788,3.9024939672633794,-1.327812966396317,0.05330405836982688,18.103425737882688,8992.198439687936,3.78113537481487,3.481210103584456,0.15614322809894765,0.0027333606669400026,risk_flag
