section,variant_id,surface_form,protocol_id,min_U_NE_mV,margin_class,fraction_time_below_0mV,Q_end_Ah,max_c_e_range_molm3,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,dt_resid_class,neg_cap_current_abs_max,pos_cap_current_abs_max
Day36A_mainline_1p5tau,surface_form_false,false,DC03,37.28056183906979,near_boundary,0.0,4.4928790028035,377.86842281485883,0.0,0.0,0.0,0.0,dc_reference,,
Day36A_mainline_1p5tau,surface_form_false,false,fixed_AC0p38,0.5656856544375326,near_boundary,0.0,3.9065085913724236,747.6848433551694,69.35065528421227,69.36353608981146,-0.012880805599183419,0.012948244713588224,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_false,false,fixed_AC0p7,-25.30820344967092,risk_flag,0.03948387096774193,3.633944665066004,1054.0890622244815,158.66534902126395,158.68556780196005,-0.0202187806960967,0.0202187806960967,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_false,false,sched_v2_conservative,24.160262360136276,near_boundary,0.0,4.493120187304324,747.6848433551694,65.68908230737254,65.70282460300787,-0.01374229563532424,0.013809734749729045,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_differential,differential,DC03,37.28761292474869,near_boundary,0.0,4.492631273386985,378.0682564811186,0.0,0.0,0.0,0.0,dc_reference,,
Day36A_mainline_1p5tau,surface_form_differential,differential,fixed_AC0p38,0.63810182499624,near_boundary,0.0,3.9062680327652295,748.3951136031965,69.39133131764129,69.3989909550586,-0.007659637417313547,0.007774876397713229,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_differential,differential,fixed_AC0p7,-25.265352161007893,risk_flag,0.04068052411332922,3.6340267382812095,1054.7302255009663,158.727476007757,158.7432537570386,-0.015777749281591015,0.015777749281591015,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_differential,differential,sched_v2_conservative,24.18069170781806,near_boundary,0.0,4.493141609102092,748.3951136031965,65.7239926151833,65.73179987527313,-0.0078072600898252634,0.007922499070224943,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_algebraic,algebraic,DC03,37.2888073116287,near_boundary,0.0,4.492530770023074,378.0274258700267,0.0,0.0,0.0,0.0,dc_reference,,
Day36A_mainline_1p5tau,surface_form_algebraic,algebraic,fixed_AC0p38,0.6580409429604028,near_boundary,0.0,3.9060762462164598,748.1961657896674,69.34928442759414,69.35847505490149,-0.009190627307350496,0.009278497031825737,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_algebraic,algebraic,fixed_AC0p7,-25.271413495145502,risk_flag,0.0408937314667954,3.6339329664817908,1054.6104142286483,158.66124027901523,158.67734566894987,-0.016105389934650133,0.016105389934650133,geometry_dominated,,
Day36A_mainline_1p5tau,surface_form_algebraic,algebraic,sched_v2_conservative,24.138606839249952,near_boundary,0.0,4.49235916427912,748.1961657896674,65.68915238240476,65.69868715886953,-0.009534776464768129,0.00962264618924337,geometry_dominated,,
