condition,n_time,min_U_NE_mV,fraction_time_below_50mV,fraction_time_below_0mV,max_c_e_range_molm3,max_neg_surface_sto_range,status
Chen2020_DFN_Day33C_DC03,12159,37.28056183906979,0.21983715766099185,0.0,377.86842281485883,0.11671652965597157,ok
Chen2020_DFN_Day33C_DC03_AC0p38_0p5tauSet,18334,3.5413030588505623,0.12534089669466564,0.0,602.7796708445594,0.12132639012712226,ok
Chen2020_DFN_Day33C_DC03_AC0p38_1p5tauSet,14511,0.5840363154033125,0.14506236648060092,0.0,748.0294117155989,0.1332763294365063,ok
Chen2020_DFN_Day33C_DC03_AC0p38_3p0tauSet,12602,-1.223625137333261,0.15322964608792256,0.0016664021583875576,782.1925337735673,0.1367829987427876,ok
Chen2020_DFN_Day33C_DC03_AC0p38_5p0tauSet,11865,1.7319240596284247,0.1685630004214075,0.0,793.1766967572066,0.13809011858807418,ok
