section,tau_factor_set,min_U_NE_mV_false,min_U_NE_mV_differential,delta_min_U_NE_mV_diff_minus_false,fraction_time_below_0mV_false,fraction_time_below_0mV_differential,delta_t_raw_mean_s_false,delta_t_raw_mean_s_differential,delta_delta_t_raw_mean_s_diff_minus_false,delta_t_resid_mean_s_false,delta_t_resid_mean_s_differential,delta_delta_t_resid_mean_s_diff_minus_false,resid_abs_mean_s_false,resid_abs_mean_s_differential,j_dl_proxy_neg_abs_max_A_m2_false,j_dl_proxy_neg_abs_max_A_m2_differential,j_dl_proxy_neg_rms_A_m2_false,j_dl_proxy_neg_rms_A_m2_differential,residual_effect_class,margin_effect_class
Day36B_high_frequency,0.5,3.4593552098025513,3.498149380993354,0.03879417119080264,0.0,0.0,23.185412799401696,23.14536304640316,-0.04004975299853797,-0.4671023617251876,-0.484361676000932,-0.017259314275744397,0.4671023617251876,0.484361676000932,0.001340116227918987,0.4464701899966332,0.00035300993594570505,0.023329275295170964,small_residual_change,negligible_margin_change
Day36B_high_frequency,0.1,5.802931555445298,5.817345512751815,0.014413957306516956,0.0,0.0,4.347608284776028,3.9381962034556794,-0.40941208132034834,-0.24277964223829657,-0.7162307988589844,-0.4734511566206879,0.24277964223829657,0.7162307988589844,0.004204606584397652,0.44647022220741794,0.0016311671390962113,0.015279111240201265,small_residual_change,negligible_margin_change
