file_name,protocol_label,protocol_role,DC_C,AC_C,m_tau,frequency_Hz,csv_format_refined,idx_Vmax,t_Vmax_detected_s,U_at_Vmax_detected_V,Vmax_detection_method_used,Vmax_detection_status,idx_AC_off,t_AC_off_detected_s,AC_off_detection_method_used,AC_off_detection_status,AC_off_detection_reason,AC_off_post_available_s,AC_off_required_persistence_s,AC_off_window_min_I_A,AC_off_window_max_I_A,AC_off_lag_s,event_framework_status
MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,0.3C+0.4C 0.1tau,DCAC,0.3,0.4,0.1,0.1433828316143201,processed_1Hz_aligned_no_metadata,9506,9506.0,4.200284,priority3_first_V_ge_4p2V_with_deglitch,detected,9506.0,9506.0,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,3750.0,20.923007072908025,1.904491,2.397659,0.0,event_audit_ok_DCAC
MJ1_0p3C_0p4C_10tau_NGU201_raw.csv,0.3C+0.4C 10tau,DCAC,0.3,0.4,10.0,0.0014338283161432,processed_1Hz_aligned_no_metadata,9217,9217.0,4.200702,priority3_first_V_ge_4p2V_with_deglitch,detected,9217.0,9217.0,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,3813.0,2092.300707290804,0.3419448,2.474556,0.0,event_audit_ok_DCAC
MJ1_0p3C_0p4C_1tau_NGU201_raw.csv,0.3C+0.4C 1tau,DCAC,0.3,0.4,1.0,0.014338283161432,NGU201_LOG_raw,9459,9460.400000000001,4.201022,priority3_first_V_ge_4p2V_with_deglitch,detected,9459.0,9460.400000000001,priority2_current_envelope_default_3TAC_after_Vmax,detected,ok,3827.800000000003,209.2300707290804,1.389832,2.513627,0.0,event_audit_ok_DCAC
MJ1_0p3C_DC_NGU201_raw.csv,0.3C DC,DC_reference,0.3,0.0,,0.0,NGU201_LOG_raw,10457,10458.0,4.200028,priority3_first_V_ge_4p2V_with_deglitch,detected,,,not_applicable_DC_reference,not_applicable,pure_DC_reference_has_no_AC_off,,,,,,event_audit_ok_DC_reference
