file_name,protocol_label,protocol_role,DC_C,AC_C,m_tau,frequency_Hz,sampling_rate_Hz_inventory,delimiter,header_line_idx,logging_interval_s,source_date,start_time,n_raw_rows,n_retained_rows,charge_onset_idx_raw,charge_onset_timestamp_raw,retained_duration_s,dt_median_s,dt_min_s,dt_max_s,finite_voltage_fraction,finite_current_fraction,U_min_V,U_max_V,I_Q_min_A,I_Q_max_A,I_Q_mean_A
MJ1_0p3C_0p7C_0p1tau_NGU201_raw.csv,0.3C+0.7C 0.1tau,DCAC,0.3,0.7,0.1,0.1433828316143201,1.0,",",13,1.0,26/11/2025,10:27:16,13456,13417,39,27:56.0,13430.0,1.0,0.7999999999992724,8.200000000000728,0.9964224491316986,0.9964224491316986,2.740865,4.202711,-1.36,3.400048,0.8975293329450684
MJ1_0p3C_0p7C_10tau_NGU201_raw.csv,0.3C+0.7C 10tau,DCAC,0.3,0.7,10.0,0.0014338283161432,1.0,",",13,1.0,2025-11-27,10:47:26,12796,12735,61,10:48:27.7,12737.300000000003,1.0,0.8999999999941792,3.0,0.9934040047114252,0.9934040047114252,2.90884,4.203005,-1.36002,3.39996,0.942567438253901
MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,0.3C+0.7C 1tau,DCAC,0.3,0.7,1.0,0.014338283161432,1.0,",",13,1.0,2025-11-24,10:36:41,13040,12980,60,10:37:41.1,12982.099999999999,1.0,0.8999999999941792,2.8999999999941792,0.9947611710323575,0.9947611710323575,2.875662,4.202369,-1.359972,3.400057,0.9072638017626006
MJ1_0p3C_DC_NGU201_raw.csv,0.3C DC,DC_reference,0.3,0.0,,0.0,1.0,",",13,1.0,20/11/2025,10:44:25,13477,13424,53,45:19.0,13426.0,1.0,0.6000000000003638,4.0,1.0,1.0,2.904226,4.200724,0.04974141,1.019919,0.8740470804469609
