param_set,protocol,tau95_eq_s,f_anchor_Hz,T_anchor_s,Q_nom_Ah,V_min_cutoff,V_max_cutoff,V_init_charge,V_headroom_init_V,I_dc_A,I_ac_A,I_charge_peak_C,I_discharge_peak_C,lobe_duration_s_pred,lobe_Qfrac_pred,termination,termination_class,feasibility_verdict,t_end_s,t_max_s,V_min_obs,V_max_obs,V_below_Vmin_fraction,V_above_Vmax_fraction,Q_net_end_Ah,t_to_Vmax_s,Q_to_Vmax_Ah,n_t_eval,dt_eval_s,wall_s
Ecker2015,DC_0p2C,16.349925670057466,0.0,,0.15625,2.5,4.2,3.306925907077255,0.8069259070772552,0.03125,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,18535.598918266547,42750.0,3.306925907077255,4.199999999999999,0.0,9.382623381497467e-05,0.16089929616550822,18535.598918266547,0.16089929616550822,10658,10.0,2.334095001220703
Ecker2015,DCAC_DC0p2C_AC0p5C_10tau,16.349925670057466,0.0009734291537689,1027.2961274359038,0.15625,2.5,4.2,3.306925907077255,0.8069259070772552,0.03125,0.078125,-0.7,0.3,379.0826668143446,0.02056472517139474,event: Maximum voltage [V],Vmax_event,feasible_clean,18309.79931817739,42750.0,3.162845347008298,4.200000000000006,0.0,7.793624814901411e-05,0.15696788182670732,18309.79931817739,0.15696788182670732,12831,10.0,2.781247138977051
Mohtat2020,DC_0p2C,30.03606189856617,0.0,,5.0,2.8,4.2,3.479618463389577,0.679618463389577,1.0,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,16706.235631020536,42750.0,3.479618463389577,4.2,0.0,9.19963201471941e-05,4.640621008616815,16706.235631020536,4.640621008616815,10870,10.0,1.605320930480957
Mohtat2020,DCAC_DC0p2C_AC0p5C_10tau,30.03606189856617,0.0005298795282463,1887.2214280661497,5.0,2.8,4.2,3.479618463389577,0.679618463389577,1.0,2.5,-0.7,0.3,696.403804817349,0.037778970414904994,event: Maximum voltage [V],Vmax_event,feasible_clean,16599.83934992361,42750.0,3.160753124186347,4.200000000000042,0.0,7.987220447284345e-05,4.461827221415522,16599.83934992361,4.461827221415522,12520,10.0,1.6667859554290771
NCA_Kim2011,DC_0p2C,36.044609511082186,0.0,,0.43,2.7,4.2,3.1961683428796386,0.4961683428796384,0.08600000000000001,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,19099.365641785764,42750.0,3.1961683428796386,4.2,0.0,9.46611132146914e-05,0.4562626236648835,19099.365641785764,0.4562626236648835,10564,10.0,1.544301986694336
NCA_Kim2011,DCAC_DC0p2C_AC0p5C_10tau,36.044609511082186,0.000441549916203,2264.749608830762,0.43,2.7,4.2,3.1961683428796386,0.4961683428796384,0.08600000000000001,0.215,-0.7,0.3,835.7155239406616,0.04533644393644836,event: Maximum voltage [V],Vmax_event,feasible_clean,19795.17319186081,42750.0,3.0452965917128036,4.2,0.0,7.794839816041781e-05,0.4500818342298128,19795.17319186081,0.4500818342298128,12829,10.0,1.8828160762786865
Ai2020,DC_0p2C,37.04603411316819,0.0,,2.28,3.0,4.2,3.581758828899323,0.5817588288993232,0.45599999999999996,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,18097.74423013782,42750.0,3.581758828899323,4.2000000000000135,0.0,9.812579727210283e-05,2.2923809358174596,18097.74423013782,2.2923809358174596,10191,10.0,1.6403889656066895
Ai2020,DCAC_DC0p2C_AC0p5C_10tau,37.04603411316819,0.0004296139840656,2327.6709722914998,2.28,3.0,4.2,3.581758828830135,0.581758828830135,0.45599999999999996,1.14,-0.7,0.3,858.9341437945355,0.04659602285670497,event: Maximum voltage [V],Vmax_event,feasible_clean,17988.392588000035,42750.0,3.188870432092605,4.200000000000062,0.0,7.789982083041208e-05,2.1451008862160115,17988.392588000035,2.1451008862160115,12837,10.0,2.1001107692718506
Chen2020,DC_0p2C,39.04888331734019,0.0,,5.0,2.5,4.2,3.1578966263866057,0.6578966263866057,1.0,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,16659.71567625351,42750.0,3.1578966263866057,4.2,0.0,0.00010566356720202873,4.627698798959308,16659.71567625351,4.627698798959308,9464,10.0,1.3666071891784668
Chen2020,DCAC_DC0p2C_AC0p5C_10tau,39.04888331734019,0.0004075787309933,2453.5136992132166,5.0,2.5,4.2,3.1578966263866057,0.6578966263866057,1.0,2.5,-0.7,0.3,905.3713835023726,0.04911518069722302,event: Maximum voltage [V],Vmax_event,feasible_clean,14192.044694631228,42750.0,2.5746946757143108,4.200000000000001,0.0,9.539254030334828e-05,3.72917980879447,14192.044694631228,3.72917980879447,10483,10.0,1.4631872177124023
OKane2022,DC_0p2C,40.05030791942619,0.0,,5.0,2.5,4.2,3.177914875823376,0.677914875823376,1.0,0.0,-0.2,0.0,0.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,16548.641554760092,42750.0,3.177914875823376,4.2,0.0,0.00010634903754121025,4.596844876322248,16548.641554760092,4.596844876322248,9403,10.0,1.4307048320770264
OKane2022,DCAC_DC0p2C_AC0p5C_10tau,40.05030791942619,0.0003973875641907,2516.435062673768,5.0,2.5,4.2,3.177914875823376,0.677914875823376,1.0,2.5,-0.7,0.3,928.5900033561777,0.05037475961747589,event: Maximum voltage [V],Vmax_event,feasible_clean,14426.804090843034,42750.0,2.5345562389051057,4.200000000000001,0.0,9.373828271466067e-05,3.699726364090007,14426.804090843034,3.699726364090007,10668,10.0,1.5867269039154053
