file_name,protocol_label,protocol_role,DC_C,AC_C,kappa,frequency_Hz,protocol_mode_status,day23a_framework_mode,csv_format_refined,n_raw_rows,n_retained_rows,charge_onset_idx_raw,charge_onset_timestamp_raw,retained_t_start_s,retained_t_end_s,retained_duration_s,dt_median_s,dt_min_s,dt_max_s,finite_voltage_fraction,finite_current_fraction,U_start_V,U_min_V,U_max_V,U_end_V,I_start_A,I_min_A,I_max_A,I_mean_A,I_end_A,n_negative_current,fraction_negative_current,n_current_below_or_equal_50mA,temperature_data_status,time_unwrap_count_loader,time_rollover_period_s_loader,load_status
0.4C DC.csv,0.4C DC,DC_reference,0.4,0.0,0.0,0.0,not_applicable_DC_reference,generalized_boundary_ordering_required,NGU201_LOG_raw,11505,11051,58,09:42:00.5,0.0,11050.5,11050.5,1.0,0.8999999999941792,2.099999999998545,1.0,1.0,3.070943,3.070943,4.200868,4.200095,1.030244,0.04873708,1.359949,1.0860233807383948,0.0488155,0,0.0,25,missing_temperature_summary,0,86400.0,loaded_retained_active_trajectory
DC0.4C+AC0.3C f=0.0143Hz.csv,0.4C+0.3C 1tau,DCAC,0.4,0.3,0.7499999999999999,0.014338283161432,possible_full_DCAC_after_Vmax,generalized_boundary_ordering_required,NGU201_LOG_raw,14104,10956,3068,12:59:20.8,0.0,10956.0,10956.0,1.0,0.8999999999941792,2.5,1.0,1.0,2.927345,2.927345,4.205586,4.20013,1.38415,0.04978822,2.380011,1.0906458112075577,0.05019931,0,0.0,2,missing_temperature_summary,0,86400.0,loaded_retained_active_trajectory
处理后DC0.4C+AC0.1C f=0.0143Hz.csv,0.4C+0.1C 1tau,DCAC,0.4,0.1,0.25,0.014338283161432,possible_full_DCAC_after_Vmax,generalized_boundary_ordering_required,processed_1Hz_aligned_or_header_only_csv,10939,10888,0,0:00:01,0.0,10887.0,10887.0,1.0,1.0,1.0,1.0,1.0,2.92602,2.92602,4.203318,4.200172,1.369721,0.04912161,1.700003,1.1025480654408524,0.04928731,0,0.0,9,missing_temperature_summary,0,86400.0,loaded_retained_active_trajectory
