protocol_pair,protocol_label_DCAC,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,fit_rmse_A,fit_rmse_fraction_of_A_fit,dt_Q80_nominal_raw_s,dt_Q90_nominal_raw_s,dt_Q80_common_raw_s,dt_Q90_common_raw_s,segment_A_Q_lo_Ah,segment_A_Q_hi_Ah,segment_A_Q_grid_count,segment_A_dt_raw_median_s,segment_A_dt_raw_max_s,segment_A_dt_resid_mean_s,segment_A_dt_resid_max_abs_s,segment_A_dt_resid_p95_abs_s,segment_A_resid_floor_s,segment_A_resid_floor_type,segment_A_resid_floor_n,segment_A_above_floor_status,segment_A_dt_resid_fit_p95_abs_s,segment_A_dt_resid_fit_max_abs_s,day22A_self_consistency_resolution_p95_s,day22A_self_consistency_resolution_max_s,audit_resolution_status,fitted_resolution_status,segment_B_Q_lo_Ah,segment_B_Q_hi_Ah,segment_B_dt_raw_median_s,segment_B_dt_raw_max_s,segment_D_Q_lo_Ah,segment_D_Q_hi_Ah,segment_D_dt_raw_min_s,segment_D_dt_raw_median_s,segment_D_dt_raw_max_s,late_CV_preservation_threshold_s,late_CV_preservation_satisfied
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391,5.467386173577722,42.96803839557106,182.30683037468407,2.7868719308826257,186.71973743728813,0.05,2.6927577385269372,265,1.4105426862943204,2.848642291372016,0.19747425712297603,2.821638614846961,2.423033753218078,1.35,single_condition_experimental_residual_floor_estimate_from_Day21A,1,intermediate_between_floor_and_reopen_threshold,2.849797859165664,3.428978649124474,1.4148110884366367,8.256877982668811,prescribed_p95_above_self_consistency_resolution,fitted_p95_above_self_consistency_resolution,2.6927577385269372,2.9627851016805495,150.05366104721998,188.06363963895274,2.9627851016805495,3.2551496609838653,-27.96967258245786,175.3993317796767,186.34154090880838,2.7,satisfied
0.3C DC vs 0.3C+0.4C 10tau,0.3C+0.4C 10tau,-0.03769911184307739,-4.184601414581595,verified,0.024689677296317554,3487.1678454846733,ok,1.0198984405939713,1.359930115784906,0.0014338283161432,0.001429775308882749,-2826.703319232196,0.00018811333530511856,0.00013832573683137083,207.2198643960819,353.8065487819931,26.556609806650158,351.69038318665844,0.05,2.635191351335307,259,156.86586726174482,296.8731711083583,1.658287687062323,290.2451747589712,9.966159937802695,1.35,single_condition_experimental_residual_floor_estimate_from_Day21A,1,above_floor,0.9308214452861648,0.9788832984286273,1.4148110884366367,8.256877982668811,prescribed_p95_above_self_consistency_resolution,fitted_p95_below_or_equal_self_consistency_resolution,2.635191351335307,2.9627851016805495,290.82779644007223,354.2834518261061,2.9627851016805495,3.2529391483283656,71.56394834412458,350.169688993411,354.11806926831014,2.7,satisfied
0.3C DC vs 0.3C+0.4C 1tau,0.3C+0.4C 1tau,-0.021991148575128516,-0.24410174918392674,verified,0.025993100470012357,348.7167845484674,ok,1.0199616106231473,1.358388715499329,0.014338283161432,0.01429396512746759,-3090.8884603157085,0.04532196622113345,0.033364504360207076,66.83321251999223,217.4508142174618,18.15009718188776,215.84942504368883,0.05,2.6837442837634944,264,15.878888947064524,29.66151111391173,-0.1747762420571681,29.014234106166896,26.31489420894427,1.35,single_condition_experimental_residual_floor_estimate_from_Day21A,1,above_floor,0.8689566417826426,25.33980801965572,1.4148110884366367,8.256877982668811,prescribed_p95_above_self_consistency_resolution,fitted_p95_below_or_equal_self_consistency_resolution,2.6837442837634944,2.9627851016805495,172.59207996192345,217.43588039056704,2.9627851016805495,3.2590231394079345,177.34050580329495,216.2541143181097,217.4653999049806,2.7,satisfied
