frequency_policy_id,Q_Ah,delta_t_raw_s,delta_t_geom_s,delta_t_resid_s
fixed_local_H,0.2,59.597727143287614,59.60012549179726,-0.0023983485096437107
fixed_local_H,0.24106830303902357,113.02012938046386,113.02401214891017,-0.0038827684463171863
fixed_local_H,0.28213660607804714,0.7837628261952432,0.7841286079201382,-0.00036578172489498684
fixed_local_H,0.32320490911707067,34.286282895578665,34.28899710157202,-0.0027142059933566998
fixed_local_H,0.3642732121560942,88.50954728421641,88.51514206670902,-0.005594782492607919
fixed_local_H,0.4053415151951178,134.50235809456592,134.51367350301405,-0.011315408448126618
fixed_local_H,0.44640981823414133,11.97689261867913,11.978596789125277,-0.001704170446146236
fixed_local_H,0.4874781212731649,62.60375303927708,62.60710422653801,-0.00335118726093242
fixed_local_H,0.5285464243121885,115.65431235061897,115.65995936744912,-0.005647016830153007
fixed_local_H,0.569614727351212,0.05239694019633134,0.05038387508284359,0.0020130651134877553
fixed_local_H,0.6106830303902355,37.12430464677641,37.12721544486226,-0.0029107980858498195
fixed_local_H,0.6517513334292591,91.46025630658141,91.46608647430503,-0.005830167723615887
fixed_local_H,0.6928196364682826,135.91235017233998,135.9223363191088,-0.009986146768824256
fixed_local_H,0.7338879395073061,14.273823800622722,14.277327984100566,-0.0035041834778439807
fixed_local_H,0.7749562425463299,65.61454409886596,65.61951915034842,-0.004975051482460913
fixed_local_H,0.8160245455853534,118.22478898521285,118.23172699055658,-0.006938005343727127
fixed_local_H,0.857092848624377,0.11978744917723816,0.12363878588394073,-0.0038513367067025683
fixed_local_H,0.8981611516634005,39.99295228005849,39.99810070447984,-0.005148424421349773
fixed_local_H,0.939229454702424,94.3898712811133,94.39625361028129,-0.006382329167990974
fixed_local_H,0.9802977577414476,137.01530997701957,137.03413227904957,-0.018822302030002902
fixed_local_H,1.021366060780471,16.668097223103814,16.674859394482155,-0.006762171378341009
fixed_local_H,1.0624343638194946,68.62892425950622,68.63480227291438,-0.005878013408164406
fixed_local_H,1.1035026668585182,120.72021113250321,120.73150380202651,-0.011292669523299992
fixed_local_H,1.1445709698975417,0.7381569559856871,0.7483972953004923,-0.010240339314805169
fixed_local_H,1.1856392729365652,42.89394914355671,42.897682343971155,-0.003733200414444582
fixed_local_H,1.2267075759755888,97.29443688043693,97.3022965245641,-0.007859644127165666
fixed_local_H,1.2677758790146123,137.75194957753774,137.7681965956449,-0.016247018107151234
fixed_local_H,1.308844182053636,19.14942407456556,19.155199765636553,-0.005775691070994071
fixed_local_H,1.3499124850926596,71.6433298650727,71.65041110293669,-0.007081237863985734
fixed_local_H,1.3909807881316831,123.13838676485466,123.14984050295698,-0.011453738102318312
