protocol_pair,segment_A_above_floor_status,segment_A_dt_resid_mean_s,segment_A_dt_resid_max_abs_s,segment_A_dt_resid_p95_abs_s,branch_n_candidates,branch_frac_candidates,fit_status,I0_fit_A,A_fit_A,f_fit_rel_error_ppm,fit_rmse_A,fit_rmse_fraction_of_A_fit,fit_quality_status,dt_resid_prescribed_p95_abs_s,dt_resid_fitted_p95_abs_s,dt_resid_prescribed_max_abs_s,dt_resid_fitted_max_abs_s,fitted_p95_floor_status,fitted_max_localized_spike_status,diagnostic_interpretation
0.3C DC vs 0.3C+0.7C 0.1tau,spike_or_transition_artifact,-0.7579789065574384,28.685838067973236,3.6963587396003503,57,0.21673003802281368,ok,1.0209774139324814,0.3191647729887059,-632.746581072352,1.6672616173457946,5.223827184100901,fit_unreliable,3.6963587396003503,9.331629181151309,28.685838067973236,11.08028981069765,fitted_p95_above_reopen,no_large_localized_spike_after_fitting,prescribed_spike_fit_unreliable_not_mechanism_evidence
0.3C DC vs 0.3C+0.7C 10tau,above_floor,5.631816540022325,426.4304409888846,10.835424920618244,2,0.00816326530612245,ok,1.0203091682209862,2.3797853566331515,-2971.495055398062,0.0085336801017145,0.003585903273977487,fit_usable,10.835424920618244,0.7947601709524178,426.4304409888846,406.28375644306016,fitted_p95_floor_compatible,localized_first_passage_spike_after_fitting,waveform_geometry_mismatch_with_localized_first_passage_spike
0.3C DC vs 0.3C+0.7C 1tau,above_floor,4.542978881738904,42.92987733247378,39.53445265825271,3,0.012,ok,1.0206075496456095,2.3777328314255173,-3119.2491735418457,0.0785259066451372,0.033025538280538745,fit_usable,39.53445265825271,1.1517613050000766,42.92987733247378,45.09365767770305,fitted_p95_floor_compatible,localized_first_passage_spike_after_fitting,waveform_geometry_mismatch_with_localized_first_passage_spike
