condition,feature_id,tau_factor_set,omega_tau_set,n_Q,window_valid_fraction,delta_x_inst_mean,delta_x_inst_abs_mean,delta_x_cycle_mean,delta_x_cycle_abs_mean,cycle_amp_mean,cycle_amp_max,cycle_count_min,cycle_count_max
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,80,1.0,0.0,0.0,-4.121147867408581e-14,4.831690603168681e-14,0.0,0.0,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,80,1.0,-12.244343306140701,12.366123164647064,1.1366922287900294,1.1366922287900294,38.54606299586611,39.29256973061365,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,80,1.0,248.08664837853524,253.61983509773262,0.4236223906179418,3.9450888348630486,738.5072969248266,777.619747354836,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,80,1.0,-0.042208044017383164,0.04255530294830726,0.011790717135315201,0.011790717135315201,0.1337371111881978,0.1673657110246668,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,80,1.0,0.006333037398580832,0.00638816623026512,-0.0005138448076988094,0.0005138448076988094,0.017393708825745046,0.02008956728375688,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,80,1.0,-0.7990515750386418,0.8047360231186488,0.043008402380536506,0.043008402380536506,2.083068962906795,2.083546140655211,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,80,1.0,0.9047008724315143,0.9111369105527389,-0.0486944591298699,0.0486944591298699,2.3584895892119655,2.3590287834527928,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,80,1.0,-5.4565617933505055e-05,5.5048390933878746e-05,-0.0008927425098466748,0.0014926207162113026,0.010669414728268578,0.01071902356443144,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,80,1.0,0.004833174505349202,0.004833174505349202,-0.001139757544418188,0.00160397021246889,0.020796266341365763,0.021120207970821425,3.471482243474841,70.25847424177101
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,80,1.0,0.019172775999635093,0.019172775999635093,0.011769074408029682,0.01195957594336666,0.026286524877357092,0.030222897895371748,3.471482243474841,70.25847424177101
