pair_idx,source_json,source_file,dc_record_idx,dc_case_id,dc_condition,dcac_record_idx,dcac_case_id,dcac_condition,DC_C,AC_C,tau_label,f_Hz,phase,Q_mAh,Q_Ah,t_DC_model_s,t_DCAC_model_s,dt_model_s,t_DC_geom_s,t_DCAC_geom_s,dt_geom_s,dt_resid_s,I_DC_A_used,I_AC_A_used,kappa_used,kappa_meta,q_lo_mAh,q_hi_mAh,Q_ref_mAh,Q_CC_end_DC_mAh,Q_CC_end_DCAC_mAh,fp_mode,N_Q_GRID,dt_eval_geom_s,dc_clean_removed,dcac_clean_removed,finite
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,256.31565373203813,0.25631565373203813,1845.4727068706745,1878.7782577209045,-33.30555085023002,1845.4726017033468,1878.7654530044636,-33.2928513011168,-0.01269954911322202,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,304.35671591792374,0.30435671591792374,2191.3683546090506,2227.946278514942,-36.577923905891566,2191.3682297299592,2227.936133374473,-36.567903644513535,-0.010020261378031137,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,352.39777810380934,0.35239777810380934,2537.2640023474273,2577.2152187749316,-39.95121642750428,2537.2638577561106,2577.1212161846565,-39.85735842854592,-0.09385799895835589,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,400.43884028969495,0.40043884028969495,2883.159650085804,2926.338973433251,-43.179323347446825,2883.1594857822624,2926.3188552304123,-43.159369448149846,-0.019953899296979216,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,448.47990247558056,0.44847990247558056,3229.05529782418,3275.5569503788643,-46.50165255468437,3229.0551138084143,3275.5274759671643,-46.47236215875,-0.029290395934367552,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,496.52096466146617,0.49652096466146617,3574.9509455625566,3624.81796977901,-49.8670242164535,3574.950741834566,3624.7457268028465,-49.79498496828046,-0.07203924817304141,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,544.5620268473517,0.5445620268473517,3920.8465933009325,3974.0278395029236,-53.181246201991144,3920.8463698607175,3973.972440224578,-53.126070363860435,-0.055175838130708144,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,592.6030890332374,0.5926030890332374,4266.74224103931,4323.223429824971,-56.48118878566129,4266.741997886871,4323.206627103085,-56.464629216214234,-0.016559569447053946,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,640.6441512191229,0.6406441512191229,4612.6378887776855,4614.79093815102,-2.1530493733343974,4612.637625913022,4613.735764634319,-1.0981387212968912,-1.0549106520375062,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,688.6852134050087,0.6886852134050087,4958.533536516063,4962.47361248579,-3.9400759697273315,4958.533253939175,4962.069257757773,-3.5360038185981466,-0.40407215112918493,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,736.7262755908941,0.7367262755908941,5304.429184254438,5310.876599311456,-6.447415057017679,5304.428881965326,5310.719985791906,-6.2911038265801835,-0.1563112304374954,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,784.7673377767799,0.7847673377767799,5650.324831992815,5659.455166730536,-9.13033473772066,5650.324509991478,5659.527609874639,-9.203099883160576,0.07276514543991652,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,832.8083999626654,0.8328083999626653,5996.220479731191,6008.242314573945,-12.021834842754288,5996.220138017629,6008.432816130149,-12.212678112519825,0.19084326976553712,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,880.8494621485511,0.8808494621485511,6342.116127469568,6357.154668015286,-15.038540545718206,6342.115766043782,6357.405832073971,-15.290066030189337,0.25152548447113077,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,928.8905243344366,0.9288905243344365,6688.011775207943,6705.962745494131,-17.95097028618784,6688.011394069933,6706.429569008411,-18.418174938477932,0.4672046522900928,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,976.9315865203223,0.9769315865203223,7033.90742294632,7054.911241330033,-21.003818383712314,7033.907022096086,7055.492449872065,-21.585427775979042,0.5816093922667278,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1024.9726487062078,1.0249726487062079,7379.803070684697,7403.922392226516,-24.119321541819772,7379.802650122237,7404.586973250434,-24.784323128197684,0.6650015863779117,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1073.0137108920935,1.0730137108920934,7725.698718423073,7752.989442145432,-27.290723722358962,7725.698278148389,7753.707387783048,-28.00910963465867,0.7183859122997092,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1121.054773077979,1.121054773077979,8071.594366161448,8102.023429534256,-30.429063372807832,8071.59390617454,8102.849586338896,-31.25568016435591,0.8266167915480764,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1169.0958352638647,1.1690958352638647,8417.490013899825,8451.15076567653,-33.660751776704274,8417.489534200695,8452.010070765129,-34.520536564434224,0.85978478772995,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1217.1368974497502,1.2171368974497503,8763.3856616382,8800.21442782199,-36.82876618378941,8763.385162226843,8801.186420349697,-37.80125812285405,0.9724919390646392,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1265.177959635636,1.2651779596356358,9109.281309376578,9149.354591166362,-40.07328178978423,9109.280790252997,9150.376453074421,-41.09566282142441,1.0223810316401796,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1313.2190218215214,1.3132190218215214,9455.176957114954,9498.462804793728,-43.28584767877328,9455.176418279148,9499.578380159159,-44.401961880010276,1.1161142012369965,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1361.2600840074072,1.3612600840074072,9801.072604853332,9847.601069023136,-46.528464169803556,9801.0720463053,9848.7907293975,-47.71868309220008,1.1902189223965252,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,1409.3011461932927,1.4093011461932927,10146.968252591707,10138.538079330569,8.430173261138407,10146.96767433145,10198.012288015028,-51.04461368357806,59.47478694471647,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,5003.551628230411,4154.0858279098165,raw,80,0.1,0,0,True
