Q_Ah,t_full_s,t_even_s,t_odd_s,dt_even_minus_odd_s,dt_full_minus_even_s,dt_full_minus_odd_s
0.05,176.4975800362799,176.49764328318545,177.49750428617588,-0.9998610029904285,-6.32469055403817e-05,-0.9999242498959688
0.060000000000000005,211.79670445770878,211.7967126925015,212.79666602605835,-0.9999533335568458,-8.23479271616634e-06,-0.999961568349562
0.07,247.09559930225782,247.09564930907248,248.0955280048791,-0.9998786958066148,-5.00068146607191e-05,-0.9999287026212755
0.08,282.3943848753347,282.3944318366221,283.39430848471716,-0.9998766480950394,-4.69612874098857e-05,-0.9999236093824493
0.09,317.692943102313,317.6929807015374,318.69287164050326,-0.9998909389658479,-3.7599224413042975e-05,-0.999928538190261
0.1,352.9913980202603,352.99145145784075,353.9913024209186,-0.9998509630778472,-5.3437580447734945e-05,-0.9999044006582949
0.11,388.2896115362988,388.2896762500163,389.2895053572611,-0.99982910724475,-6.471371750649269e-05,-0.9998938209622565
0.12000000000000001,423.5879264075334,423.5880178823818,424.587791528824,-0.999773646442236,-9.14748483751282e-05,-0.9998651212906111
0.13,458.88592685776234,458.886064071678,459.88573854605755,-0.9996744743795603,-0.0001372139156501362,-0.9998116882952104
0.14,494.1840155624321,494.1841330414068,495.18384379537866,-0.99971075397184,-0.00011747897474378988,-0.9998282329465837
0.15000000000000002,529.4818557035612,529.4819744913166,530.4816807032494,-0.9997062119327893,-0.0001187877553547878,-0.9998249996881441
0.16,564.7796309124433,564.7797412180781,565.7794628079728,-0.9997215898946479,-0.0001103056348483733,-0.9998318955294963
0.16999999999999998,600.0775076747793,600.077643172616,601.0773128606378,-0.9996696880217542,-0.00013549783670896431,-0.9998051858584631
0.18,635.3752552342322,635.3753990602962,636.3750539884272,-0.9996549281310081,-0.0001438260640043154,-0.9997987541950124
0.19,670.6730223644806,670.6731617924625,671.6728274346025,-0.9996656421400303,-0.00013942798182142724,-0.9998050701218517
0.2,705.9707954944342,705.9709157047646,706.9706146509058,-0.9996989461411658,-0.00012021033035125583,-0.9998191564715171
0.21000000000000002,741.2686285160732,741.268752512526,742.268452743387,-0.9997002308609808,-0.00012399645277128002,-0.9998242273137521
0.22000000000000003,776.566489050083,776.5666186878245,777.5663052073576,-0.9996865195330429,-0.00012963774156560248,-0.9998161572746085
0.22999999999999998,811.8643406957327,811.8644897566982,812.8641365282484,-0.9996467715502604,-0.0001490609654410946,-0.9997958325157015
0.24,847.1622482076468,847.1624103086031,848.1620389503747,-0.9996286417716647,-0.00016210095623137022,-0.999790742727896
0.25,882.4600016178099,882.4601640364939,883.4597814187831,-0.999617382289216,-0.0001624186839990216,-0.9997798009732151
0.26,917.7578497628415,917.7580162106273,918.7576354196806,-0.9996192090533214,-0.00016644778577301622,-0.9997856568390944
0.27,953.0556717173773,953.0558202628813,954.0554706336277,-0.9996503707463944,-0.00014854550397558342,-0.99979891625037
0.28,988.3536220785894,988.3537886208517,989.3534088190432,-0.9996201981915647,-0.000166542262263647,-0.9997867404538283
0.29,1023.6515289601605,1023.6516991808422,1024.6512985889256,-0.999599408083327,-0.00017022068175265304,-0.9997696287650797
0.3,1058.949342774838,1058.9495094093213,1059.9491221137926,-0.9996127044712466,-0.0001666344833211042,-0.9997793389545677
0.31,1094.247089783935,1094.2472454339788,1095.2468713951885,-0.999625961209631,-0.00015565004378004232,-0.999781611253411
0.32,1129.54481205728,1129.5449811917574,1130.5445865399633,-0.9996053482059324,-0.00016913447734623333,-0.9997744826832786
0.33,1164.842608314114,1164.8427320107462,1165.842430403207,-0.9996983924606866,-0.00012369663227218552,-0.9998220890929588
0.33999999999999997,1200.1404797482885,1200.1406075655234,1201.1402973447746,-0.9996897792511845,-0.0001278172348975204,-0.999817596486082
0.35,1235.4382337959817,1235.438351591679,1236.438056300869,-0.9997047091899276,-0.00011779569740610896,-0.9998225048873337
0.36,1270.7360135053668,1270.7361325731229,1271.735835908762,-0.9997033356391967,-0.00011906775603165443,-0.9998224033952283
0.37,1306.0337827118638,1306.033913049875,1307.0336016942952,-0.9996886444200754,-0.00013033801133133238,-0.9998189824314068
0.38,1341.3315746873843,1341.33173306821,1342.3313610656849,-0.9996279974748177,-0.00015838082572372514,-0.9997863783005414
0.39,1376.629509517177,1376.6296982808935,1377.6292637274103,-0.9995654465167263,-0.0001887637165509659,-0.9997542102332773
0.4,1411.9274604614245,1411.9276846711057,1412.9271810952011,-0.9994964240954687,-0.00022420968116421136,-0.9997206337766329
0.41,1447.2254030461165,1447.2256052750936,1448.225151413836,-0.9995461387425166,-0.00020222897705934884,-0.999748367719576
0.42,1482.5232873414927,1482.5234923634014,1483.5230198510078,-0.9995274876064286,-0.00020502190864135628,-0.99973250951507
0.43,1517.821226726126,1517.8214263548127,1518.8209756135861,-0.9995492587734134,-0.0001996286866869923,-0.9997488874601004
0.44,1553.1189837636143,1553.1191471733844,1554.118760797652,-0.9996136242675675,-0.00016340977003892476,-0.9997770340376064
0.45,1588.41665793214,1588.4168166656234,1589.4164353777685,-0.999618712145093,-0.00015873348343120597,-0.9997774456285242
0.46,1623.714210307514,1623.7143792877966,1624.7139791430159,-0.9995998552192304,-0.00016898028275136312,-0.9997688355019818
0.47,1659.0119508322196,1659.0121335722495,1660.0117112055684,-0.9995776333189497,-0.00018274002991347515,-0.9997603733488631
0.48,1694.309636498143,1694.3098200948464,1695.3093892002241,-0.9995691053777591,-0.00018359670343670587,-0.9997527020811958
0.49,1729.6072709998327,1729.607458902918,1730.6070228557087,-0.9995639527905951,-0.00018790308536154043,-0.9997518558759566
0.5,1764.9048187402043,1764.9049641436882,1765.9046092618642,-0.9996451181759767,-0.00014540348388436541,-0.999790521659861
0.51,1800.2023053172709,1800.2024531374748,1801.2020859765544,-0.9996328390795952,-0.00014782020389247919,-0.9997806592834877
0.52,1835.4997772332817,1835.4999007749311,1836.499588637152,-0.9996878622209806,-0.00012354164937278256,-0.9998114038703534
0.53,1870.7974441611943,1870.797573346477,1871.7972567831594,-0.9996834366822895,-0.00012918528273075935,-0.9998126219650203
0.54,1906.0949608418478,1906.0950874764178,1907.0947748487993,-0.9996873723814588,-0.00012663457005146483,-0.9998140069515102
0.55,1941.392558667636,1941.3926951135918,1942.3923612986991,-0.9996661851073441,-0.00013644595583173214,-0.9998026310631758
0.56,1976.6901450197636,1976.6902624684578,1977.6899693792618,-0.9997069108039796,-0.00011744869425456272,-0.9998243594982341
0.5700000000000001,2011.9879773876826,2011.9880992208002,2012.9878110767404,-0.999711855940177,-0.00012183311764601967,-0.999833689057823
0.5800000000000001,2047.2858967413845,2047.2860098137744,2048.285724356751,-0.9997145429765624,-0.0001130723899223085,-0.9998276153664847
