param_set,chem_tag,tau2_biexp,tau2_secondary_60s,tau_FG_eff,t95_s,t99_s,tau_tail
Ai2020,Enertech LCO/graphite,52.419262375868904,5.099366571888413,9.98,110.98,244.98,144.55050755746385
Chen2020,LG M50 NMC811-Si,36.316532231592305,7.720679812158888,15.98,116.98,316.98,263.02117860437176
Ecker2015,Kokam-Ecker Co-rich Mn-free,16.51765434839429,13.191343994635298,9.98,48.98,91.98,164.0105135972402
Marquis2019,Kokam-Marquis LCO/graphite,43.44669740303815,22.60946955423608,20.98,124.98,301.98,188.67660486549605
Mohtat2020,graphite/NMC532,43.93258267119451,13.47727108870575,10.98,89.98,213.98,97.62675834367687
NCA_Kim2011,graphite/NCA,39.39195667694234,16.86547086827125,10.98,107.98,205.98,46.34644654836446
OKane2022,LG M50 NMC811-Si,58.81775623543399,36.28046010592773,15.98,119.98,354.98,309.6740959137209
ORegan2022,LG M50 NMC811-Si,53.575426259434366,19.79492316243947,18.98,142.98,363.98,236.45370828606787
