condition,tau_factor_set,min_U_all_mV,min_U_peak_zone_mV,min_U_non_peak_zone_mV,fraction_below_0_all,fraction_below_0_peak_zone,fraction_below_0_non_peak_zone,mean_I_peak_zone_A,mean_I_non_peak_zone_A
Chen2020_DFN_DC03_AC07_0p5tauSet,0.5,-17.980758652286728,-17.980758652286728,-10.873362333025877,0.02775553776354417,0.1304856641310708,0.004831233270222629,4.78020875585781,0.5863627981201943
Chen2020_DFN_DC03_AC07_1p5tauSet,1.5,-25.29869098240431,-25.29869098240431,-18.393037068013285,0.03997312730937185,0.16703216374269006,0.01135895958515104,4.773416651073974,0.7169674877998713
Chen2020_DFN_DC03_AC07_3p0tauSet,3.0,-24.834389024368548,-24.834389024368548,-15.518285053956763,0.04023296804352824,0.1600790513833992,0.011407928510314668,4.769581620117646,0.8074488043564686
Chen2020_DFN_DC03_AC07_5p0tauSet,5.0,-23.775307713978155,-23.775307713978155,-13.621195544027835,0.04014078605547641,0.13706407137064072,0.014893841766134995,4.7674765455925225,0.8636811078917203
