branch_id,search_term,variable_key
baseline_false,crack,Negative SEI on cracks thickness [m]
baseline_false,crack,Negative crack surface to volume ratio [m-1]
baseline_false,crack,Negative electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,crack,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,crack,Negative particle crack length [m]
baseline_false,crack,Negative particle cracking rate [m.s-1]
baseline_false,crack,Positive SEI on cracks concentration [mol.m-3]
baseline_false,crack,Positive SEI on cracks thickness [m]
baseline_false,crack,Positive crack surface to volume ratio [m-1]
baseline_false,crack,Positive electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,crack,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,crack,Positive particle crack length [m]
baseline_false,crack,Positive particle cracking rate [m.s-1]
baseline_false,crack,Volume-averaged negative SEI on cracks concentration [mol.m-3]
baseline_false,crack,Volume-averaged negative SEI on cracks thickness [m]
baseline_false,crack,Volume-averaged positive SEI on cracks concentration [mol.m-3]
baseline_false,crack,Volume-averaged positive SEI on cracks thickness [m]
baseline_false,crack,X-averaged negative SEI on cracks concentration [mol.m-3]
baseline_false,crack,X-averaged negative SEI on cracks thickness [m]
baseline_false,crack,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,crack,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,crack,X-averaged negative particle crack length [m]
baseline_false,crack,X-averaged negative particle cracking rate [m.s-1]
baseline_false,crack,X-averaged positive SEI on cracks concentration [mol.m-3]
baseline_false,crack,X-averaged positive SEI on cracks thickness [m]
baseline_false,crack,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
baseline_false,crack,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
baseline_false,crack,X-averaged positive particle crack length [m]
baseline_false,crack,X-averaged positive particle cracking rate [m.s-1]
baseline_false,surface potential difference,Negative electrode surface potential difference [V]
baseline_false,surface potential difference,Negative electrode surface potential difference at separator interface [V]
baseline_false,surface potential difference,Positive electrode surface potential difference [V]
baseline_false,surface potential difference,Positive electrode surface potential difference at separator interface [V]
baseline_false,surface potential difference,X-averaged negative electrode surface potential difference [V]
baseline_false,surface potential difference,X-averaged positive electrode surface potential difference [V]
baseline_false,overpotential,Battery negative particle concentration overpotential [V]
baseline_false,overpotential,Battery particle concentration overpotential [V]
baseline_false,overpotential,Battery positive particle concentration overpotential [V]
baseline_false,overpotential,Contact overpotential [V]
baseline_false,overpotential,Negative electrode SEI film overpotential [V]
baseline_false,overpotential,Negative electrode lithium plating reaction overpotential [V]
baseline_false,overpotential,Negative electrode reaction overpotential [V]
baseline_false,overpotential,Negative particle concentration overpotential [V]
baseline_false,overpotential,Particle concentration overpotential [V]
baseline_false,overpotential,Positive electrode SEI film overpotential [V]
baseline_false,overpotential,Positive electrode lithium plating reaction overpotential [V]
baseline_false,overpotential,Positive electrode reaction overpotential [V]
baseline_false,overpotential,Positive particle concentration overpotential [V]
baseline_false,overpotential,X-averaged SEI film overpotential [V]
baseline_false,overpotential,X-averaged battery concentration overpotential [V]
baseline_false,overpotential,X-averaged battery negative reaction overpotential [V]
baseline_false,overpotential,X-averaged battery positive reaction overpotential [V]
baseline_false,overpotential,X-averaged battery reaction overpotential [V]
baseline_false,overpotential,X-averaged concentration overpotential [V]
