file_name,protocol_label,protocol_role,DC_C,AC_C,kappa,m_tau,frequency_Hz,csv_format_refined,header_line_idx,time_column_name,n_rows,n_finite_time_rows,time_parse_method,time_monotonic_status,time_unwrap_count,time_rollover_period_s,time_reconstructed_from_row_index,dt_median_s,dt_min_s,dt_max_s,t_start_s,t_end_s,duration_s,source_session_date,start_time,temperature_data_status,notes
0.4C DC.csv,0.4C DC,DC_reference,0.4,0.0,0.0,,0.0,NGU201_LOG_raw,13,Timestamp,11505,11505,parsed_timestamp_with_unwrap,timebase_ok_approximately_1Hz,0,86400.0,False,1.0,0.8999999999941792,2.099999999998545,0.0,11504.5,11504.5,2025-10-20,09:41:02,missing_temperature_summary,source_format=NGU201_LOG_raw; source_date=2025-10-20; start_time=09:41:02; excluded_files_not_processed=True
DC0.4C+AC0.3C f=0.0143Hz.csv,0.4C+0.3C 1tau,DCAC,0.4,0.3,0.7499999999999999,1.0,0.014338283161432,NGU201_LOG_raw,13,Timestamp,14104,14104,parsed_timestamp_with_unwrap,timebase_ok_approximately_1Hz,0,86400.0,False,1.0,0.8999999999941792,2.5,0.0,14103.800000000003,14103.800000000003,2025-10-28,12:08:12,missing_temperature_summary,source_format=NGU201_LOG_raw; source_date=2025-10-28; start_time=12:08:12; excluded_files_not_processed=True
处理后DC0.4C+AC0.1C f=0.0143Hz.csv,0.4C+0.1C 1tau,DCAC,0.4,0.1,0.25,1.0,0.014338283161432,processed_1Hz_aligned_or_header_only_csv,0,Timestamp,10939,10939,parsed_timestamp_with_unwrap,timebase_ok_approximately_1Hz,0,86400.0,False,1.0,1.0,1.0,0.0,10938.0,10938.0,unknown_not_recorded,unknown_not_recorded,missing_temperature_summary,source_format=processed_1Hz_aligned_or_header_only_csv; source_date=unknown_not_recorded; start_time=unknown_not_recorded; excluded_files_not_processed=True
