protocol_pair,protocol_label_DC,protocol_label_DCAC,Q_nom_Ah,Q_final_DC_Ah,Q_final_DCAC_Ah,Q_final_diff_Ah,Q_final_abs_diff_Ah,Q_final_diff_mAh,Q_final_abs_diff_mAh,Q_final_diff_status,Q80_nominal_Ah,Q90_nominal_Ah,Q80_nominal_fraction_of_Q_nom,Q90_nominal_fraction_of_Q_nom,Q80_common_Ah,Q90_common_Ah,Q80_common_fraction_of_Q_nom,Q90_common_fraction_of_Q_nom,Q_common_final_Ah_internal
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C DC,0.3C+0.7C 0.1tau,3.4,3.259324058975556,3.339661614834222,-0.08033755585866631,0.08033755585866631,-80.3375558586663,80.3375558586663,final_Q_mismatch_warning,2.72,3.06,0.8,0.9,2.607459247180445,2.9333916530780004,0.7668997785824838,0.8627622509052942,3.259324058975556
0.3C DC vs 0.3C+0.7C 10tau,0.3C DC,0.3C+0.7C 10tau,3.4,3.259324058975556,3.3122443577932077,-0.05292029881765181,0.05292029881765181,-52.92029881765181,52.92029881765181,final_Q_mismatch_warning,2.72,3.06,0.8,0.9,2.607459247180445,2.9333916530780004,0.7668997785824838,0.8627622509052942,3.259324058975556
0.3C DC vs 0.3C+0.7C 1tau,0.3C DC,0.3C+0.7C 1tau,3.4,3.259324058975556,3.2544873470871507,0.004836711888405176,0.004836711888405176,4.836711888405176,4.836711888405176,final_Q_consistent,2.72,3.06,0.8,0.9,2.603589877669721,2.9290386123784358,0.7657617287263885,0.861481944817187,3.2544873470871507
