parameter_set,freq_label,pair_id,delta_t_SOC80_min,delta_t_SOC90_min,delta_t_SOC95_min,delta_t_common_Q_end_min,cc_resid_max_abs_s,target_window_class,cv_control_class,comparability_class,level1_verdict_corrected,level2_verdict,level3_verdict_corrected
Chen2020,10tau,P01_0p3DC_vs_0p3p0p7_10tau,6.584072132138044,4.346633494993117,1.0852253395604747,0.08830334496694074,0.14725677314436325,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,mid_trajectory_gain_but_endpoint_consumed,PASS_common_CC_geometry_dominated,A_to_B_handover_consumes_lead + D_common_CV_consumes_lead
Chen2020,1tau,P02_0p3DC_vs_0p3p0p7_1tau,0.7610768992690585,4.712095129701296,6.266876905220882,5.70002374841503,0.517577193318175,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,broad_trajectory_and_endpoint_gain,PASS_common_CC_geometry_dominated,B_segment_adds_lead + D_common_CV_consumes_lead
Chen2020,0.1tau,P03_0p3DC_vs_0p3p0p7_0p1tau,0.028895821480485515,6.85343335077132,8.336157983587267,7.823474841713838,4.214533996954174,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,late_trajectory_and_endpoint_gain,PASS_common_CC_geometry_dominated,B_segment_adds_lead
Ecker2015,10tau,P01_0p3DC_vs_0p3p0p7_10tau,6.584072132138044,4.346633494993117,3.213641831539462,3.1181437450059395,0.05005812528270326,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,broad_trajectory_and_endpoint_gain,PASS_common_CC_geometry_dominated,A_to_B_handover_consumes_lead + B_segment_adds_lead
Ecker2015,1tau,P02_0p3DC_vs_0p3p0p7_1tau,0.7610768992690585,0.8585061369931585,0.6178094017720771,1.3941333316925617,0.5840599690313866,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,broad_trajectory_and_endpoint_gain,PASS_common_CC_geometry_dominated,handover_to_D_adds_lead
Ecker2015,0.1tau,P03_0p3DC_vs_0p3p0p7_0p1tau,0.028895821480485515,0.0335472066463808,0.035987287708455065,0.15765616300192656,4.085635462861319,covers_SOC80_SOC90_SOC95,normal_CV_continuation,normal_full_CC_CV_comparable,weak_or_no_operational_gain,PASS_common_CC_geometry_dominated,no_resolved_major_boundary_or_CV_contribution
ORegan2022,10tau,P01_0p3DC_vs_0p3p0p7_10tau,,,,6.250419167827173,0.16562485221720635,truncated_below_SOC80,zero_duration_or_noncharging_CV,exclude_from_fixed_SOC80_90_95_comparison,endpoint_only_or_sparse_target_gain,PASS_common_CC_geometry_dominated,no_resolved_major_boundary_or_CV_contribution
ORegan2022,1tau,P02_0p3DC_vs_0p3p0p7_1tau,0.7610768992690585,0.8585061369931585,0.6178094017720771,0.6975895224933992,0.6449113203489105,covers_SOC80_SOC90_SOC95,zero_duration_or_noncharging_CV,fixed_SOC_targets_ok_but_not_normal_full_CV,broad_trajectory_and_endpoint_gain,PASS_common_CC_geometry_dominated,no_resolved_major_boundary_or_CV_contribution
ORegan2022,0.1tau,P03_0p3DC_vs_0p3p0p7_0p1tau,0.028895821480485515,0.0335472066463808,0.035987287708455065,0.022445077194909877,4.233167080048588,covers_SOC80_SOC90_SOC95,zero_duration_or_noncharging_CV,fixed_SOC_targets_ok_but_not_normal_full_CV,weak_or_no_operational_gain,PASS_common_CC_geometry_dominated,no_resolved_major_boundary_or_CV_contribution
