branch_id,branch_type,transport_modification,surface_form,protocol_id,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class,candidate_class,min_U_NE_mV,margin_class,max_c_e_range_molm3
baseline_default,baseline,default,false,DC03,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference,dc_reference,37.28056183906979,near_boundary,377.86842281485883
baseline_default,baseline,default,false,fixed_AC0p38,69.35065528421227,69.36353608981146,-0.012880805599183419,0.012948244713588224,0.04513282634252391,0.01,geometry_dominated,no_material_residual_acceleration,0.5656856544375326,near_boundary,747.6848433551694
baseline_default,baseline,default,false,fixed_AC0p7,158.66534902126395,158.68556780196005,-0.0202187806960967,0.0202187806960967,0.0707415182105251,0.0,geometry_dominated,no_material_residual_acceleration,-25.30820344967092,risk_flag,1054.0890622244815
baseline_default,baseline,default,false,sched_v2_conservative,65.68908230737254,65.70282460300787,-0.01374229563532424,0.013809734749729045,0.04513282634252391,0.01,geometry_dominated,no_material_residual_acceleration,24.160262360136276,near_boundary,747.6848433551694
double_layer_differential,double_layer,default,differential,DC03,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference,dc_reference,37.28761292474869,near_boundary,378.0682564811186
double_layer_differential,double_layer,default,differential,fixed_AC0p38,69.39133131764129,69.3989909550586,-0.007659637417313547,0.007774876397713229,0.03323940063046393,0.04,geometry_dominated,no_material_residual_acceleration,0.63810182499624,near_boundary,748.3951136031965
double_layer_differential,double_layer,default,differential,fixed_AC0p7,158.727476007757,158.7432537570386,-0.015777749281591015,0.015777749281591015,0.04473237894944759,0.0,geometry_dominated,no_material_residual_acceleration,-25.265352161007893,risk_flag,1054.7302255009663
double_layer_differential,double_layer,default,differential,sched_v2_conservative,65.7239926151833,65.73179987527313,-0.0078072600898252634,0.007922499070224943,0.03323940063046393,0.04,geometry_dominated,no_material_residual_acceleration,24.18069170781806,near_boundary,748.3951136031965
transport_flattened,transport_parameterization,flattened,false,DC03,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference,dc_reference,36.49852136074038,near_boundary,392.0446897233286
transport_flattened,transport_parameterization,flattened,false,fixed_AC0p38,69.00398738524468,69.01727810691146,-0.013290721666779177,0.013373023935794776,0.045908537751529366,0.01,geometry_dominated,no_material_residual_acceleration,-1.1519525551269334,risk_flag,772.7225927986266
transport_flattened,transport_parameterization,flattened,false,fixed_AC0p7,158.09926879066123,158.12037901988467,-0.021110229223435226,0.021110229223435226,0.06753577862991733,0.0,geometry_dominated,no_material_residual_acceleration,-28.479797140760976,risk_flag,1069.6128003697256
transport_flattened,transport_parameterization,flattened,false,sched_v2_conservative,65.40462258489835,65.41902957129075,-0.014406986392403382,0.014489288661418982,0.045908537751529366,0.01,geometry_dominated,no_material_residual_acceleration,21.281118114046887,near_boundary,772.7225927986266
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,DC03,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference,dc_reference,35.62190120213421,near_boundary,402.3720481971054
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,fixed_AC0p38,68.99375095900523,69.00732401624656,-0.013573057241323454,0.013573057241323454,0.042323971894802526,0.0,geometry_dominated,no_material_residual_acceleration,-4.104669177037486,risk_flag,815.4348812613541
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,fixed_AC0p7,160.20815294619837,160.230817407396,-0.022664461197617242,0.022664461197617242,0.14668724187959015,0.0,geometry_dominated,no_material_residual_acceleration,-34.20465132060971,risk_flag,1158.7710743850453
transport_nonlinearity_amplified,transport_parameterization,nonlinearity_amplified,false,sched_v2_conservative,66.4397258301521,66.4540514493808,-0.014325619228688424,0.014325619228688424,0.04697937514356454,0.0,geometry_dominated,no_material_residual_acceleration,16.743399776952458,near_boundary,815.4348812613541
combined_sensitivity,combined,nonlinearity_amplified,differential,DC03,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference,dc_reference,35.63246264023545,near_boundary,402.44076605891723
combined_sensitivity,combined,nonlinearity_amplified,differential,fixed_AC0p38,69.64972734780905,69.6590658420282,-0.009338494219142035,0.009455484014061426,0.1586425442021664,0.03,geometry_dominated,no_material_residual_acceleration,-4.090364430967108,risk_flag,815.723357222357
combined_sensitivity,combined,nonlinearity_amplified,differential,fixed_AC0p7,159.47777971676157,159.49620125082305,-0.018421534061480428,0.018421534061480428,0.09596037777919264,0.0,geometry_dominated,no_material_residual_acceleration,-34.1504168831368,risk_flag,1158.6891355156151
combined_sensitivity,combined,nonlinearity_amplified,differential,sched_v2_conservative,67.16133006187587,67.17103996960077,-0.00970990772488733,0.009826897519806721,0.1586425442021664,0.03,geometry_dominated,no_material_residual_acceleration,16.76112053290352,near_boundary,815.723357222357
