variant_id,surface_form,tau_factor_set,protocol_id,Q_Ah,delta_t_raw_s,delta_t_geom_s,delta_t_resid_s
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.2,7.994391520866486,8.004281665010296,-0.009890144143810176
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.23647771482866595,0.3484748830563831,0.3821179084773121,-0.03364302542092901
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.2729554296573319,40.436997723373565,40.45122951610267,-0.014231792729106019
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.3094331444859978,26.643961912295822,26.65955747075327,-0.015595558457448533
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.3459108593146637,12.021340214843121,12.039621141107887,-0.018280926264765185
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.38238857414332966,0.6254844420432164,0.6566232777278174,-0.031138835684600963
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.41886628897199557,43.658524516097714,43.68470615263527,-0.026181636537558006
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.45534400380066153,30.98762904709315,31.0100981512021,-0.022469104108949978
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.49182171862932744,16.274761962419916,16.29808288902518,-0.023320926605265413
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.5282994334579934,3.174352704297007,3.209652758401944,-0.03530005410493686
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.5647771482866593,45.73523315456464,45.785337286034974,-0.05010413147033432
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.6012548631153252,35.1842522323243,35.212861835491594,-0.028609603167296882
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.6377325779439911,20.649407654346078,20.676511801937295,-0.027104147591217043
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.6742102927726571,6.620877325101446,6.655062792452782,-0.03418546735133532
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.7106880076013231,44.14639605296543,44.269741452093285,-0.12334539912785658
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.747165722429989,39.11050797990606,39.15093773880403,-0.040429758897971624
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.7836434372586549,25.05997227723128,25.093248396158288,-0.03327611892700588
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.8201211520873208,10.536649925460097,10.573569449470597,-0.03691952401050003
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.8565988669159867,0.07961563200842647,0.15160632120796436,-0.07199068919953788
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.8930765817446527,42.564547138275884,42.62485005010376,-0.060302911827875505
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.9295542965733186,29.4358463875119,29.474701417258984,-0.03885502974708288
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,0.9660320114019845,14.72716952402834,14.766206829491693,-0.03903730546335282
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.0025097262306504,2.117732173965578,2.1635828233388565,-0.04585064937327843
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.0389874410593163,45.167805234691514,45.23564377984758,-0.06783854515606436
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.0754651558879822,33.69536101481526,33.74124432101644,-0.04588330620117631
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.1119428707166483,19.069518328824415,19.111806782056192,-0.04228845323177666
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.1484205855453142,5.306382655758171,5.3595622886164165,-0.053179632858245895
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.1848983003739801,45.56625000696113,45.716915406659155,-0.1506653996980276
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.221376015202646,37.734723193162154,37.78899863780816,-0.05427544464600942
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.257853730031312,23.4770532262728,23.523033042131374,-0.04597981585857269
surface_form_false,false,0.5,fixed_AC0p38_0.5tau,1.2943314448599779,9.088366642556139,9.140606182593274,-0.05223954003713516
