parameter_set,model_type,condition,reference_condition,Q_Ah,feature_id,x_DC,x_DCAC,delta_x,t_DC_s,t_DCAC_s,delta_t_raw_s,phase_rad_at_t_DCAC_Q,phase_norm_at_t_DCAC_Q,cycle_count_at_t_DCAC_Q,period_s
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,neg_avg_sto,0.10487875974534007,0.10488645149513985,7.691749799781933e-06,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,neg_avg_surface_sto,0.10982824912880139,0.11103786131281414,0.0012096121840127483,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,neg_max_surface_sto,0.11282757354536864,0.1147177932260998,0.0018902196807311644,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,neg_min_surface_sto,0.10823320396342406,0.10907624002124215,0.000843036057818089,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,pos_avg_sto,0.8015647773936018,0.8015596442142595,-5.133179342253769e-06,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,pos_avg_surface_sto,0.7826530095082835,0.7819279359700585,-0.0007250735382250406,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,elyte_c_mean,983.1285067661867,982.1095135398458,-1.0189932263408537,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,elyte_c_range,351.3687757808939,366.23844012623,14.869664345336105,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,eta_n_mean,-0.04988222991147024,-0.09737407331655504,-0.0474918434050848,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
Chen2020,DFN,DC03_AC07_0p1tau,DC03,0.2,eta_p_mean,0.004378049242598056,0.012481354937805231,0.008103305695207175,479.9999999999992,476.6750005671545,3.32499943284472,2.1803365596750552,0.3470113410762623,68.34701134107627,6.97433569096934
