protocol_pair,kappa,evidence_status,mechanism_verdict,interpretation_class,boundary_ordering_by_Q,protocol_mode_status_DCAC,Q80_common_region,Q90_common_region,dt_Q80_common_raw_s,dt_Q90_common_raw_s,Q80_raw_resolution_status,Q90_raw_resolution_status,G0_residual_status,G0_dt_resid_p95_abs_s,G0_dt_resid_fit_p95_abs_s,audit_resolution_status,fitted_resolution_status,Q_final_diff_status,caveat
0.4C DC vs 0.4C+0.3C 1tau,0.7499999999999999,mixed,boundary_leading_with_G0_gain_but_post_boundary_penalty,boundary_leading_not_gain_preserving,DCAC_first,possible_full_DCAC_after_Vmax,G0_shared_pre_boundary,G2_post_boundary,11.03871486785556,-86.01355641641203,raw_anchor_positive_above_resolution,raw_anchor_negative_above_resolution,above_floor,12.291571459002208,44.952961474316346,prescribed_p95_above_self_consistency_resolution,fitted_p95_above_self_consistency_resolution,final_Q_mismatch_warning,continued_AC_after_Vmax;not_same_protocol_family_as_Day21A_Day22A;temperature_summary_missing;no_independent_repeat_based_experimental_noise_floor;effect_size_interpreted_relative_to_audit_resolution_not_strict_disappearance;final_Q_mismatch_warning;G0_prescribed_residual_above_floor;fitted_G0_residual_above_self_consistency_resolution;Q90_common_negative_raw_gain
0.4C DC vs 0.4C+0.1C 1tau,0.25,weak_or_unresolved,boundary_leading_but_state_gain_unresolved_at_common_anchors,subDC_small_perturbation_near_resolution,DCAC_first,possible_full_DCAC_after_Vmax,G0_shared_pre_boundary,G2_post_boundary,0.633266173186712,0.5673399269207948,raw_anchor_within_self_consistency_resolution,raw_anchor_within_self_consistency_resolution,intermediate_between_floor_and_reopen_threshold,3.4426251796200606,11.463178001714,prescribed_p95_above_self_consistency_resolution,fitted_p95_above_self_consistency_resolution,final_Q_consistent,continued_AC_after_Vmax;not_same_protocol_family_as_Day21A_Day22A;temperature_summary_missing;no_independent_repeat_based_experimental_noise_floor;effect_size_interpreted_relative_to_audit_resolution_not_strict_disappearance;G0_prescribed_residual_intermediate;fitted_G0_residual_above_self_consistency_resolution;Q80_common_within_audit_resolution;Q90_common_within_audit_resolution
