arm,param_set,termination_method,n_samples,t_end_s,Q_end_Ah,V_end_V,I_end_A,I_end_abs_A,V_min_V,V_max_V,I_min_A,I_max_A,Vmax_cutoff_V,I_cutoff_A,I_cutoff_mA,idx_vmax_sample,t_to_Vmax_sample_s,Q_to_Vmax_sample_Ah,n_cv_samples,has_cv_tail,I_cv_abs_initial_A,I_cv_abs_final_A,I_cv_abs_range_A,V_cv_min_V,V_cv_max_V,cutoff_reached_by_final_current,Vmax_violation_max_over_V
DC_reference,Chen2020,CustomTermination,1938,19352.284482474002,4.872814517225636,4.199999999999999,-0.07353941176470569,0.07353941176470569,3.157896704104518,4.200000000000023,-1.0002702417964449,-0.07353941176470569,4.2,0.0735294117647058,73.5294117647058,1667,16659.601329210152,4.627667035891709,270,True,0.9795620936373872,0.07353941176470569,0.9060226818726815,4.199999999999889,4.200000000000023,True,2.3092638912203256e-14
DCAC_full_protocol,Chen2020,CustomTermination,1713,17105.917745773906,4.872588450585356,4.199999999999999,-0.07353941176470591,0.07353941176470591,3.157896704104518,4.2000000000000455,-3.4999986498981204,1.4999998499886682,4.2,0.0735294117647058,73.5294117647058,1281,12799.285783244368,3.7702215195106774,431,True,3.3766107662683718,0.07353941176470591,3.3030713545036656,4.1999999999998066,4.2000000000000455,True,4.529709940470639e-14
