policy_id,condition,case_role,protocol_type,schedule_type,early_ac_c,mid_ac_c,late_ac_c,qfrac_derate,qfrac_ac_off,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,dt_resid_class,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_frac_of_DC_end_at_min_U_NE,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,max_c_e_range_vs_DC,c_e_range_at_min_vs_DC,max_surface_range_vs_DC,surface_range_at_min_vs_DC,abs_eta_n_at_min_vs_DC,microstate_context_class,policy_verdict,screening_score
DC03,Chen2020_DFN_Day35_DC03,dc_reference,DC,constant,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,dc_reference,37.28056183906979,near_boundary,0.21983715766099185,0.0,1.0,1.5,1.5,4.2,0.0,1.0,0.9371477668990665,1.0,1.0,1.0,dc_reference_context,near_boundary_low_gain,0.2609639328734885
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,DCAC,constant,0.38,0.38,0.38,,,69.35065528421227,69.36353608981146,-0.012880805599183419,0.012948244713588224,geometry_dominated,0.5656856544375326,near_boundary,0.143701991706886,0.0,0.8694889377022643,3.3741398314382796,3.3999912821600367,4.20000000000005,-4.973799150320701e-11,1.9786909892746094,1.650661132311339,1.1419008323889495,1.0866841847831181,1.6157774013995374,transport_surface_stress,near_boundary_with_raw_gain,0.12724739163421034
fixed_AC0p7,Chen2020_DFN_Day35_fixed_AC0p7,fixed_stress_baseline,DCAC,constant,0.7,0.7,0.7,,,158.66534902126395,158.68556780196005,-0.0202187806960967,0.0202187806960967,geometry_dominated,-25.30820344967092,risk_flag,0.2201935483870968,0.03948387096774193,0.7842751409684222,4.9533672638038935,4.999984249864502,4.194776116962791,5.2238830372095535,2.78956641672317,2.5442560196948105,1.482396207730154,1.1417938494008533,2.017561135354918,transport_surface_stress,not_admissible_hard_margin,-0.3613749054019342
sched_v1_day34,Chen2020_DFN_Day35_sched_v1_day34,scheduled_v1_day34_baseline,DCAC_SCHEDULED,qfrac_time_proxy,0.38,0.2,0.0,0.75,0.85,70.8086408278914,70.8220509685833,-0.013410140691898392,0.013477579806303198,geometry_dominated,7.750469429029426,near_boundary,0.2231794742799648,0.0,0.7461741035071637,3.3772296451254302,3.3999912821600367,4.106146107581967,93.85389241803298,1.9786909892746094,1.8355004437845068,1.1419008323889495,0.7279197553437252,1.5343355868716664,transport_surface_stress,near_boundary_with_raw_gain,0.18167595542959708
sched_v2_conservative,Chen2020_DFN_Day35_sched_v2_conservative,scheduled_v2_conservative,DCAC_SCHEDULED,qfrac_time_proxy,0.38,0.1,0.0,0.7,0.8,65.68908230737254,65.70282460300787,-0.01374229563532424,0.013809734749729045,geometry_dominated,24.160262360136276,near_boundary,0.2251685393258427,0.0,0.6832848251597615,3.3592854112648913,3.3999912821600367,4.043494770243527,156.5052297564735,1.9786909892746094,1.940408301435941,1.1419008323889495,0.8061198748701185,1.5209479478900194,transport_surface_stress,near_boundary_with_raw_gain,0.2820246290590098
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,DCAC_SCHEDULED,qfrac_time_proxy,0.38,0.2,0.0,0.7,0.85,67.30979515931745,67.32356557321751,-0.013770413900060135,0.01383785301446494,geometry_dominated,20.499176522101415,near_boundary,0.22050570653887383,0.0,0.8378552664699327,2.4917211494662923,3.3999912821600367,4.154231845718357,45.76815428164327,1.9786909892746094,1.3751174359396467,1.1419008323889495,0.8908998382818661,1.265529202199745,transport_surface_stress,near_boundary_with_raw_gain,0.26099362592424313
sched_v4_aggressive,Chen2020_DFN_Day35_sched_v4_aggressive,scheduled_v4_aggressive,DCAC_SCHEDULED,qfrac_time_proxy,0.38,0.2,0.0,0.8,0.9,69.35065528421227,69.36353608981146,-0.012880805599183419,0.012948244713588224,geometry_dominated,4.3566149127978635,near_boundary,0.21475430127491027,0.0,0.7776055202425963,3.38456135594846,3.3999912821600367,4.135253605570787,64.74639442921327,1.9786909892746094,1.7967290048016744,1.1467770471873602,0.8092566465888089,1.5476503880386243,transport_surface_stress,near_boundary_with_raw_gain,0.15378389644273266
sched_v5_low_stress,Chen2020_DFN_Day35_sched_v5_low_stress,scheduled_v5_low_stress,DCAC_SCHEDULED,qfrac_time_proxy,0.3,0.1,0.0,0.75,0.85,55.156122905049315,55.170842602804115,-0.01471969775480261,0.014748431623560236,geometry_dominated,16.256867294337823,near_boundary,0.20064076892270724,0.0,0.744675834851571,2.980745201818558,2.999979942104556,4.090871367229088,109.12863277091222,1.773575983098468,1.650590167451046,1.0663345859859257,0.6725158073841511,1.3962006108321416,transport_surface_stress,near_boundary_with_raw_gain,0.2122113519193165
