param_set,protocol,tau95_eq_s,f_anchor_Hz,T_anchor_s,Q_nom_Ah,V_min_cutoff,V_max_cutoff,I_dc_A,I_ac_A,termination,termination_class,feasibility_verdict,t_end_s,t_max_s,V_init_charge,V_min_obs,V_max_obs,V_below_Vmin_fraction,V_above_Vmax_fraction,Q_net_end_Ah,t_to_Vmax_s,Q_to_Vmax_Ah,n_t_eval,dt_eval_s,wall_s
Ecker2015,DC_0p2C,16.349925670057466,0.0,,0.15625,2.5,4.2,0.03125,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,18535.598918266547,42750.0,3.306925907077255,3.306925907077255,4.199999999999999,0.0,9.382623381497467e-05,0.16089929616550822,18535.598918266547,0.16089929616550822,10658,10.0,2.448268175125122
Ecker2015,DCAC_DC0p2C_AC0p8C_10tau,16.349925670057466,0.0009734291537689,1027.2961274359038,0.15625,2.5,4.2,0.03125,0.125,event: Maximum voltage [V],Vmax_event,feasible_clean,18266.37367327253,42750.0,3.306925907077255,2.833736579309515,4.200000000000001,0.0,7.05965407695023e-05,0.15398424423746504,18266.37367327253,0.15398424423746504,14165,10.0,3.225821018218994
Mohtat2020,DC_0p2C,30.03606189856617,0.0,,5.0,2.8,4.2,1.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,16706.235631020536,42750.0,3.479618463389577,3.479618463389577,4.2,0.0,9.19963201471941e-05,4.640621008616815,16706.235631020536,4.640621008616815,10870,10.0,1.4977748394012451
Mohtat2020,DCAC_DC0p2C_AC0p8C_10tau,30.03606189856617,0.0005298795282463,1887.2214280661497,5.0,2.8,4.2,1.0,4.0,event: Minimum voltage [V],Vmin_event,boundary_confounded,432.28250765629224,42750.0,3.479618463389577,2.799999999999975,3.4824753011831033,0.0018726591760299626,0.0,-0.16986614962536528,,,534,10.0,0.22101664543151855
NCA_Kim2011,DC_0p2C,36.044609511082186,0.0,,0.43,2.7,4.2,0.08600000000000001,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,19099.365641785764,42750.0,3.1961683428796386,3.1961683428796386,4.2,0.0,9.46611132146914e-05,0.4562626236648835,19099.365641785764,0.4562626236648835,10564,10.0,1.5620958805084229
NCA_Kim2011,DCAC_DC0p2C_AC0p8C_10tau,36.044609511082186,0.000441549916203,2264.749608830762,0.43,2.7,4.2,0.08600000000000001,0.34400000000000003,event: Minimum voltage [V],Vmin_event,boundary_confounded,551.7605390989341,42750.0,3.1961683428796386,2.7,3.1988748392612667,0.0018115942028985507,0.0,-0.019883274501297354,,,552,10.0,0.21257495880126953
Ai2020,DC_0p2C,37.04603411316819,0.0,,2.28,3.0,4.2,0.45599999999999996,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,18097.74423013782,42750.0,3.581758828899323,3.581758828899323,4.2000000000000135,0.0,9.812579727210283e-05,2.2923809358174596,18097.74423013782,2.2923809358174596,10191,10.0,1.6608569622039795
Ai2020,DCAC_DC0p2C_AC0p8C_10tau,37.04603411316819,0.0004296139840656,2327.6709722914998,2.28,3.0,4.2,0.45599999999999996,1.8239999999999998,event: Minimum voltage [V],Vmin_event,boundary_confounded,521.9189303472793,42750.0,3.581758828830135,2.999999999999969,3.585204286760948,0.0016474464579901153,0.0,-0.09132265449542105,,,607,10.0,0.21701884269714355
Chen2020,DC_0p2C,39.04888331734019,0.0,,5.0,2.5,4.2,1.0,0.0,event: Maximum voltage [V],Vmax_event,feasible_clean,16659.71567625351,42750.0,3.1578966263866057,3.1578966263866057,4.2,0.0,0.00010566356720202873,4.627698798959308,16659.71567625351,4.627698798959308,9464,10.0,1.3698880672454834
Chen2020,DCAC_DC0p2C_AC0p8C_10tau,39.04888331734019,0.0004075787309933,2453.5136992132166,5.0,2.5,4.2,1.0,4.0,event: Minimum voltage [V],Vmin_event,boundary_confounded,497.6143671192806,42750.0,3.1578966263866057,2.5,3.1674656844149194,0.0017271157167530224,0.0,-0.16889816815184425,,,579,10.0,0.18954110145568848
