protocol_pair,protocol_label_DCAC,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,dt_Q80_nominal_raw_s,dt_Q90_nominal_raw_s,dt_Q80_common_raw_s,dt_Q90_common_raw_s,segment_A_Q_lo_Ah,segment_A_Q_hi_Ah,segment_A_Q_grid_count,segment_A_dt_raw_median_s,segment_A_dt_raw_max_s,segment_A_dt_resid_mean_s,segment_A_dt_resid_max_abs_s,segment_A_dt_resid_p95_abs_s,segment_A_resid_floor_s,segment_A_resid_floor_type,segment_A_resid_floor_n,segment_A_above_floor_status,segment_B_Q_lo_Ah,segment_B_Q_hi_Ah,segment_B_dt_raw_median_s,segment_B_dt_raw_max_s,segment_D_Q_lo_Ah,segment_D_Q_hi_Ah,segment_D_dt_raw_min_s,segment_D_dt_raw_median_s,segment_D_dt_raw_max_s,late_CV_preservation_threshold_s,late_CV_preservation_satisfied
0.3C DC vs 0.3C+0.7C 0.1tau,0.3C+0.7C 0.1tau,0.11623892818282267,0.12902521028293318,estimated_from_current_waveform,0.09254619816951276,34.87167845484671,114.07028023158455,421.9904580125258,0.19602042287988297,351.71559332793186,0.05,2.674043632818796,263,0.2832233207682293,14.681683679262278,-0.7579789065574384,28.685838067973236,3.6963587396003503,1.35,single_condition_experimental_residual_floor_estimate,1,spike_or_transition_artifact,2.674043632818796,2.9627851016805495,262.7494665427548,364.2268382222319,2.9627851016805495,3.259324058975556,372.66188429511385,481.72886945122445,1463.867843271677,2.7,satisfied
0.3C DC vs 0.3C+0.7C 10tau,0.3C+0.7C 10tau,-0.05026548245743667,-5.579468552775476,estimated_from_current_waveform,0.055490615674714173,3487.1678454846733,692.6954857489018,966.4312439239457,489.5919907079333,908.7270138502372,0.05,2.4902410760283624,245,330.9885757530409,521.525204628173,5.631816540022325,426.4304409888846,10.835424920618243,1.35,single_condition_experimental_residual_floor_estimate,1,above_floor,2.4902410760283624,2.9627851016805495,715.5346458758358,919.1370164123327,2.9627851016805495,3.259324058975556,925.9086845371748,1015.1677192400557,1872.3689653852725,2.7,satisfied
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674,321.56727328511806,481.40539083204203,139.91674111961765,476.9128016954055,0.05,2.5499590362520053,250,38.069696088829915,56.41987735345356,4.542978881738904,42.92987733247378,39.53445265825271,1.35,single_condition_experimental_residual_floor_estimate,1,above_floor,2.5499590362520053,2.9627851016805495,367.8879568896591,480.08839886442365,2.9627851016805495,3.2544873470871507,272.8479101053781,478.92412155772945,481.43308556592274,2.7,satisfied
